; Candidate 13746
; ADRP+ADD at VM 0xfffffff00956f144 (fileoff 0x256b144): page=0x1fdfec000 add_imm=0xdcc

0xfffffff00956f0c4: 080940f9  ldr	x8, [x8, #0x10]
0xfffffff00956f0c8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00956f0cc: f30300f9  str	x19, [sp]
0xfffffff00956f0d0: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f0d4: 00dc2e91  add	x0, x0, #0xbb7
0xfffffff00956f0d8: 0f000014  b	#0xfffffff00956f114
0xfffffff00956f0dc: 882240f9  ldr	x8, [x20, #0x40]
0xfffffff00956f0e0: 0a8f8952  mov	w10, #0x4c78
0xfffffff00956f0e4: ca49a972  movk	w10, #0x4a4e, lsl #16
0xfffffff00956f0e8: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00956f0ec: e80300f9  str	x8, [sp]
0xfffffff00956f0f0: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f0f4: 00402b91  add	x0, x0, #0xad0
0xfffffff00956f0f8: 07000014  b	#0xfffffff00956f114
0xfffffff00956f0fc: 090d40f9  ldr	x9, [x8, #0x18]
0xfffffff00956f100: 080540f9  ldr	x8, [x8, #8]
0xfffffff00956f104: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00956f108: f30300f9  str	x19, [sp]
0xfffffff00956f10c: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f110: 00e42d91  add	x0, x0, #0xb79
0xfffffff00956f114: d320a197  bl	#0xfffffff007db7460
0xfffffff00956f118: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff00956f11c: a8010034  cbz	w8, #0xfffffff00956f150
0xfffffff00956f120: e83300b9  str	w8, [sp, #0x30]
0xfffffff00956f124: e2d30091  add	x2, sp, #0x34
0xfffffff00956f128: e00315aa  mov	x0, x21
0xfffffff00956f12c: 01838c52  mov	w1, #0x6418
0xfffffff00956f130: 8100b072  movk	w1, #0x8004, lsl #16
0xfffffff00956f134: 43008052  mov	w3, #2
0xfffffff00956f138: e40316aa  mov	x4, x22
0xfffffff00956f13c: 2935a797  bl	#0xfffffff007f3c5e0
0xfffffff00956f140: f30300f9  str	x19, [sp]
0xfffffff00956f144: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f148: 00303791  add	x0, x0, #0xdcc
0xfffffff00956f14c: c520a197  bl	#0xfffffff007db7460
0xfffffff00956f150: 805240f9  ldr	x0, [x20, #0xa0]
0xfffffff00956f154: 9f5200f9  str	xzr, [x20, #0xa0]
0xfffffff00956f158: 000100b4  cbz	x0, #0xfffffff00956f178
0xfffffff00956f15c: 95aa80b9  ldrsw	x21, [x20, #0xa8]
0xfffffff00956f160: e10315aa  mov	x1, x21
0xfffffff00956f164: 079fb797  bl	#0xfffffff008356d80
0xfffffff00956f168: e00315cb  neg	x0, x21
0xfffffff00956f16c: c17000d0  adrp	x1, #0xfffffff00a389000
0xfffffff00956f170: 21c00391  add	x1, x1, #0xf0
0xfffffff00956f174: 57d0b597  bl	#0xfffffff0082e32d0
0xfffffff00956f178: e033ff90  adrp	x0, #0xfffffff007beb000
0xfffffff00956f17c: 00a01591  add	x0, x0, #0x568
0xfffffff00956f180: e10314aa  mov	x1, x20
0xfffffff00956f184: 629db797  bl	#0xfffffff00835670c
0xfffffff00956f188: c17000d0  adrp	x1, #0xfffffff00a389000
0xfffffff00956f18c: 21c00391  add	x1, x1, #0xf0
0xfffffff00956f190: e0338092  mov	x0, #-0x1a0
0xfffffff00956f194: 4fd0b597  bl	#0xfffffff0082e32d0
0xfffffff00956f198: 11ffff17  b	#0xfffffff00956eddc
0xfffffff00956f19c: 0a00a892  mov	x10, #-0x40000001
0xfffffff00956f1a0: 2a010a8b  add	x10, x9, x10
0xfffffff00956f1a4: 2b008092  mov	x11, #-2
0xfffffff00956f1a8: 6b00b8f2  movk	x11, #0xc003, lsl #16
0xfffffff00956f1ac: 5f010beb  cmp	x10, x11
0xfffffff00956f1b0: a8000054  b.hi	#0xfffffff00956f1c4
0xfffffff00956f1b4: f32700a9  stp	x19, x9, [sp]
0xfffffff00956f1b8: 60fffe90  adrp	x0, #0xfffffff00755b000
0xfffffff00956f1bc: 00cc2f91  add	x0, x0, #0xbf3
0xfffffff00956f1c0: d5ffff17  b	#0xfffffff00956f114
