; Candidate 6025
; ADRP+ADD at VM 0xfffffff00880f6c4 (fileoff 0x180b6c4): page=0x1fea04000 add_imm=0xe0f

0xfffffff00880f644: bb8eec97  bl	#0xfffffff008333130
0xfffffff00880f648: 00008052  mov	w0, #0
0xfffffff00880f64c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00880f650: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00880f654: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00880f658: ff830191  add	sp, sp, #0x60
0xfffffff00880f65c: ff0f5fd6  retab	
0xfffffff00880f660: 7f2303d5  pacibsp	
0xfffffff00880f664: ffc301d1  sub	sp, sp, #0x70
0xfffffff00880f668: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00880f66c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00880f670: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00880f674: fd830191  add	x29, sp, #0x60
0xfffffff00880f678: f30300aa  mov	x19, x0
0xfffffff00880f67c: 800e8052  mov	w0, #0x74
0xfffffff00880f680: e1008052  mov	w1, #7
0xfffffff00880f684: 53b00194  bl	#0xfffffff00887b7d0
0xfffffff00880f688: 40020034  cbz	w0, #0xfffffff00880f6d0
0xfffffff00880f68c: 800e8052  mov	w0, #0x74
0xfffffff00880f690: 62b00194  bl	#0xfffffff00887b818
0xfffffff00880f694: f50300aa  mov	x21, x0
0xfffffff00880f698: c5920294  bl	#0xfffffff0088b41ac
0xfffffff00880f69c: f40300aa  mov	x20, x0
0xfffffff00880f6a0: e0008052  mov	w0, #7
0xfffffff00880f6a4: 6bb00194  bl	#0xfffffff00887b850
0xfffffff00880f6a8: 35040034  cbz	w21, #0xfffffff00880f72c
0xfffffff00880f6ac: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f6b0: 08510991  add	x8, x8, #0x254
0xfffffff00880f6b4: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880f6b8: 880e8052  mov	w8, #0x74
0xfffffff00880f6bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880f6c0: f40300f9  str	x20, [sp]
0xfffffff00880f6c4: 2050ff90  adrp	x0, #0xfffffff007213000
0xfffffff00880f6c8: 003c3891  add	x0, x0, #0xe0f
0xfffffff00880f6cc: 659fd697  bl	#0xfffffff007db7460
0xfffffff00880f6d0: 530500b4  cbz	x19, #0xfffffff00880f778
0xfffffff00880f6d4: 68ce4491  add	x8, x19, #0x133, lsl #12
0xfffffff00880f6d8: 15411891  add	x21, x8, #0x610
0xfffffff00880f6dc: b40240f9  ldr	x20, [x21]
0xfffffff00880f6e0: 140100b4  cbz	x20, #0xfffffff00880f700
0xfffffff00880f6e4: e00314aa  mov	x0, x20
0xfffffff00880f6e8: 7c2c0294  bl	#0xfffffff00889a8d8
0xfffffff00880f6ec: e08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff00880f6f0: 00600b91  add	x0, x0, #0x2d8
0xfffffff00880f6f4: e10314aa  mov	x1, x20
0xfffffff00880f6f8: 051ced97  bl	#0xfffffff00835670c
0xfffffff00880f6fc: bf0200f9  str	xzr, [x21]
0xfffffff00880f700: b40640f9  ldr	x20, [x21, #8]
0xfffffff00880f704: d40900b4  cbz	x20, #0xfffffff00880f83c
0xfffffff00880f708: e00314aa  mov	x0, x20
0xfffffff00880f70c: 2d4d0294  bl	#0xfffffff0088a2bc0
0xfffffff00880f710: e08fffd0  adrp	x0, #0xfffffff007a0d000
0xfffffff00880f714: 00600c91  add	x0, x0, #0x318
0xfffffff00880f718: e10314aa  mov	x1, x20
0xfffffff00880f71c: fc1bed97  bl	#0xfffffff00835670c
0xfffffff00880f720: 14008052  mov	w20, #0
0xfffffff00880f724: bf0600f9  str	xzr, [x21, #8]
0xfffffff00880f728: 45000014  b	#0xfffffff00880f83c
0xfffffff00880f72c: a0920294  bl	#0xfffffff0088b41ac
0xfffffff00880f730: f40300aa  mov	x20, x0
0xfffffff00880f734: e0008052  mov	w0, #7
0xfffffff00880f738: 46b00194  bl	#0xfffffff00887b850
0xfffffff00880f73c: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880f740: 08510991  add	x8, x8, #0x254
