; Candidate 1430
; ADRP+ADD at VM 0xfffffff0083deb70 (fileoff 0x13dab70): page=0x1ff5a1000 add_imm=0xd70

0xfffffff0083deaf0: 10e20b91  add	x16, x16, #0x2f8
0xfffffff0083deaf4: 10420091  add	x16, x16, #0x10
0xfffffff0083deaf8: f10300aa  mov	x17, x0
0xfffffff0083deafc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083deb00: 300ac1da  pacda	x16, x17
0xfffffff0083deb04: 100000f9  str	x16, [x0]
0xfffffff0083deb08: c9f100f0  adrp	x9, #0xfffffff00a219000
0xfffffff0083deb0c: 29a10e91  add	x9, x9, #0x3a8
0xfffffff0083deb10: 2a910091  add	x10, x9, #0x24
0xfffffff0083deb14: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff0083deb18: 6a000035  cbnz	w10, #0xfffffff0083deb24
0xfffffff0083deb1c: 290940f9  ldr	x9, [x9, #0x10]
0xfffffff0083deb20: 89ffffb5  cbnz	x9, #0xfffffff0083deb10
0xfffffff0083deb24: c0035fd6  ret	
0xfffffff0083deb28: 7f2303d5  pacibsp	
0xfffffff0083deb2c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0083deb30: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0083deb34: fd430091  add	x29, sp, #0x10
0xfffffff0083deb38: f30300aa  mov	x19, x0
0xfffffff0083deb3c: 08adffb0  adrp	x8, #0xfffffff00797f000
0xfffffff0083deb40: 089d4db9  ldr	w8, [x8, #0xd9c]
0xfffffff0083deb44: 085d4092  and	x8, x8, #0xffffff
0xfffffff0083deb48: 1f0100eb  cmp	x8, x0
0xfffffff0083deb4c: 22010054  b.hs	#0xfffffff0083deb70
0xfffffff0083deb50: 60aafff0  adrp	x0, #0xfffffff00792d000
0xfffffff0083deb54: 00c01c91  add	x0, x0, #0x730
0xfffffff0083deb58: e10313aa  mov	x1, x19
0xfffffff0083deb5c: 82008252  mov	w2, #0x1004
0xfffffff0083deb60: 8200a072  movk	w2, #4, lsl #16
0xfffffff0083deb64: 030080d2  mov	x3, #0
0xfffffff0083deb68: 661ee797  bl	#0xfffffff007da6500
0xfffffff0083deb6c: 05000014  b	#0xfffffff0083deb80
0xfffffff0083deb70: 00adffb0  adrp	x0, #0xfffffff00797f000
0xfffffff0083deb74: 00c03591  add	x0, x0, #0xd70
0xfffffff0083deb78: 81008052  mov	w1, #4
0xfffffff0083deb7c: 911fe797  bl	#0xfffffff007da69c0
0xfffffff0083deb80: e8f10090  adrp	x8, #0xfffffff00a21a000
0xfffffff0083deb84: 08c10191  add	x8, x8, #0x70
0xfffffff0083deb88: 080133f8  ldadd	x19, x8, [x8]
0xfffffff0083deb8c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0083deb90: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0083deb94: ff0f5fd6  retab	
0xfffffff0083deb98: 7f2303d5  pacibsp	
0xfffffff0083deb9c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0083deba0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0083deba4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0083deba8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0083debac: fdc30091  add	x29, sp, #0x30
0xfffffff0083debb0: f30303aa  mov	x19, x3
0xfffffff0083debb4: ff0700f9  str	xzr, [sp, #8]
0xfffffff0083debb8: 100040f9  ldr	x16, [x0]
0xfffffff0083debbc: f10300aa  mov	x17, x0
0xfffffff0083debc0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083debc4: 301ac1da  autda	x16, x17
0xfffffff0083debc8: 11b080d2  mov	x17, #0x580
0xfffffff0083debcc: 1002118b  add	x16, x16, x17
0xfffffff0083debd0: 080240f9  ldr	x8, [x16]
0xfffffff0083debd4: e90310aa  mov	x9, x16
0xfffffff0083debd8: e3230091  add	x3, sp, #8
0xfffffff0083debdc: f10309aa  mov	x17, x9
0xfffffff0083debe0: 9105e8f2  movk	x17, #0x402c, lsl #48
0xfffffff0083debe4: 11093fd7  blraa	x8, x17
0xfffffff0083debe8: f40300aa  mov	x20, x0
0xfffffff0083debec: f50740f9  ldr	x21, [sp, #8]
