; Candidate 16179
; ADRP+ADD at VM 0xfffffff009e2ee18 (fileoff 0x2e2ae18): page=0x1fd875000 add_imm=0xe00

0xfffffff009e2ed98: 08b50f91  add	x8, x8, #0x3ed
0xfffffff009e2ed9c: e80300f9  str	x8, [sp]
0xfffffff009e2eda0: a0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2eda4: 00003891  add	x0, x0, #0xe00
0xfffffff009e2eda8: c1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2edac: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2edb0: 83cffef0  adrp	x3, #0xfffffff007821000
0xfffffff009e2edb4: 63540491  add	x3, x3, #0x115
0xfffffff009e2edb8: 02028052  mov	w2, #0x10
0xfffffff009e2edbc: dd109497  bl	#0xfffffff008333130
0xfffffff009e2edc0: 66000014  b	#0xfffffff009e2ef58
0xfffffff009e2edc4: 05040011  add	w5, w0, #1
0xfffffff009e2edc8: e00313aa  mov	x0, x19
0xfffffff009e2edcc: 41008052  mov	w1, #2
0xfffffff009e2edd0: 22008052  mov	w2, #1
0xfffffff009e2edd4: 03008052  mov	w3, #0
0xfffffff009e2edd8: e40318aa  mov	x4, x24
0xfffffff009e2eddc: 41efff97  bl	#0xfffffff009e2aae0
0xfffffff009e2ede0: 80fdff35  cbnz	w0, #0xfffffff009e2ed90
0xfffffff009e2ede4: d70300b4  cbz	x23, #0xfffffff009e2ee5c
0xfffffff009e2ede8: e00317aa  mov	x0, x23
0xfffffff009e2edec: 05ba7c97  bl	#0xfffffff007d5d600
0xfffffff009e2edf0: 28008012  mov	w8, #-2
0xfffffff009e2edf4: 1f0008eb  cmp	x0, x8
0xfffffff009e2edf8: 68000054  b.hi	#0xfffffff009e2ee04
0xfffffff009e2edfc: e86a6038  ldrb	w8, [x23, x0]
0xfffffff009e2ee00: e8010034  cbz	w8, #0xfffffff009e2ee3c
0xfffffff009e2ee04: c0028052  mov	w0, #0x16
0xfffffff009e2ee08: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff009e2ee0c: 88cffeb0  adrp	x8, #0xfffffff00781f000
0xfffffff009e2ee10: 08291091  add	x8, x8, #0x40a
0xfffffff009e2ee14: e80300f9  str	x8, [sp]
0xfffffff009e2ee18: a0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2ee1c: 00003891  add	x0, x0, #0xe00
0xfffffff009e2ee20: c1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2ee24: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2ee28: 83cffef0  adrp	x3, #0xfffffff007821000
0xfffffff009e2ee2c: 63c40491  add	x3, x3, #0x131
0xfffffff009e2ee30: 02028052  mov	w2, #0x10
0xfffffff009e2ee34: bf109497  bl	#0xfffffff008333130
0xfffffff009e2ee38: 48000014  b	#0xfffffff009e2ef58
0xfffffff009e2ee3c: 05040011  add	w5, w0, #1
0xfffffff009e2ee40: e00313aa  mov	x0, x19
0xfffffff009e2ee44: 41008052  mov	w1, #2
0xfffffff009e2ee48: 42008052  mov	w2, #2
0xfffffff009e2ee4c: 03008052  mov	w3, #0
0xfffffff009e2ee50: e40317aa  mov	x4, x23
0xfffffff009e2ee54: 23efff97  bl	#0xfffffff009e2aae0
0xfffffff009e2ee58: 80fdff35  cbnz	w0, #0xfffffff009e2ee08
0xfffffff009e2ee5c: e00313aa  mov	x0, x19
0xfffffff009e2ee60: 21008052  mov	w1, #1
0xfffffff009e2ee64: 62008052  mov	w2, #3
0xfffffff009e2ee68: e30316aa  mov	x3, x22
0xfffffff009e2ee6c: 040080d2  mov	x4, #0
0xfffffff009e2ee70: 05008052  mov	w5, #0
0xfffffff009e2ee74: 1befff97  bl	#0xfffffff009e2aae0
0xfffffff009e2ee78: c0010034  cbz	w0, #0xfffffff009e2eeb0
0xfffffff009e2ee7c: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff009e2ee80: 88cffeb0  adrp	x8, #0xfffffff00781f000
0xfffffff009e2ee84: 08a51091  add	x8, x8, #0x429
0xfffffff009e2ee88: e80300f9  str	x8, [sp]
0xfffffff009e2ee8c: a0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2ee90: 00003891  add	x0, x0, #0xe00
0xfffffff009e2ee94: c1f7fef0  adrp	x1, #0xfffffff007d29000
