; Candidate 4611
; ADRP+ADD at VM 0xfffffff0087bdcf0 (fileoff 0x17b9cf0): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bdc70: 552f40b9  ldr	w21, [x26, #0x2c]
0xfffffff0087bdc74: 7501f836  tbz	w21, #0x1f, #0xfffffff0087bdca0
0xfffffff0087bdc78: 08a48152  mov	w8, #0xd20
0xfffffff0087bdc7c: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087bdc80: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bdc84: 00403691  add	x0, x0, #0xd90
0xfffffff0087bdc88: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bdc8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bdc90: 02008052  mov	w2, #0
0xfffffff0087bdc94: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bdc98: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087bdc9c: 25d5ed97  bl	#0xfffffff008333130
0xfffffff0087bdca0: a8060011  add	w8, w21, #1
0xfffffff0087bdca4: 3423c81a  lsl	w20, w25, w8
0xfffffff0087bdca8: 7800f837  tbnz	w24, #0x1f, #0xfffffff0087bdcb4
0xfffffff0087bdcac: 9f02186b  cmp	w20, w24
0xfffffff0087bdcb0: 6c010054  b.gt	#0xfffffff0087bdcdc
0xfffffff0087bdcb4: 28a48152  mov	w8, #0xd21
0xfffffff0087bdcb8: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087bdcbc: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bdcc0: 00403691  add	x0, x0, #0xd90
0xfffffff0087bdcc4: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bdcc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bdccc: 02008052  mov	w2, #0
0xfffffff0087bdcd0: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bdcd4: 63581091  add	x3, x3, #0x416
0xfffffff0087bdcd8: 16d5ed97  bl	#0xfffffff008333130
0xfffffff0087bdcdc: 7700f837  tbnz	w23, #0x1f, #0xfffffff0087bdce8
0xfffffff0087bdce0: 9f02176b  cmp	w20, w23
0xfffffff0087bdce4: 6c010054  b.gt	#0xfffffff0087bdd10
0xfffffff0087bdce8: 48a48152  mov	w8, #0xd22
0xfffffff0087bdcec: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087bdcf0: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bdcf4: 00403691  add	x0, x0, #0xd90
0xfffffff0087bdcf8: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bdcfc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bdd00: 02008052  mov	w2, #0
0xfffffff0087bdd04: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bdd08: 63241191  add	x3, x3, #0x449
0xfffffff0087bdd0c: 09d5ed97  bl	#0xfffffff008333130
0xfffffff0087bdd10: 1403174b  sub	w20, w24, w23
0xfffffff0087bdd14: 2823d51a  lsl	w8, w25, w21
0xfffffff0087bdd18: 09050051  sub	w9, w8, #1
0xfffffff0087bdd1c: 2901140a  and	w9, w9, w20
0xfffffff0087bdd20: 0801140a  and	w8, w8, w20
0xfffffff0087bdd24: 3f01086b  cmp	w9, w8
0xfffffff0087bdd28: 0a070054  b.ge	#0xfffffff0087bde08
0xfffffff0087bdd2c: 7f070031  cmn	w27, #1
0xfffffff0087bdd30: 40060054  b.eq	#0xfffffff0087bddf8
0xfffffff0087bdd34: 482b40b9  ldr	w8, [x26, #0x28]
0xfffffff0087bdd38: 28150034  cbz	w8, #0xfffffff0087bdfdc
0xfffffff0087bdd3c: 542f40b9  ldr	w20, [x26, #0x2c]
0xfffffff0087bdd40: 7401f836  tbz	w20, #0x1f, #0xfffffff0087bdd6c
0xfffffff0087bdd44: 08a48152  mov	w8, #0xd20
0xfffffff0087bdd48: fc2300a9  stp	x28, x8, [sp]
0xfffffff0087bdd4c: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bdd50: 00403691  add	x0, x0, #0xd90
0xfffffff0087bdd54: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bdd58: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bdd5c: 02008052  mov	w2, #0
0xfffffff0087bdd60: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bdd64: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087bdd68: f2d4ed97  bl	#0xfffffff008333130
0xfffffff0087bdd6c: 88060011  add	w8, w20, #1
