; Candidate 4199
; ADRP+ADD at VM 0xfffffff00879628c (fileoff 0x179228c): page=0x1fe99b000 add_imm=0xd90

0xfffffff00879620c: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008796210: ff0f5fd6  retab	
0xfffffff008796214: 35030039  strb	w21, [x25]
0xfffffff008796218: 085f8552  mov	w8, #0x2af8
0xfffffff00879621c: 6202088b  add	x2, x19, x8
0xfffffff008796220: e85b40f9  ldr	x8, [sp, #0xb0]
0xfffffff008796224: 68be15f9  str	x8, [x19, #0x2b78]
0xfffffff008796228: e08744ad  ldp	q0, q1, [sp, #0x90]
0xfffffff00879622c: 400403ad  stp	q0, q1, [x2, #0x60]
0xfffffff008796230: e08742ad  ldp	q0, q1, [sp, #0x50]
0xfffffff008796234: 400401ad  stp	q0, q1, [x2, #0x20]
0xfffffff008796238: e18343ad  ldp	q1, q0, [sp, #0x70]
0xfffffff00879623c: 410002ad  stp	q1, q0, [x2, #0x40]
0xfffffff008796240: e18341ad  ldp	q1, q0, [sp, #0x30]
0xfffffff008796244: 410000ad  stp	q1, q0, [x2]
0xfffffff008796248: 688255f9  ldr	x8, [x19, #0x2b00]
0xfffffff00879624c: 687615f9  str	x8, [x19, #0x2ae8]
0xfffffff008796250: 687a15f9  str	x8, [x19, #0x2af0]
0xfffffff008796254: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008796258: 000600b4  cbz	x0, #0xfffffff008796318
0xfffffff00879625c: 100040f9  ldr	x16, [x0]
0xfffffff008796260: f10300aa  mov	x17, x0
0xfffffff008796264: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008796268: 301ac1da  autda	x16, x17
0xfffffff00879626c: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008796270: e90310aa  mov	x9, x16
0xfffffff008796274: 01028052  mov	w1, #0x10
0xfffffff008796278: f10309aa  mov	x17, x9
0xfffffff00879627c: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008796280: 11093fd7  blraa	x8, x17
0xfffffff008796284: 40010034  cbz	w0, #0xfffffff0087962ac
0xfffffff008796288: e00300f9  str	x0, [sp]
0xfffffff00879628c: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008796290: 00403691  add	x0, x0, #0xd90
0xfffffff008796294: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796298: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879629c: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff0087962a0: 63a81691  add	x3, x3, #0x5aa
0xfffffff0087962a4: 02008052  mov	w2, #0
0xfffffff0087962a8: a273ee97  bl	#0xfffffff008333130
0xfffffff0087962ac: 88718552  mov	w8, #0x2b8c
0xfffffff0087962b0: 6202088b  add	x2, x19, x8
0xfffffff0087962b4: 7f8e2bb9  str	wzr, [x19, #0x2b8c]
0xfffffff0087962b8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff0087962bc: 100040f9  ldr	x16, [x0]
0xfffffff0087962c0: f10300aa  mov	x17, x0
0xfffffff0087962c4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087962c8: 301ac1da  autda	x16, x17
0xfffffff0087962cc: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff0087962d0: e90310aa  mov	x9, x16
0xfffffff0087962d4: 21028052  mov	w1, #0x11
0xfffffff0087962d8: f10309aa  mov	x17, x9
0xfffffff0087962dc: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff0087962e0: 11093fd7  blraa	x8, x17
0xfffffff0087962e4: f40300aa  mov	x20, x0
0xfffffff0087962e8: 80f7ff34  cbz	w0, #0xfffffff0087961d8
0xfffffff0087962ec: e80314aa  mov	x8, x20
0xfffffff0087962f0: e80300f9  str	x8, [sp]
0xfffffff0087962f4: c04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087962f8: 00403691  add	x0, x0, #0xd90
0xfffffff0087962fc: 2193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008796300: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008796304: 834dffb0  adrp	x3, #0xfffffff007147000
0xfffffff008796308: 63f41791  add	x3, x3, #0x5fd
