; Candidate 16208
; ADRP+ADD at VM 0xfffffff009e31194 (fileoff 0x2e2d194): page=0x1fd872000 add_imm=0xe00

0xfffffff009e31114: 1f110071  cmp	w8, #4
0xfffffff009e31118: 610f0054  b.ne	#0xfffffff009e31304
0xfffffff009e3111c: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff009e31120: 801000b4  cbz	x0, #0xfffffff009e31330
0xfffffff009e31124: e48b42a9  ldp	x4, x2, [sp, #0x28]
0xfffffff009e31128: 634240b9  ldr	w3, [x19, #0x40]
0xfffffff009e3112c: 011840f9  ldr	x1, [x0, #0x30]
0xfffffff009e31130: 11000014  b	#0xfffffff009e31174
0xfffffff009e31134: e1830091  add	x1, sp, #0x20
0xfffffff009e31138: e2730091  add	x2, sp, #0x1c
0xfffffff009e3113c: e00315aa  mov	x0, x21
0xfffffff009e31140: 3be6ff97  bl	#0xfffffff009e2aa2c
0xfffffff009e31144: a00100b5  cbnz	x0, #0xfffffff009e31178
0xfffffff009e31148: 86000014  b	#0xfffffff009e31360
0xfffffff009e3114c: e1830091  add	x1, sp, #0x20
0xfffffff009e31150: e2730091  add	x2, sp, #0x1c
0xfffffff009e31154: e00315aa  mov	x0, x21
0xfffffff009e31158: 35e6ff97  bl	#0xfffffff009e2aa2c
0xfffffff009e3115c: 801100b4  cbz	x0, #0xfffffff009e3138c
0xfffffff009e31160: e40300aa  mov	x4, x0
0xfffffff009e31164: 623240f9  ldr	x2, [x19, #0x60]
0xfffffff009e31168: e03243f9  ldr	x0, [x23, #0x660]
0xfffffff009e3116c: 013743f9  ldr	x1, [x24, #0x668]
0xfffffff009e31170: 03008052  mov	w3, #0
0xfffffff009e31174: 6bc9ff97  bl	#0xfffffff009e23720
0xfffffff009e31178: d6060011  add	w22, w22, #1
0xfffffff009e3117c: 86ffff17  b	#0xfffffff009e30f94
0xfffffff009e31180: 16008052  mov	w22, #0
0xfffffff009e31184: 5bffff17  b	#0xfffffff009e30ef0
0xfffffff009e31188: 48048052  mov	w8, #0x22
0xfffffff009e3118c: 0c000014  b	#0xfffffff009e311bc
0xfffffff009e31190: f00300f9  str	x16, [sp]
0xfffffff009e31194: 80c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e31198: 00003891  add	x0, x0, #0xe00
0xfffffff009e3119c: c1f7fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e311a0: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e311a4: 83cffe90  adrp	x3, #0xfffffff007821000
0xfffffff009e311a8: 630c2891  add	x3, x3, #0xa03
0xfffffff009e311ac: 02028052  mov	w2, #0x10
0xfffffff009e311b0: e0079497  bl	#0xfffffff008333130
0xfffffff009e311b4: 80000014  b	#0xfffffff009e313b4
0xfffffff009e311b8: c8028052  mov	w8, #0x16
0xfffffff009e311bc: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff009e311c0: e80300f9  str	x8, [sp]
0xfffffff009e311c4: 80c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e311c8: 00003891  add	x0, x0, #0xe00
0xfffffff009e311cc: c1f7fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e311d0: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e311d4: 83cffe90  adrp	x3, #0xfffffff007821000
0xfffffff009e311d8: 63c41f91  add	x3, x3, #0x7f1
0xfffffff009e311dc: 02028052  mov	w2, #0x10
0xfffffff009e311e0: d4079497  bl	#0xfffffff008333130
0xfffffff009e311e4: 74000014  b	#0xfffffff009e313b4
0xfffffff009e311e8: ff0300f9  str	xzr, [sp]
0xfffffff009e311ec: 80c3fed0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e311f0: 00003891  add	x0, x0, #0xe00
0xfffffff009e311f4: c1f7fe90  adrp	x1, #0xfffffff007d29000
0xfffffff009e311f8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e311fc: 83cffe90  adrp	x3, #0xfffffff007821000
0xfffffff009e31200: 63882091  add	x3, x3, #0x822
0xfffffff009e31204: 02028052  mov	w2, #0x10
0xfffffff009e31208: ca079497  bl	#0xfffffff008333130
0xfffffff009e3120c: 6a000014  b	#0xfffffff009e313b4
0xfffffff009e31210: f60300a9  stp	x22, x0, [sp]
