; Candidate 14
; ADRP+ADD at VM 0xfffffff007d77524 (fileoff 0xd73524): page=0x1ff2cc000 add_imm=0xd94

0xfffffff007d774a4: 2a0a0094  bl	#0xfffffff007d79d4c
0xfffffff007d774a8: b60000b4  cbz	x22, #0xfffffff007d774bc
0xfffffff007d774ac: a2fe60d3  lsr	x2, x21, #0x20
0xfffffff007d774b0: e00316aa  mov	x0, x22
0xfffffff007d774b4: e10315aa  mov	x1, x21
0xfffffff007d774b8: 07f8ff97  bl	#0xfffffff007d754d4
0xfffffff007d774bc: 80120091  add	x0, x20, #4
0xfffffff007d774c0: 08008012  mov	w8, #-1
0xfffffff007d774c4: 080068b8  ldaddl	w8, w8, [x0]
0xfffffff007d774c8: 48010034  cbz	w8, #0xfffffff007d774f0
0xfffffff007d774cc: 1f050071  cmp	w8, #1
0xfffffff007d774d0: 20010054  b.eq	#0xfffffff007d774f4
0xfffffff007d774d4: 770200b9  str	w23, [x19]
0xfffffff007d774d8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007d774dc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007d774e0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007d774e4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007d774e8: ff430191  add	sp, sp, #0x50
0xfffffff007d774ec: ff0f5fd6  retab	
0xfffffff007d774f0: 3ba31c94  bl	#0xfffffff0084a01dc
0xfffffff007d774f4: 88120091  add	x8, x20, #4
0xfffffff007d774f8: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff007d774fc: 880240b9  ldr	w8, [x20]
0xfffffff007d77500: 00791053  ubfx	w0, w8, #0x10, #0xf
0xfffffff007d77504: e10314aa  mov	x1, x20
0xfffffff007d77508: 22008052  mov	w2, #1
0xfffffff007d7750c: 7ef8ff97  bl	#0xfffffff007d75704
0xfffffff007d77510: f1ffff17  b	#0xfffffff007d774d4
0xfffffff007d77514: 6896ff90  adrp	x8, #0xfffffff007043000
0xfffffff007d77518: 08b93491  add	x8, x8, #0xd2e
0xfffffff007d7751c: 69a18052  mov	w9, #0x50b
0xfffffff007d77520: e82700a9  stp	x8, x9, [sp]
0xfffffff007d77524: 6096ff90  adrp	x0, #0xfffffff007043000
0xfffffff007d77528: 00503691  add	x0, x0, #0xd94
0xfffffff007d7752c: f8731c94  bl	#0xfffffff00849450c
0xfffffff007d77530: e00314aa  mov	x0, x20
0xfffffff007d77534: 02008012  mov	w2, #-1
0xfffffff007d77538: 07731c94  bl	#0xfffffff008494154
0xfffffff007d7753c: 7f2303d5  pacibsp	
0xfffffff007d77540: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007d77544: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007d77548: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007d7754c: fd830091  add	x29, sp, #0x20
0xfffffff007d77550: 14200091  add	x20, x0, #8
0xfffffff007d77554: 15dbffb0  adrp	x21, #0xfffffff0078d8000
0xfffffff007d77558: b5421c91  add	x21, x21, #0x710
0xfffffff007d7755c: a8220091  add	x8, x21, #8
0xfffffff007d77560: a82640a9  ldp	x8, x9, [x21]
0xfffffff007d77564: 0a800091  add	x10, x0, #0x20
0xfffffff007d77568: 5f0109eb  cmp	x10, x9
0xfffffff007d7756c: 029154fa  ccmp	x8, x20, #2, ls
0xfffffff007d77570: 409148fa  ccmp	x10, x8, #0, ls
0xfffffff007d77574: 43070054  b.lo	#0xfffffff007d7765c
0xfffffff007d77578: 88b64ed3  ubfx	x8, x20, #0xe, #0x20
0xfffffff007d7757c: 13dbffb0  adrp	x19, #0xfffffff0078d8000
0xfffffff007d77580: 69be43f9  ldr	x9, [x19, #0x778]
0xfffffff007d77584: 08ed7cd3  lsl	x8, x8, #4
0xfffffff007d77588: 28696878  ldrh	w8, [x9, x8]
0xfffffff007d7758c: 08211f12  and	w8, w8, #0x3fe
0xfffffff007d77590: 1f510071  cmp	w8, #0x14
0xfffffff007d77594: 41060054  b.ne	#0xfffffff007d7765c
0xfffffff007d77598: 00300091  add	x0, x0, #0xc
0xfffffff007d7759c: 01dbffb0  adrp	x1, #0xfffffff0078d8000
0xfffffff007d775a0: 21201b91  add	x1, x1, #0x6c8
