; Candidate 15046
; ADRP+ADD at VM 0xfffffff009a66400 (fileoff 0x2a62400): page=0x1fdba7000 add_imm=0xe4d

0xfffffff009a66380: 080240f9  ldr	x8, [x16]
0xfffffff009a66384: e90310aa  mov	x9, x16
0xfffffff009a66388: f10309aa  mov	x17, x9
0xfffffff009a6638c: 71b0e8f2  movk	x17, #0x4583, lsl #48
0xfffffff009a66390: 11093fd7  blraa	x8, x17
0xfffffff009a66394: 68ae40b9  ldr	w8, [x19, #0xac]
0xfffffff009a66398: e903202a  mvn	w9, w0
0xfffffff009a6639c: 0901090b  add	w9, w8, w9
0xfffffff009a663a0: 1f01006b  cmp	w8, w0
0xfffffff009a663a4: 20819f1a  csel	w0, w9, wzr, hi
0xfffffff009a663a8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a663ac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a663b0: ff0f5fd6  retab	
0xfffffff009a663b4: 7f2303d5  pacibsp	
0xfffffff009a663b8: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a663bc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a663c0: fd430091  add	x29, sp, #0x10
0xfffffff009a663c4: 28ddfef0  adrp	x8, #0xfffffff00760d000
0xfffffff009a663c8: 08d13891  add	x8, x8, #0xe34
0xfffffff009a663cc: 29238052  mov	w9, #0x119
0xfffffff009a663d0: e82700a9  stp	x8, x9, [sp]
0xfffffff009a663d4: 20ddfef0  adrp	x0, #0xfffffff00760d000
0xfffffff009a663d8: 00403891  add	x0, x0, #0xe10
0xfffffff009a663dc: 4cb8a897  bl	#0xfffffff00849450c
0xfffffff009a663e0: 7f2303d5  pacibsp	
0xfffffff009a663e4: ff8300d1  sub	sp, sp, #0x20
0xfffffff009a663e8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a663ec: fd430091  add	x29, sp, #0x10
0xfffffff009a663f0: 28ddfef0  adrp	x8, #0xfffffff00760d000
0xfffffff009a663f4: 08d13891  add	x8, x8, #0xe34
0xfffffff009a663f8: 29248052  mov	w9, #0x121
0xfffffff009a663fc: e82700a9  stp	x8, x9, [sp]
0xfffffff009a66400: 20ddfef0  adrp	x0, #0xfffffff00760d000
0xfffffff009a66404: 00343991  add	x0, x0, #0xe4d
0xfffffff009a66408: 41b8a897  bl	#0xfffffff00849450c
0xfffffff009a6640c: 5f2403d5  bti	c
0xfffffff009a66410: e0588052  mov	w0, #0x2c7
0xfffffff009a66414: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009a66418: c0035fd6  ret	
0xfffffff009a6641c: 7f2303d5  pacibsp	
0xfffffff009a66420: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a66424: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a66428: fd430091  add	x29, sp, #0x10
0xfffffff009a6642c: f30300aa  mov	x19, x0
0xfffffff009a66430: 013800f9  str	x1, [x0, #0x70]
0xfffffff009a66434: 810000b4  cbz	x1, #0xfffffff009a66444
0xfffffff009a66438: e00301aa  mov	x0, x1
0xfffffff009a6643c: 8309a497  bl	#0xfffffff008368a48
0xfffffff009a66440: 02000014  b	#0xfffffff009a66448
0xfffffff009a66444: 000080d2  mov	x0, #0
0xfffffff009a66448: 604a00f9  str	x0, [x19, #0x90]
0xfffffff009a6644c: 605200f9  str	x0, [x19, #0xa0]
0xfffffff009a66450: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a66454: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a66458: ff0f5fd6  retab	
0xfffffff009a6645c: 7f2303d5  pacibsp	
0xfffffff009a66460: ffc300d1  sub	sp, sp, #0x30
0xfffffff009a66464: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009a66468: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009a6646c: fd830091  add	x29, sp, #0x20
0xfffffff009a66470: f30300aa  mov	x19, x0
0xfffffff009a66474: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff009a66478: e80700f9  str	x8, [sp, #8]
0xfffffff009a6647c: 95b79197  bl	#0xfffffff007ed42d0
