; Candidate 8087
; ADRP+ADD at VM 0xfffffff0088942e4 (fileoff 0x18902e4): page=0x1fe955000 add_imm=0xe80

0xfffffff008894264: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008894268: e84bff90  adrp	x8, #0xfffffff007210000
0xfffffff00889426c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008894270: 89f28052  mov	w9, #0x794
0xfffffff008894274: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008894278: c84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00889427c: 08a91891  add	x8, x8, #0x62a
0xfffffff008894280: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008894284: 88098052  mov	w8, #0x4c
0xfffffff008894288: c04cfff0  adrp	x0, #0xfffffff00722f000
0xfffffff00889428c: 00241b91  add	x0, x0, #0x6c9
0xfffffff008894290: aefeff17  b	#0xfffffff008893d48
0xfffffff008894294: c67f0094  bl	#0xfffffff0088b41ac
0xfffffff008894298: f50300aa  mov	x21, x0
0xfffffff00889429c: 80008052  mov	w0, #4
0xfffffff0088942a0: 6c9dff97  bl	#0xfffffff00887b850
0xfffffff0088942a4: e80240f9  ldr	x8, [x23]
0xfffffff0088942a8: fa2b00f9  str	x26, [sp, #0x50]
0xfffffff0088942ac: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff0088942b0: e96704a9  stp	x9, x25, [sp, #0x40]
0xfffffff0088942b4: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088942b8: e84bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088942bc: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088942c0: e9f48052  mov	w9, #0x7a7
0xfffffff0088942c4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088942c8: c84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff0088942cc: 08a91891  add	x8, x8, #0x62a
0xfffffff0088942d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088942d4: 88098052  mov	w8, #0x4c
0xfffffff0088942d8: 434efff0  adrp	x3, #0xfffffff00725f000
0xfffffff0088942dc: 63d40291  add	x3, x3, #0xb5
0xfffffff0088942e0: f52300a9  stp	x21, x8, [sp]
0xfffffff0088942e4: a04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088942e8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088942ec: a18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088942f0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088942f4: 02008052  mov	w2, #0
0xfffffff0088942f8: 8e7bea97  bl	#0xfffffff008333130
0xfffffff0088942fc: aefeff17  b	#0xfffffff008893db4
0xfffffff008894300: ab7f0094  bl	#0xfffffff0088b41ac
0xfffffff008894304: f50300aa  mov	x21, x0
0xfffffff008894308: 80008052  mov	w0, #4
0xfffffff00889430c: 519dff97  bl	#0xfffffff00887b850
0xfffffff008894310: e80240f9  ldr	x8, [x23]
0xfffffff008894314: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008894318: e84bff90  adrp	x8, #0xfffffff007210000
0xfffffff00889431c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008894320: e9ea8052  mov	w9, #0x757
0xfffffff008894324: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008894328: c84cfff0  adrp	x8, #0xfffffff00722f000
0xfffffff00889432c: 08a91891  add	x8, x8, #0x62a
0xfffffff008894330: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008894334: 88098052  mov	w8, #0x4c
0xfffffff008894338: f52300a9  stp	x21, x8, [sp]
0xfffffff00889433c: a04affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008894340: 00003a91  add	x0, x0, #0xe80
0xfffffff008894344: a18bff90  adrp	x1, #0xfffffff007a08000
0xfffffff008894348: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00889434c: 434effd0  adrp	x3, #0xfffffff00725e000
0xfffffff008894350: 63043d91  add	x3, x3, #0xf41
0xfffffff008894354: 02008052  mov	w2, #0
0xfffffff008894358: 767bea97  bl	#0xfffffff008333130
0xfffffff00889435c: 96feff17  b	#0xfffffff008893db4
0xfffffff008894360: 937f0094  bl	#0xfffffff0088b41ac
