; Candidate 816
; ADRP+ADD at VM 0xfffffff0080c86c8 (fileoff 0x10c46c8): page=0x1fefc3000 add_imm=0xd5e

0xfffffff0080c8648: edfbff34  cbz	w13, #0xfffffff0080c85c4
0xfffffff0080c864c: 686280b9  ldrsw	x8, [x19, #0x60]
0xfffffff0080c8650: 291f41f9  ldr	x9, [x25, #0x238]
0xfffffff0080c8654: 2a0540f9  ldr	x10, [x9, #8]
0xfffffff0080c8658: 4801088b  add	x8, x10, x8
0xfffffff0080c865c: 280500f9  str	x8, [x9, #8]
0xfffffff0080c8660: 4cfbff35  cbnz	w12, #0xfffffff0080c85c8
0xfffffff0080c8664: deffff17  b	#0xfffffff0080c85dc
0xfffffff0080c8668: 280a01d0  adrp	x8, #0xfffffff00a20e000
0xfffffff0080c866c: 093149b9  ldr	w9, [x8, #0x930]
0xfffffff0080c8670: 29050011  add	w9, w9, #1
0xfffffff0080c8674: 093109b9  str	w9, [x8, #0x930]
0xfffffff0080c8678: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff0080c867c: a8005036  tbz	w8, #0xa, #0xfffffff0080c8690
0xfffffff0080c8680: 202340f9  ldr	x0, [x25, #0x40]
0xfffffff0080c8684: 21008052  mov	w1, #1
0xfffffff0080c8688: 0104a072  movk	w1, #0x20, lsl #16
0xfffffff0080c868c: b5a70594  bl	#0xfffffff008232560
0xfffffff0080c8690: 202340f9  ldr	x0, [x25, #0x40]
0xfffffff0080c8694: 21008052  mov	w1, #1
0xfffffff0080c8698: 020080d2  mov	x2, #0
0xfffffff0080c869c: 4a000094  bl	#0xfffffff0080c87c4
0xfffffff0080c86a0: ecfeff17  b	#0xfffffff0080c8250
0xfffffff0080c86a4: 757dffb0  adrp	x21, #0xfffffff007075000
0xfffffff0080c86a8: b5062c91  add	x21, x21, #0xb01
0xfffffff0080c86ac: d5fdff17  b	#0xfffffff0080c7e00
0xfffffff0080c86b0: e82700f9  str	x8, [sp, #0x48]
0xfffffff0080c86b4: e10317aa  mov	x1, x23
0xfffffff0080c86b8: 02008052  mov	w2, #0
0xfffffff0080c86bc: 0f8df397  bl	#0xfffffff007dabaf8
0xfffffff0080c86c0: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0080c86c4: 4dfdff17  b	#0xfffffff0080c7bf8
0xfffffff0080c86c8: 007efff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080c86cc: 00783591  add	x0, x0, #0xd5e
0xfffffff0080c86d0: 617dffb0  adrp	x1, #0xfffffff007075000
0xfffffff0080c86d4: 21d82991  add	x1, x1, #0xa76
0xfffffff0080c86d8: a2468152  mov	w2, #0xa35
0xfffffff0080c86dc: 4e5c0f94  bl	#0xfffffff00849f814
0xfffffff0080c86e0: e10317aa  mov	x1, x23
0xfffffff0080c86e4: 2090f397  bl	#0xfffffff007dac764
0xfffffff0080c86e8: 887643f9  ldr	x8, [x20, #0x6e8]
0xfffffff0080c86ec: 68adffb5  cbnz	x8, #0xfffffff0080c7c98
0xfffffff0080c86f0: cffeff17  b	#0xfffffff0080c822c
0xfffffff0080c86f4: 08368052  mov	w8, #0x1b0
0xfffffff0080c86f8: 697dffb0  adrp	x9, #0xfffffff007075000
0xfffffff0080c86fc: 29d12b91  add	x9, x9, #0xaf4
0xfffffff0080c8700: 6a7dffb0  adrp	x10, #0xfffffff007075000
0xfffffff0080c8704: 4aa92b91  add	x10, x10, #0xaea
0xfffffff0080c8708: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080c870c: ea6b00a9  stp	x10, x26, [sp]
0xfffffff0080c8710: 607dffb0  adrp	x0, #0xfffffff007075000
0xfffffff0080c8714: 00202b91  add	x0, x0, #0xac8
0xfffffff0080c8718: 7d2f0f94  bl	#0xfffffff00849450c
0xfffffff0080c871c: 280a01d0  adrp	x8, #0xfffffff00a20e000
0xfffffff0080c8720: 091949b9  ldr	w9, [x8, #0x918]
0xfffffff0080c8724: 29050011  add	w9, w9, #1
0xfffffff0080c8728: 091909b9  str	w9, [x8, #0x918]
0xfffffff0080c872c: 007effd0  adrp	x0, #0xfffffff00708a000
0xfffffff0080c8730: 00cc1d91  add	x0, x0, #0x773
0xfffffff0080c8734: 017effb0  adrp	x1, #0xfffffff007089000
0xfffffff0080c8738: 210c3991  add	x1, x1, #0xe43
0xfffffff0080c873c: a2b38452  mov	w2, #0x259d
0xfffffff0080c8740: 355c0f94  bl	#0xfffffff00849f814
0xfffffff0080c8744: c255f297  bl	#0xfffffff007d5de4c
