; Candidate 8373
; ADRP+ADD at VM 0xfffffff0088a73ac (fileoff 0x18a33ac): page=0x1fe942000 add_imm=0xe80

0xfffffff0088a732c: 18020034  cbz	w24, #0xfffffff0088a736c
0xfffffff0088a7330: 680240b9  ldr	w8, [x19]
0xfffffff0088a7334: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088a7338: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a733c: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7340: 08f12391  add	x8, x8, #0x8fc
0xfffffff0088a7344: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a7348: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a734c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a7350: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a7354: 680f8052  mov	w8, #0x7b
0xfffffff0088a7358: 404cfff0  adrp	x0, #0xfffffff007232000
0xfffffff0088a735c: 00342391  add	x0, x0, #0x8cd
0xfffffff0088a7360: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a7364: 3f40d497  bl	#0xfffffff007db7460
0xfffffff0088a7368: 19000014  b	#0xfffffff0088a73cc
0xfffffff0088a736c: 90330094  bl	#0xfffffff0088b41ac
0xfffffff0088a7370: f70300aa  mov	x23, x0
0xfffffff0088a7374: e0008052  mov	w0, #7
0xfffffff0088a7378: 3651ff97  bl	#0xfffffff00887b850
0xfffffff0088a737c: 680240b9  ldr	w8, [x19]
0xfffffff0088a7380: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088a7384: e90314aa  mov	x9, x20
0xfffffff0088a7388: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff0088a738c: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a7390: 08f12391  add	x8, x8, #0x8fc
0xfffffff0088a7394: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a7398: 484cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a739c: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a73a0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a73a4: 680f8052  mov	w8, #0x7b
0xfffffff0088a73a8: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a73ac: 004affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a73b0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a73b4: 018bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a73b8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a73bc: c34dfff0  adrp	x3, #0xfffffff007262000
0xfffffff0088a73c0: 63e02591  add	x3, x3, #0x978
0xfffffff0088a73c4: 02008052  mov	w2, #0
0xfffffff0088a73c8: 5a2fea97  bl	#0xfffffff008333130
0xfffffff0088a73cc: 9f0e0071  cmp	w20, #3
0xfffffff0088a73d0: 48030054  b.hi	#0xfffffff0088a7438
0xfffffff0088a73d4: 360300b4  cbz	x22, #0xfffffff0088a7438
0xfffffff0088a73d8: 684a348b  add	x8, x19, w20, uxtw #2
0xfffffff0088a73dc: 89e99c52  mov	w9, #0xe74c
0xfffffff0088a73e0: 1a69a9b8  ldrsw	x26, [x8, x9]
0xfffffff0088a73e4: 081f9d52  mov	w8, #0xe8f8
0xfffffff0088a73e8: 7702088b  add	x23, x19, x8
0xfffffff0088a73ec: e00317aa  mov	x0, x23
0xfffffff0088a73f0: e622fe97  bl	#0xfffffff00882ff88
0xfffffff0088a73f4: f90300aa  mov	x25, x0
0xfffffff0088a73f8: e00317aa  mov	x0, x23
0xfffffff0088a73fc: f822fe97  bl	#0xfffffff00882ffdc
0xfffffff0088a7400: 3f0300eb  cmp	x25, x0
0xfffffff0088a7404: 60050054  b.eq	#0xfffffff0088a74b0
0xfffffff0088a7408: f80319aa  mov	x24, x25
0xfffffff0088a740c: 280b40f9  ldr	x8, [x25, #0x10]
0xfffffff0088a7410: 1f0115eb  cmp	x8, x21
0xfffffff0088a7414: 0d090054  b.le	#0xfffffff0088a7534
0xfffffff0088a7418: e00318aa  mov	x0, x24
0xfffffff0088a741c: ae20fe97  bl	#0xfffffff00882f6d4
0xfffffff0088a7420: f90300aa  mov	x25, x0
0xfffffff0088a7424: e00317aa  mov	x0, x23
0xfffffff0088a7428: ed22fe97  bl	#0xfffffff00882ffdc
