; Candidate 9538
; ADRP+ADD at VM 0xfffffff008a6d0ac (fileoff 0x1a690ac): page=0x1feff5000 add_imm=0xeb0

0xfffffff008a6d02c: 10021291  add	x16, x16, #0x480
0xfffffff008a6d030: 10420091  add	x16, x16, #0x10
0xfffffff008a6d034: f10300aa  mov	x17, x0
0xfffffff008a6d038: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a6d03c: 300ac1da  pacda	x16, x17
0xfffffff008a6d040: 100000f9  str	x16, [x0]
0xfffffff008a6d044: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a6d048: ff0f5fd6  retab	
0xfffffff008a6d04c: 5f2403d5  bti	c
0xfffffff008a6d050: 62c7ff17  b	#0xfffffff008a5edd8
0xfffffff008a6d054: 5f2403d5  bti	c
0xfffffff008a6d058: 60c7ff17  b	#0xfffffff008a5edd8
0xfffffff008a6d05c: 7f2303d5  pacibsp	
0xfffffff008a6d060: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a6d064: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a6d068: fd430091  add	x29, sp, #0x10
0xfffffff008a6d06c: f30300aa  mov	x19, x0
0xfffffff008a6d070: 5ac7ff97  bl	#0xfffffff008a5edd8
0xfffffff008a6d074: a07fffb0  adrp	x0, #0xfffffff007a62000
0xfffffff008a6d078: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008a6d07c: e10313aa  mov	x1, x19
0xfffffff008a6d080: 025b8052  mov	w2, #0x2d8
0xfffffff008a6d084: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a6d088: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a6d08c: ff2303d5  autibsp	
0xfffffff008a6d090: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a6d094: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a6d09c
0xfffffff008a6d098: 208e38d4  brk	#0xc471
0xfffffff008a6d09c: 80e9e117  b	#0xfffffff0082e769c
0xfffffff008a6d0a0: 5f2403d5  bti	c
0xfffffff008a6d0a4: e20301aa  mov	x2, x1
0xfffffff008a6d0a8: e10300aa  mov	x1, x0
0xfffffff008a6d0ac: a07fffb0  adrp	x0, #0xfffffff007a62000
0xfffffff008a6d0b0: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008a6d0b4: 7ae9e117  b	#0xfffffff0082e769c
0xfffffff008a6d0b8: 5f2403d5  bti	c
0xfffffff008a6d0bc: 80c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a6d0c0: 00002a91  add	x0, x0, #0xa80
0xfffffff008a6d0c4: c0035fd6  ret	
0xfffffff008a6d0c8: 7f2303d5  pacibsp	
0xfffffff008a6d0cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a6d0d0: fd030091  mov	x29, sp
0xfffffff008a6d0d4: 0142fff0  adrp	x1, #0xfffffff0072b0000
0xfffffff008a6d0d8: 21ac1791  add	x1, x1, #0x5eb
0xfffffff008a6d0dc: 82c300d0  adrp	x2, #0xfffffff00a2df000
0xfffffff008a6d0e0: 42e02691  add	x2, x2, #0x9b8
0xfffffff008a6d0e4: 035b8052  mov	w3, #0x2d8
0xfffffff008a6d0e8: 94dae197  bl	#0xfffffff0082e3b38
0xfffffff008a6d0ec: b07fffb0  adrp	x16, #0xfffffff007a62000
0xfffffff008a6d0f0: 10a23091  add	x16, x16, #0xc28
0xfffffff008a6d0f4: 10420091  add	x16, x16, #0x10
0xfffffff008a6d0f8: f10300aa  mov	x17, x0
0xfffffff008a6d0fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a6d100: 300ac1da  pacda	x16, x17
0xfffffff008a6d104: 100000f9  str	x16, [x0]
0xfffffff008a6d108: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a6d10c: ff0f5fd6  retab	
0xfffffff008a6d110: 7f2303d5  pacibsp	
0xfffffff008a6d114: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a6d118: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a6d11c: fd430091  add	x29, sp, #0x10
0xfffffff008a6d120: a07fffb0  adrp	x0, #0xfffffff007a62000
0xfffffff008a6d124: 00c03a91  add	x0, x0, #0xeb0
0xfffffff008a6d128: 015b8052  mov	w1, #0x2d8
