; Candidate 15862
; ADRP+ADD at VM 0xfffffff009d82a9c (fileoff 0x2d7ea9c): page=0x1fdf99000 add_imm=0xec0

0xfffffff009d82a1c: 00c4853d  str	q0, [x0, #0x1710]
0xfffffff009d82a20: 00c8853d  str	q0, [x0, #0x1720]
0xfffffff009d82a24: 08eb8252  mov	w8, #0x1758
0xfffffff009d82a28: 0a00088b  add	x10, x0, x8
0xfffffff009d82a2c: 082b8352  mov	w8, #0x1958
0xfffffff009d82a30: 0800088b  add	x8, x0, x8
0xfffffff009d82a34: 4b01098b  add	x11, x10, x9
0xfffffff009d82a38: 600100ad  stp	q0, q0, [x11]
0xfffffff009d82a3c: 29810091  add	x9, x9, #0x20
0xfffffff009d82a40: 3f0108f1  cmp	x9, #0x200
0xfffffff009d82a44: 81ffff54  b.ne	#0xfffffff009d82a34
0xfffffff009d82a48: 090080d2  mov	x9, #0
0xfffffff009d82a4c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009d82a50: 0a01098b  add	x10, x8, x9
0xfffffff009d82a54: 400100ad  stp	q0, q0, [x10]
0xfffffff009d82a58: 29810091  add	x9, x9, #0x20
0xfffffff009d82a5c: 3f0108f1  cmp	x9, #0x200
0xfffffff009d82a60: 81ffff54  b.ne	#0xfffffff009d82a50
0xfffffff009d82a64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009d82a68: ff0f5fd6  retab	
0xfffffff009d82a6c: 5f2403d5  bti	c
0xfffffff009d82a70: d2ffff17  b	#0xfffffff009d829b8
0xfffffff009d82a74: 5f2403d5  bti	c
0xfffffff009d82a78: 16fcfe17  b	#0xfffffff009d41ad0
0xfffffff009d82a7c: 5f2403d5  bti	c
0xfffffff009d82a80: 14fcfe17  b	#0xfffffff009d41ad0
0xfffffff009d82a84: 7f2303d5  pacibsp	
0xfffffff009d82a88: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009d82a8c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009d82a90: fd430091  add	x29, sp, #0x10
0xfffffff009d82a94: f30300aa  mov	x19, x0
0xfffffff009d82a98: 0efcfe97  bl	#0xfffffff009d41ad0
0xfffffff009d82a9c: c0fcfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d82aa0: 00003b91  add	x0, x0, #0xec0
0xfffffff009d82aa4: e10313aa  mov	x1, x19
0xfffffff009d82aa8: 02469652  mov	w2, #0xb230
0xfffffff009d82aac: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009d82ab0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009d82ab4: ff2303d5  autibsp	
0xfffffff009d82ab8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009d82abc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009d82ac4
0xfffffff009d82ac0: 208e38d4  brk	#0xc471
0xfffffff009d82ac4: f6929517  b	#0xfffffff0082e769c
0xfffffff009d82ac8: 5f2403d5  bti	c
0xfffffff009d82acc: e20301aa  mov	x2, x1
0xfffffff009d82ad0: e10300aa  mov	x1, x0
0xfffffff009d82ad4: c0fcfeb0  adrp	x0, #0xfffffff007d1b000
0xfffffff009d82ad8: 00003b91  add	x0, x0, #0xec0
0xfffffff009d82adc: f0929517  b	#0xfffffff0082e769c
0xfffffff009d82ae0: 5f2403d5  bti	c
0xfffffff009d82ae4: c03100d0  adrp	x0, #0xfffffff00a3bc000
0xfffffff009d82ae8: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009d82aec: c0035fd6  ret	
0xfffffff009d82af0: 7f2303d5  pacibsp	
0xfffffff009d82af4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009d82af8: fd030091  mov	x29, sp
0xfffffff009d82afc: 81c7fed0  adrp	x1, #0xfffffff007674000
0xfffffff009d82b00: 21382791  add	x1, x1, #0x9ce
0xfffffff009d82b04: c23100d0  adrp	x2, #0xfffffff00a3bc000
0xfffffff009d82b08: 42601f91  add	x2, x2, #0x7d8
0xfffffff009d82b0c: 03469652  mov	w3, #0xb230
0xfffffff009d82b10: 0a849597  bl	#0xfffffff0082e3b38
0xfffffff009d82b14: b0fcfe90  adrp	x16, #0xfffffff007d16000
0xfffffff009d82b18: 10420891  add	x16, x16, #0x210
