; Candidate 14347
; ADRP+ADD at VM 0xfffffff009769e6c (fileoff 0x2765e6c): page=0xc22000 add_imm=0xea8

0xfffffff009769dec: 60f1fef0  adrp	x0, #0xfffffff007598000
0xfffffff009769df0: 00383f91  add	x0, x0, #0xfce
0xfffffff009769df4: 8bb4af97  bl	#0xfffffff008357020
0xfffffff009769df8: 00008052  mov	w0, #0
0xfffffff009769dfc: c1ffff17  b	#0xfffffff009769d00
0xfffffff009769e00: 7f2303d5  pacibsp	
0xfffffff009769e04: ff0302d1  sub	sp, sp, #0x80
0xfffffff009769e08: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009769e0c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009769e10: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009769e14: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009769e18: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009769e1c: fdc30191  add	x29, sp, #0x70
0xfffffff009769e20: f30300aa  mov	x19, x0
0xfffffff009769e24: 08c84239  ldrb	w8, [x0, #0xb2]
0xfffffff009769e28: 08160035  cbnz	w8, #0xfffffff00976a0e8
0xfffffff009769e2c: f40301aa  mov	x20, x1
0xfffffff009769e30: 016100d0  adrp	x1, #0xfffffff00a38b000
0xfffffff009769e34: 21a03a91  add	x1, x1, #0xea8
0xfffffff009769e38: e00314aa  mov	x0, x20
0xfffffff009769e3c: aee7ad97  bl	#0xfffffff0082e3cf4
0xfffffff009769e40: 601400b4  cbz	x0, #0xfffffff00976a0cc
0xfffffff009769e44: 6025ffb0  adrp	x0, #0xfffffff007c16000
0xfffffff009769e48: 00b842f9  ldr	x0, [x0, #0x570]
0xfffffff009769e4c: a124af97  bl	#0xfffffff0083330d0
0xfffffff009769e50: c0100034  cbz	w0, #0xfffffff00976a068
0xfffffff009769e54: 6825ffb0  adrp	x8, #0xfffffff007c16000
0xfffffff009769e58: 080543f9  ldr	x8, [x8, #0x608]
0xfffffff009769e5c: 010140f9  ldr	x1, [x8]
0xfffffff009769e60: e00314aa  mov	x0, x20
0xfffffff009769e64: d58e0094  bl	#0xfffffff00978d9b8
0xfffffff009769e68: f50300aa  mov	x21, x0
0xfffffff009769e6c: 006100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009769e70: 00a03a91  add	x0, x0, #0xea8
0xfffffff009769e74: b9eaad97  bl	#0xfffffff0082e4958
0xfffffff009769e78: e00313aa  mov	x0, x19
0xfffffff009769e7c: f8fafc97  bl	#0xfffffff0096a8a5c
0xfffffff009769e80: c00100b5  cbnz	x0, #0xfffffff009769eb8
0xfffffff009769e84: 700240f9  ldr	x16, [x19]
0xfffffff009769e88: f10313aa  mov	x17, x19
0xfffffff009769e8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009769e90: 301ac1da  autda	x16, x17
0xfffffff009769e94: 113d80d2  mov	x17, #0x1e8
0xfffffff009769e98: 1002118b  add	x16, x16, x17
0xfffffff009769e9c: 080240f9  ldr	x8, [x16]
0xfffffff009769ea0: e90310aa  mov	x9, x16
0xfffffff009769ea4: e00313aa  mov	x0, x19
0xfffffff009769ea8: 010080d2  mov	x1, #0
0xfffffff009769eac: f10309aa  mov	x17, x9
0xfffffff009769eb0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009769eb4: 11093fd7  blraa	x8, x17
0xfffffff009769eb8: e00313aa  mov	x0, x19
0xfffffff009769ebc: e8fafc97  bl	#0xfffffff0096a8a5c
0xfffffff009769ec0: e00313aa  mov	x0, x19
0xfffffff009769ec4: e6fafc97  bl	#0xfffffff0096a8a5c
0xfffffff009769ec8: c00100b5  cbnz	x0, #0xfffffff009769f00
0xfffffff009769ecc: 700240f9  ldr	x16, [x19]
0xfffffff009769ed0: f10313aa  mov	x17, x19
0xfffffff009769ed4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009769ed8: 301ac1da  autda	x16, x17
0xfffffff009769edc: 114380d2  mov	x17, #0x218
0xfffffff009769ee0: 1002118b  add	x16, x16, x17
0xfffffff009769ee4: 080240f9  ldr	x8, [x16]
0xfffffff009769ee8: e90310aa  mov	x9, x16
