; Candidate 12763
; ADRP+ADD at VM 0xfffffff0091541ac (fileoff 0x21501ac): page=0x1fe334000 add_imm=0xd01

0xfffffff00915412c: 75010034  cbz	w21, #0xfffffff009154158
0xfffffff009154130: e0a301a9  stp	x0, x8, [sp, #0x18]
0xfffffff009154134: e8a30091  add	x8, sp, #0x28
0xfffffff009154138: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff00915413c: 29b93391  add	x9, x9, #0xcee
0xfffffff009154140: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff009154144: e90300f9  str	x9, [sp]
0xfffffff009154148: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff00915414c: 00043491  add	x0, x0, #0xd01
0xfffffff009154150: c48cb197  bl	#0xfffffff007db7460
0xfffffff009154154: 0a000014  b	#0xfffffff00915417c
0xfffffff009154158: e0a301a9  stp	x0, x8, [sp, #0x18]
0xfffffff00915415c: e8a30091  add	x8, sp, #0x28
0xfffffff009154160: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff009154164: 29b93391  add	x9, x9, #0xcee
0xfffffff009154168: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff00915416c: e90300f9  str	x9, [sp]
0xfffffff009154170: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154174: 00043491  add	x0, x0, #0xd01
0xfffffff009154178: f66ccc97  bl	#0xfffffff00846f550
0xfffffff00915417c: e8d25f39  ldrb	w8, [x23, #0x7f4]
0xfffffff009154180: c8010836  tbz	w8, #1, #0xfffffff0091541b8
0xfffffff009154184: 46e7b597  bl	#0xfffffff007ecde9c
0xfffffff009154188: 80010034  cbz	w0, #0xfffffff0091541b8
0xfffffff00915418c: e00314aa  mov	x0, x20
0xfffffff009154190: 99550094  bl	#0xfffffff0091697f4
0xfffffff009154194: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff009154198: e8a30091  add	x8, sp, #0x28
0xfffffff00915419c: a919ff90  adrp	x9, #0xfffffff007488000
0xfffffff0091541a0: 29b93391  add	x9, x9, #0xcee
0xfffffff0091541a4: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0091541a8: e90300f9  str	x9, [sp]
0xfffffff0091541ac: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff0091541b0: 00043491  add	x0, x0, #0xd01
0xfffffff0091541b4: 9b0bc897  bl	#0xfffffff008357020
0xfffffff0091541b8: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0091541bc: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0091541c0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0091541c4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0091541c8: ffc30191  add	sp, sp, #0x70
0xfffffff0091541cc: ff0f5fd6  retab	
0xfffffff0091541d0: 5f2403d5  bti	c
0xfffffff0091541d4: e40303aa  mov	x4, x3
0xfffffff0091541d8: e30302aa  mov	x3, x2
0xfffffff0091541dc: 100040f9  ldr	x16, [x0]
0xfffffff0091541e0: f10300aa  mov	x17, x0
0xfffffff0091541e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091541e8: 301ac1da  autda	x16, x17
0xfffffff0091541ec: 11ad80d2  mov	x17, #0x568
0xfffffff0091541f0: 1002118b  add	x16, x16, x17
0xfffffff0091541f4: 080240f9  ldr	x8, [x16]
0xfffffff0091541f8: e50310aa  mov	x5, x16
0xfffffff0091541fc: f00308aa  mov	x16, x8
0xfffffff009154200: 02008052  mov	w2, #0
0xfffffff009154204: f10305aa  mov	x17, x5
0xfffffff009154208: 11c7faf2  movk	x17, #0xd638, lsl #48
0xfffffff00915420c: 110a1fd7  braa	x16, x17
0xfffffff009154210: 7f2303d5  pacibsp	
0xfffffff009154214: ff0301d1  sub	sp, sp, #0x40
0xfffffff009154218: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00915421c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009154220: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009154224: fdc30091  add	x29, sp, #0x30
0xfffffff009154228: f30303aa  mov	x19, x3
