; Candidate 2907
; ADRP+ADD at VM 0xfffffff0086f4dc4 (fileoff 0x16f0dc4): page=0x1fea3d000 add_imm=0xd90

0xfffffff0086f4d44: 3f01086b  cmp	w9, w8
0xfffffff0086f4d48: 8a000054  b.ge	#0xfffffff0086f4d58
0xfffffff0086f4d4c: 89a74139  ldrb	w9, [x28, #0x69]
0xfffffff0086f4d50: 29210051  sub	w9, w9, #8
0xfffffff0086f4d54: 38000014  b	#0xfffffff0086f4e34
0xfffffff0086f4d58: 6ade7bb9  ldr	w10, [x19, #0x3bdc]
0xfffffff0086f4d5c: 89a74139  ldrb	w9, [x28, #0x69]
0xfffffff0086f4d60: 29210051  sub	w9, w9, #8
0xfffffff0086f4d64: 5f01096b  cmp	w10, w9
0xfffffff0086f4d68: 6b060054  b.lt	#0xfffffff0086f4e34
0xfffffff0086f4d6c: 6ad27bb9  ldr	w10, [x19, #0x3bd0]
0xfffffff0086f4d70: 8b6f40b9  ldr	w11, [x28, #0x6c]
0xfffffff0086f4d74: 5f010b6b  cmp	w10, w11
0xfffffff0086f4d78: e3050054  b.lo	#0xfffffff0086f4e34
0xfffffff0086f4d7c: 6ad67bb9  ldr	w10, [x19, #0x3bd4]
0xfffffff0086f4d80: 8b7340b9  ldr	w11, [x28, #0x70]
0xfffffff0086f4d84: 5f010b6b  cmp	w10, w11
0xfffffff0086f4d88: 63050054  b.lo	#0xfffffff0086f4e34
0xfffffff0086f4d8c: 6ae27bb9  ldr	w10, [x19, #0x3be0]
0xfffffff0086f4d90: ec031caa  mov	x12, x28
0xfffffff0086f4d94: 8b6740b9  ldr	w11, [x28, #0x64]
0xfffffff0086f4d98: 5f010b6b  cmp	w10, w11
0xfffffff0086f4d9c: 02040054  b.hs	#0xfffffff0086f4e1c
0xfffffff0086f4da0: fc030caa  mov	x28, x12
0xfffffff0086f4da4: f90317aa  mov	x25, x23
0xfffffff0086f4da8: 23000014  b	#0xfffffff0086f4e34
0xfffffff0086f4dac: 6a867eb9  ldr	w10, [x19, #0x3e84]
0xfffffff0086f4db0: 8b7340b9  ldr	w11, [x28, #0x70]
0xfffffff0086f4db4: e9af02a9  stp	x9, x11, [sp, #0x28]
0xfffffff0086f4db8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0086f4dbc: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff0086f4dc0: fa0300f9  str	x26, [sp]
0xfffffff0086f4dc4: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4dc8: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4dcc: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4dd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4dd4: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4dd8: 63503d91  add	x3, x3, #0xf54
0xfffffff0086f4ddc: 02008052  mov	w2, #0
0xfffffff0086f4de0: d4f8f097  bl	#0xfffffff008333130
0xfffffff0086f4de4: d7feff17  b	#0xfffffff0086f4940
0xfffffff0086f4de8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0086f4dec: e90314aa  mov	x9, x20
0xfffffff0086f4df0: f5a700a9  stp	x21, x9, [sp, #8]
0xfffffff0086f4df4: fa0300f9  str	x26, [sp]
0xfffffff0086f4df8: e051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086f4dfc: 00403691  add	x0, x0, #0xd90
0xfffffff0086f4e00: 4198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f4e04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f4e08: 0352ff90  adrp	x3, #0xfffffff007134000
0xfffffff0086f4e0c: 63343f91  add	x3, x3, #0xfcd
0xfffffff0086f4e10: 02008052  mov	w2, #0
0xfffffff0086f4e14: c7f8f097  bl	#0xfffffff008333130
0xfffffff0086f4e18: cafeff17  b	#0xfffffff0086f4940
0xfffffff0086f4e1c: 6ae67bb9  ldr	w10, [x19, #0x3be4]
0xfffffff0086f4e20: fc030caa  mov	x28, x12
0xfffffff0086f4e24: 8b6140b9  ldr	w11, [x12, #0x60]
0xfffffff0086f4e28: 5f010b6b  cmp	w10, w11
0xfffffff0086f4e2c: f90317aa  mov	x25, x23
0xfffffff0086f4e30: 02270054  b.hs	#0xfffffff0086f5310
0xfffffff0086f4e34: 68da3bb9  str	w8, [x19, #0x3bd8]
0xfffffff0086f4e38: 69de3bb9  str	w9, [x19, #0x3bdc]
0xfffffff0086f4e3c: 803340fd  ldr	d0, [x28, #0x60]
0xfffffff0086f4e40: 0008a00e  rev64	v0.2s, v0.2s
