; Candidate 3976
; ADRP+ADD at VM 0xfffffff00877d724 (fileoff 0x1779724): page=0x1fe9b4000 add_imm=0xd90

0xfffffff00877d6a4: 09a140a9  ldp	x9, x8, [x8, #8]
0xfffffff00877d6a8: 340009cb  sub	x20, x1, x9
0xfffffff00877d6ac: 0001148b  add	x0, x8, x20
0xfffffff00877d6b0: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff00877d6b4: c80400b4  cbz	x8, #0xfffffff00877d74c
0xfffffff00877d6b8: 68968052  mov	w8, #0x4b3
0xfffffff00877d6bc: 894efff0  adrp	x9, #0xfffffff007150000
0xfffffff00877d6c0: 29512f91  add	x9, x9, #0xbd4
0xfffffff00877d6c4: e92300a9  stp	x9, x8, [sp]
0xfffffff00877d6c8: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d6cc: 00403691  add	x0, x0, #0xd90
0xfffffff00877d6d0: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d6d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d6d8: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d6dc: 63983791  add	x3, x3, #0xde6
0xfffffff00877d6e0: 02008052  mov	w2, #0
0xfffffff00877d6e4: 93d6ee97  bl	#0xfffffff008333130
0xfffffff00877d6e8: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff00877d6ec: 08e55ef9  ldr	x8, [x8, #0x3dc8]
0xfffffff00877d6f0: 13410091  add	x19, x8, #0x10
0xfffffff00877d6f4: 14000014  b	#0xfffffff00877d744
0xfffffff00877d6f8: 130d42f9  ldr	x19, [x8, #0x418]
0xfffffff00877d6fc: 688e41f8  ldr	x8, [x19, #0x18]!
0xfffffff00877d700: 69825ff8  ldur	x9, [x19, #-8]
0xfffffff00877d704: 340009cb  sub	x20, x1, x9
0xfffffff00877d708: 0001148b  add	x0, x8, x20
0xfffffff00877d70c: 08fc60d3  lsr	x8, x0, #0x20
0xfffffff00877d710: e80100b4  cbz	x8, #0xfffffff00877d74c
0xfffffff00877d714: 88988052  mov	w8, #0x4c4
0xfffffff00877d718: 894efff0  adrp	x9, #0xfffffff007150000
0xfffffff00877d71c: 29512f91  add	x9, x9, #0xbd4
0xfffffff00877d720: e92300a9  stp	x9, x8, [sp]
0xfffffff00877d724: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d728: 00403691  add	x0, x0, #0xd90
0xfffffff00877d72c: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d730: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d734: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d738: 63683891  add	x3, x3, #0xe1a
0xfffffff00877d73c: 02008052  mov	w2, #0
0xfffffff00877d740: 7cd6ee97  bl	#0xfffffff008333130
0xfffffff00877d744: 680240f9  ldr	x8, [x19]
0xfffffff00877d748: 0001148b  add	x0, x8, x20
0xfffffff00877d74c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00877d750: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00877d754: ffc30091  add	sp, sp, #0x30
0xfffffff00877d758: ff0f5fd6  retab	
0xfffffff00877d75c: 7f2303d5  pacibsp	
0xfffffff00877d760: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00877d764: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00877d768: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00877d76c: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00877d770: fdc30091  add	x29, sp, #0x30
0xfffffff00877d774: f30300aa  mov	x19, x0
0xfffffff00877d778: 29204129  ldp	w9, w8, [x1, #8]
0xfffffff00877d77c: 2a7d0011  add	w10, w9, #0x1f
0xfffffff00877d780: 2bf90011  add	w11, w9, #0x3e
0xfffffff00877d784: 5f010071  cmp	w10, #0
0xfffffff00877d788: 6ab18a1a  csel	w10, w11, w10, lt
0xfffffff00877d78c: 4a7d0513  asr	w10, w10, #5
0xfffffff00877d790: 0b7d0011  add	w11, w8, #0x1f
0xfffffff00877d794: 0cf90011  add	w12, w8, #0x3e
0xfffffff00877d798: 7f010071  cmp	w11, #0
0xfffffff00877d79c: 8bb18b1a  csel	w11, w12, w11, lt
0xfffffff00877d7a0: 6b7d0513  asr	w11, w11, #5
