; Candidate 503
; ADRP+ADD at VM 0xfffffff007f4bd10 (fileoff 0xf47d10): page=0x1ff114000 add_imm=0xe84

0xfffffff007f4bc90: 00202e91  add	x0, x0, #0xb88
0xfffffff007f4bc94: e1031caa  mov	x1, x28
0xfffffff007f4bc98: b382f997  bl	#0xfffffff007dac764
0xfffffff007f4bc9c: 97f70736  tbz	w23, #0, #0xfffffff007f4bb8c
0xfffffff007f4bca0: e7ffff17  b	#0xfffffff007f4bc3c
0xfffffff007f4bca4: a888ff90  adrp	x8, #0xfffffff00705f000
0xfffffff007f4bca8: 08513691  add	x8, x8, #0xd94
0xfffffff007f4bcac: 09b28052  mov	w9, #0x590
0xfffffff007f4bcb0: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4bcb4: a088ff90  adrp	x0, #0xfffffff00705f000
0xfffffff007f4bcb8: 000c3991  add	x0, x0, #0xe43
0xfffffff007f4bcbc: 14221594  bl	#0xfffffff00849450c
0xfffffff007f4bcc0: 09e54079  ldrh	w9, [x8, #0x72]
0xfffffff007f4bcc4: 0ae14079  ldrh	w10, [x8, #0x70]
0xfffffff007f4bcc8: 0b5540b9  ldr	w11, [x8, #0x54]
0xfffffff007f4bccc: cceb8252  mov	w12, #0x175e
0xfffffff007f4bcd0: 8d88ffd0  adrp	x13, #0xfffffff00705d000
0xfffffff007f4bcd4: ad410791  add	x13, x13, #0x1d0
0xfffffff007f4bcd8: ed3303a9  stp	x13, x12, [sp, #0x30]
0xfffffff007f4bcdc: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff007f4bce0: 0a00b012  mov	w10, #0x7fffffff
0xfffffff007f4bce4: 8b88ffd0  adrp	x11, #0xfffffff00705d000
0xfffffff007f4bce8: 6b511991  add	x11, x11, #0x654
0xfffffff007f4bcec: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007f4bcf0: 8088ffd0  adrp	x0, #0xfffffff00705d000
0xfffffff007f4bcf4: 00001891  add	x0, x0, #0x600
0xfffffff007f4bcf8: eb2300a9  stp	x11, x8, [sp]
0xfffffff007f4bcfc: 04221594  bl	#0xfffffff00849450c
0xfffffff007f4bd00: a888ff90  adrp	x8, #0xfffffff00705f000
0xfffffff007f4bd04: 08513691  add	x8, x8, #0xd94
0xfffffff007f4bd08: e9b68052  mov	w9, #0x5b7
0xfffffff007f4bd0c: e82700a9  stp	x8, x9, [sp]
0xfffffff007f4bd10: a088ff90  adrp	x0, #0xfffffff00705f000
0xfffffff007f4bd14: 00103a91  add	x0, x0, #0xe84
0xfffffff007f4bd18: fd211594  bl	#0xfffffff00849450c
0xfffffff007f4bd1c: e2ffff17  b	#0xfffffff007f4bca4
0xfffffff007f4bd20: e1ffff17  b	#0xfffffff007f4bca4
0xfffffff007f4bd24: e7ffff17  b	#0xfffffff007f4bcc0
0xfffffff007f4bd28: e6ffff17  b	#0xfffffff007f4bcc0
0xfffffff007f4bd2c: 4848f897  bl	#0xfffffff007d5de4c
0xfffffff007f4bd30: ddffff17  b	#0xfffffff007f4bca4
0xfffffff007f4bd34: e3ffff17  b	#0xfffffff007f4bcc0
0xfffffff007f4bd38: f2ffff17  b	#0xfffffff007f4bd00
0xfffffff007f4bd3c: 7f2303d5  pacibsp	
0xfffffff007f4bd40: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007f4bd44: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f4bd48: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f4bd4c: fd830091  add	x29, sp, #0x20
0xfffffff007f4bd50: f30300aa  mov	x19, x0
0xfffffff007f4bd54: 145842a9  ldp	x20, x22, [x0, #0x20]
0xfffffff007f4bd58: 540200b4  cbz	x20, #0xfffffff007f4bda0
0xfffffff007f4bd5c: 880240b9  ldr	w8, [x20]
0xfffffff007f4bd60: 08010034  cbz	w8, #0xfffffff007f4bd80
0xfffffff007f4bd64: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff007f4bd68: 1f0113eb  cmp	x8, x19
0xfffffff007f4bd6c: 20010054  b.eq	#0xfffffff007f4bd90
0xfffffff007f4bd70: 893a40f9  ldr	x9, [x20, #0x70]
0xfffffff007f4bd74: 3f0113eb  cmp	x9, x19
0xfffffff007f4bd78: 01010054  b.ne	#0xfffffff007f4bd98
0xfffffff007f4bd7c: 06000014  b	#0xfffffff007f4bd94
0xfffffff007f4bd80: 884640f9  ldr	x8, [x20, #0x88]
0xfffffff007f4bd84: 680500b4  cbz	x8, #0xfffffff007f4be30
0xfffffff007f4bd88: 40088052  mov	w0, #0x42
0xfffffff007f4bd8c: 25000014  b	#0xfffffff007f4be20
