; Candidate 15979
; ADRP+ADD at VM 0xfffffff009df46f8 (fileoff 0x2df06f8): page=0x1fd8ae000 add_imm=0xdc7

0xfffffff009df4678: 080550b2  orr	x8, x8, #0x3000000000000
0xfffffff009df467c: e81700f9  str	x8, [sp, #0x28]
0xfffffff009df4680: 700240f9  ldr	x16, [x19]
0xfffffff009df4684: f10313aa  mov	x17, x19
0xfffffff009df4688: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df468c: 301ac1da  autda	x16, x17
0xfffffff009df4690: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff009df4694: e90310aa  mov	x9, x16
0xfffffff009df4698: e1a30091  add	x1, sp, #0x28
0xfffffff009df469c: e00313aa  mov	x0, x19
0xfffffff009df46a0: 020080d2  mov	x2, #0
0xfffffff009df46a4: 23008052  mov	w3, #1
0xfffffff009df46a8: f10309aa  mov	x17, x9
0xfffffff009df46ac: 1161f5f2  movk	x17, #0xab08, lsl #48
0xfffffff009df46b0: 11093fd7  blraa	x8, x17
0xfffffff009df46b4: 80020034  cbz	w0, #0xfffffff009df4704
0xfffffff009df46b8: f50300aa  mov	x21, x0
0xfffffff009df46bc: 604240f9  ldr	x0, [x19, #0x80]
0xfffffff009df46c0: 600100b4  cbz	x0, #0xfffffff009df46ec
0xfffffff009df46c4: 100040f9  ldr	x16, [x0]
0xfffffff009df46c8: f10300aa  mov	x17, x0
0xfffffff009df46cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df46d0: 301ac1da  autda	x16, x17
0xfffffff009df46d4: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009df46d8: e90310aa  mov	x9, x16
0xfffffff009df46dc: f10309aa  mov	x17, x9
0xfffffff009df46e0: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df46e4: 11093fd7  blraa	x8, x17
0xfffffff009df46e8: 03000014  b	#0xfffffff009df46f4
0xfffffff009df46ec: 20c5fed0  adrp	x0, #0xfffffff00769a000
0xfffffff009df46f0: 00c02d91  add	x0, x0, #0xb70
0xfffffff009df46f4: e05700a9  stp	x0, x21, [sp]
0xfffffff009df46f8: 60c5fed0  adrp	x0, #0xfffffff0076a2000
0xfffffff009df46fc: 001c3791  add	x0, x0, #0xdc7
0xfffffff009df4700: 488a9597  bl	#0xfffffff008357020
0xfffffff009df4704: 68624439  ldrb	w8, [x19, #0x118]
0xfffffff009df4708: 08040035  cbnz	w8, #0xfffffff009df4788
0xfffffff009df470c: 75620491  add	x21, x19, #0x118
0xfffffff009df4710: 28008052  mov	w8, #1
0xfffffff009df4714: 68620439  strb	w8, [x19, #0x118]
0xfffffff009df4718: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff009df471c: 100040f9  ldr	x16, [x0]
0xfffffff009df4720: f10300aa  mov	x17, x0
0xfffffff009df4724: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4728: 301ac1da  autda	x16, x17
0xfffffff009df472c: 11a980d2  mov	x17, #0x548
0xfffffff009df4730: 1002118b  add	x16, x16, x17
0xfffffff009df4734: 080240f9  ldr	x8, [x16]
0xfffffff009df4738: e90310aa  mov	x9, x16
0xfffffff009df473c: f10309aa  mov	x17, x9
0xfffffff009df4740: 119ae0f2  movk	x17, #0x4d0, lsl #48
0xfffffff009df4744: 11093fd7  blraa	x8, x17
0xfffffff009df4748: 100040f9  ldr	x16, [x0]
0xfffffff009df474c: f10300aa  mov	x17, x0
0xfffffff009df4750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009df4754: 301ac1da  autda	x16, x17
0xfffffff009df4758: f10310aa  mov	x17, x16
0xfffffff009df475c: f147c1da  xpacd	x17
0xfffffff009df4760: 1f0211eb  cmp	x16, x17
0xfffffff009df4764: 40000054  b.eq	#0xfffffff009df476c
0xfffffff009df4768: 408e38d4  brk	#0xc472
0xfffffff009df476c: 08220491  add	x8, x16, #0x108
0xfffffff009df4770: 098640f9  ldr	x9, [x16, #0x108]
0xfffffff009df4774: e10315aa  mov	x1, x21
