; Candidate 5964
; ADRP+ADD at VM 0xfffffff00880cd98 (fileoff 0x1808d98): page=0x1fe9dd000 add_imm=0xe80

0xfffffff00880cd18: a0030034  cbz	w0, #0xfffffff00880cd8c
0xfffffff00880cd1c: e803164b  neg	w8, w22
0xfffffff00880cd20: 68032837  tbnz	w8, #5, #0xfffffff00880cd8c
0xfffffff00880cd24: 886e41b9  ldr	w8, [x20, #0x16c]
0xfffffff00880cd28: 29008052  mov	w9, #1
0xfffffff00880cd2c: e92300a9  stp	x9, x8, [sp]
0xfffffff00880cd30: 6050fff0  adrp	x0, #0xfffffff00721b000
0xfffffff00880cd34: 00402491  add	x0, x0, #0x910
0xfffffff00880cd38: caa9d697  bl	#0xfffffff007db7460
0xfffffff00880cd3c: 1f000014  b	#0xfffffff00880cdb8
0xfffffff00880cd40: 1b9d0294  bl	#0xfffffff0088b41ac
0xfffffff00880cd44: f70300aa  mov	x23, x0
0xfffffff00880cd48: e00315aa  mov	x0, x21
0xfffffff00880cd4c: c1ba0194  bl	#0xfffffff00887b850
0xfffffff00880cd50: 896e41b9  ldr	w9, [x20, #0x16c]
0xfffffff00880cd54: 28008052  mov	w8, #1
0xfffffff00880cd58: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880cd5c: e80313aa  mov	x8, x19
0xfffffff00880cd60: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880cd64: f70300f9  str	x23, [sp]
0xfffffff00880cd68: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880cd6c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880cd70: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880cd74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880cd78: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880cd7c: 63782d91  add	x3, x3, #0xb5e
0xfffffff00880cd80: 02008052  mov	w2, #0
0xfffffff00880cd84: eb98ec97  bl	#0xfffffff008333130
0xfffffff00880cd88: 0c000014  b	#0xfffffff00880cdb8
0xfffffff00880cd8c: 886e41b9  ldr	w8, [x20, #0x16c]
0xfffffff00880cd90: 29008052  mov	w9, #1
0xfffffff00880cd94: e92300a9  stp	x9, x8, [sp]
0xfffffff00880cd98: e04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880cd9c: 00003a91  add	x0, x0, #0xe80
0xfffffff00880cda0: e18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00880cda4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880cda8: c351ffd0  adrp	x3, #0xfffffff007246000
0xfffffff00880cdac: 63dc2c91  add	x3, x3, #0xb37
0xfffffff00880cdb0: 02008052  mov	w2, #0
0xfffffff00880cdb4: df98ec97  bl	#0xfffffff008333130
0xfffffff00880cdb8: e00313aa  mov	x0, x19
0xfffffff00880cdbc: e10315aa  mov	x1, x21
0xfffffff00880cdc0: 84ba0194  bl	#0xfffffff00887b7d0
0xfffffff00880cdc4: e0090034  cbz	w0, #0xfffffff00880cf00
0xfffffff00880cdc8: e00313aa  mov	x0, x19
0xfffffff00880cdcc: 93ba0194  bl	#0xfffffff00887b818
0xfffffff00880cdd0: d602f837  tbnz	w22, #0x1f, #0xfffffff00880ce28
0xfffffff00880cdd4: d8021b12  and	w24, w22, #0x20
0xfffffff00880cdd8: 19000052  eor	w25, w0, #1
0xfffffff00880cddc: f49c0294  bl	#0xfffffff0088b41ac
0xfffffff00880cde0: f70300aa  mov	x23, x0
0xfffffff00880cde4: e00315aa  mov	x0, x21
0xfffffff00880cde8: 9aba0194  bl	#0xfffffff00887b850
0xfffffff00880cdec: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff00880cdf0: a8030037  tbnz	w8, #0, #0xfffffff00880ce64
0xfffffff00880cdf4: 887241b9  ldr	w8, [x20, #0x170]
0xfffffff00880cdf8: 897641b9  ldr	w9, [x20, #0x174]
0xfffffff00880cdfc: 8a7a41b9  ldr	w10, [x20, #0x178]
0xfffffff00880ce00: 8b7e41b9  ldr	w11, [x20, #0x17c]
0xfffffff00880ce04: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff00880ce08: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00880ce0c: 28008052  mov	w8, #1
0xfffffff00880ce10: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880ce14: e80313aa  mov	x8, x19
