; Candidate 14457
; ADRP+ADD at VM 0xfffffff00978c29c (fileoff 0x278829c): page=0x1fe4b4000 add_imm=0xde0

0xfffffff00978c21c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff00978c220: 03000014  b	#0xfffffff00978c22c
0xfffffff00978c224: 9f2403d5  bti	j
0xfffffff00978c228: 16090011  add	w22, w8, #2
0xfffffff00978c22c: 9f2403d5  bti	j
0xfffffff00978c230: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff00978c234: e80f00f9  str	x8, [sp, #0x18]
0xfffffff00978c238: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff00978c23c: e00500b4  cbz	x0, #0xfffffff00978c2f8
0xfffffff00978c240: 810a4039  ldrb	w1, [x20, #2]
0xfffffff00978c244: 100040f9  ldr	x16, [x0]
0xfffffff00978c248: f10300aa  mov	x17, x0
0xfffffff00978c24c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00978c250: 301ac1da  autda	x16, x17
0xfffffff00978c254: 112380d2  mov	x17, #0x118
0xfffffff00978c258: 1002118b  add	x16, x16, x17
0xfffffff00978c25c: 080240f9  ldr	x8, [x16]
0xfffffff00978c260: e90310aa  mov	x9, x16
0xfffffff00978c264: f10309aa  mov	x17, x9
0xfffffff00978c268: 718af0f2  movk	x17, #0x8453, lsl #48
0xfffffff00978c26c: 11093fd7  blraa	x8, x17
0xfffffff00978c270: 400400b4  cbz	x0, #0xfffffff00978c2f8
0xfffffff00978c274: f50300aa  mov	x21, x0
0xfffffff00978c278: 77e2af97  bl	#0xfffffff008384c54
0xfffffff00978c27c: e0030037  tbnz	w0, #0, #0xfffffff00978c2f8
0xfffffff00978c280: e00315aa  mov	x0, x21
0xfffffff00978c284: 2c2efe97  bl	#0xfffffff009717b34
0xfffffff00978c288: 800300b4  cbz	x0, #0xfffffff00978c2f8
0xfffffff00978c28c: e00315aa  mov	x0, x21
0xfffffff00978c290: 2e2efe97  bl	#0xfffffff009717b48
0xfffffff00978c294: f50300aa  mov	x21, x0
0xfffffff00978c298: 970a4039  ldrb	w23, [x20, #2]
0xfffffff00978c29c: a025ff90  adrp	x0, #0xfffffff007c40000
0xfffffff00978c2a0: 00803791  add	x0, x0, #0xde0
0xfffffff00978c2a4: 9428af97  bl	#0xfffffff0083564f4
0xfffffff00978c2a8: 800200b4  cbz	x0, #0xfffffff00978c2f8
0xfffffff00978c2ac: f40300aa  mov	x20, x0
0xfffffff00978c2b0: 130000f9  str	x19, [x0]
0xfffffff00978c2b4: 160800b9  str	w22, [x0, #8]
0xfffffff00978c2b8: 15300039  strb	w21, [x0, #0xc]
0xfffffff00978c2bc: 17340039  strb	w23, [x0, #0xd]
0xfffffff00978c2c0: 28008052  mov	w8, #1
0xfffffff00978c2c4: 081000b9  str	w8, [x0, #0x10]
0xfffffff00978c2c8: 1f0c00f9  str	xzr, [x0, #0x18]
0xfffffff00978c2cc: f0fffff0  adrp	x16, #0xfffffff00978b000
0xfffffff00978c2d0: 10621e91  add	x16, x16, #0x798
0xfffffff00978c2d4: f1a09ad2  mov	x17, #0xd507
0xfffffff00978c2d8: 3002c1da  pacia	x16, x17
0xfffffff00978c2dc: e00310aa  mov	x0, x16
0xfffffff00978c2e0: e2630091  add	x2, sp, #0x18
0xfffffff00978c2e4: e10314aa  mov	x1, x20
0xfffffff00978c2e8: 38779997  bl	#0xfffffff007de9fc8
0xfffffff00978c2ec: 20010035  cbnz	w0, #0xfffffff00978c310
0xfffffff00978c2f0: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff00978c2f4: a26b9997  bl	#0xfffffff007de717c
0xfffffff00978c2f8: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00978c2fc: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00978c300: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00978c304: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00978c308: ff830191  add	sp, sp, #0x60
0xfffffff00978c30c: ff0f5fd6  retab	
0xfffffff00978c310: e00314aa  mov	x0, x20
0xfffffff00978c314: 57fdff97  bl	#0xfffffff00978b870
0xfffffff00978c318: f8ffff17  b	#0xfffffff00978c2f8
