; Candidate 12278
; ADRP+ADD at VM 0xfffffff0090820f0 (fileoff 0x207e0f0): page=0x1fe3d8000 add_imm=0xe93

0xfffffff009082070: d61eff90  adrp	x22, #0xfffffff00745a000
0xfffffff009082074: d6ca3991  add	x22, x22, #0xe72
0xfffffff009082078: b71efff0  adrp	x23, #0xfffffff007459000
0xfffffff00908207c: f72e3f91  add	x23, x23, #0xfcb
0xfffffff009082080: 1f290071  cmp	w8, #0xa
0xfffffff009082084: a8000054  b.hi	#0xfffffff009082098
0xfffffff009082088: f75b00a9  stp	x23, x22, [sp]
0xfffffff00908208c: a01efff0  adrp	x0, #0xfffffff007459000
0xfffffff009082090: 00583191  add	x0, x0, #0xc56
0xfffffff009082094: e353cb97  bl	#0xfffffff008357020
0xfffffff009082098: e00313aa  mov	x0, x19
0xfffffff00908209c: 4e7b0094  bl	#0xfffffff0090a0dd4
0xfffffff0090820a0: 100040f9  ldr	x16, [x0]
0xfffffff0090820a4: f10300aa  mov	x17, x0
0xfffffff0090820a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090820ac: 301ac1da  autda	x16, x17
0xfffffff0090820b0: 115480d2  mov	x17, #0x2a0
0xfffffff0090820b4: 1002118b  add	x16, x16, x17
0xfffffff0090820b8: 080240f9  ldr	x8, [x16]
0xfffffff0090820bc: e90310aa  mov	x9, x16
0xfffffff0090820c0: 01008052  mov	w1, #0
0xfffffff0090820c4: f10309aa  mov	x17, x9
0xfffffff0090820c8: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0090820cc: 11093fd7  blraa	x8, x17
0xfffffff0090820d0: 68164139  ldrb	w8, [x19, #0x45]
0xfffffff0090820d4: 68070035  cbnz	w8, #0xfffffff0090821c0
0xfffffff0090820d8: 28008052  mov	w8, #1
0xfffffff0090820dc: 68160139  strb	w8, [x19, #0x45]
0xfffffff0090820e0: 08034039  ldrb	w8, [x24]
0xfffffff0090820e4: 1fa10071  cmp	w8, #0x28
0xfffffff0090820e8: a8000054  b.hi	#0xfffffff0090820fc
0xfffffff0090820ec: f75b00a9  stp	x23, x22, [sp]
0xfffffff0090820f0: c01eff90  adrp	x0, #0xfffffff00745a000
0xfffffff0090820f4: 004c3a91  add	x0, x0, #0xe93
0xfffffff0090820f8: ca53cb97  bl	#0xfffffff008357020
0xfffffff0090820fc: e00313aa  mov	x0, x19
0xfffffff009082100: b40e0094  bl	#0xfffffff009085bd0
0xfffffff009082104: a0070035  cbnz	w0, #0xfffffff0090821f8
0xfffffff009082108: 08034039  ldrb	w8, [x24]
0xfffffff00908210c: 1fa50071  cmp	w8, #0x29
0xfffffff009082110: 82020054  b.hs	#0xfffffff009082160
0xfffffff009082114: f75b00a9  stp	x23, x22, [sp]
0xfffffff009082118: c01eff90  adrp	x0, #0xfffffff00745a000
0xfffffff00908211c: 00483b91  add	x0, x0, #0xed2
0xfffffff009082120: c053cb97  bl	#0xfffffff008357020
0xfffffff009082124: 08034039  ldrb	w8, [x24]
0xfffffff009082128: a9020052  eor	w9, w21, #1
0xfffffff00908212c: 9f020071  cmp	w20, #0
0xfffffff009082130: 8a008052  mov	w10, #4
0xfffffff009082134: 4a119f1a  csel	w10, w10, wzr, ne
0xfffffff009082138: 5401092a  orr	w20, w10, w9
0xfffffff00908213c: 74821239  strb	w20, [x19, #0x4a0]
0xfffffff009082140: 1fa10071  cmp	w8, #0x28
0xfffffff009082144: a8010054  b.hi	#0xfffffff009082178
0xfffffff009082148: f75b00a9  stp	x23, x22, [sp]
0xfffffff00908214c: f40b00f9  str	x20, [sp, #0x10]
0xfffffff009082150: c01eff90  adrp	x0, #0xfffffff00745a000
0xfffffff009082154: 00dc3b91  add	x0, x0, #0xef7
0xfffffff009082158: b253cb97  bl	#0xfffffff008357020
0xfffffff00908215c: 07000014  b	#0xfffffff009082178
0xfffffff009082160: a8020052  eor	w8, w21, #1
0xfffffff009082164: 9f020071  cmp	w20, #0
0xfffffff009082168: 89008052  mov	w9, #4
0xfffffff00908216c: 29119f1a  csel	w9, w9, wzr, ne
