; Candidate 6505
; ADRP+ADD at VM 0xfffffff008830b80 (fileoff 0x182cb80): page=0x1fe9b9000 add_imm=0xe80

0xfffffff008830b00: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008830b04: 080b8052  mov	w8, #0x58
0xfffffff008830b08: f42300a9  stp	x20, x8, [sp]
0xfffffff008830b0c: c04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008830b10: 00003a91  add	x0, x0, #0xe80
0xfffffff008830b14: c18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008830b18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008830b1c: e350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008830b20: 63e81191  add	x3, x3, #0x47a
0xfffffff008830b24: 02008052  mov	w2, #0
0xfffffff008830b28: 8209ec97  bl	#0xfffffff008333130
0xfffffff008830b2c: 547e8012  mov	w20, #-0x3f3
0xfffffff008830b30: 48000014  b	#0xfffffff008830c50
0xfffffff008830b34: 9e0d0294  bl	#0xfffffff0088b41ac
0xfffffff008830b38: f50300aa  mov	x21, x0
0xfffffff008830b3c: e0008052  mov	w0, #7
0xfffffff008830b40: 442b0194  bl	#0xfffffff00887b850
0xfffffff008830b44: f60300aa  mov	x22, x0
0xfffffff008830b48: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff008830b4c: 171940b9  ldr	w23, [x8, #0x18]
0xfffffff008830b50: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008830b54: 01008052  mov	w1, #0
0xfffffff008830b58: e20317aa  mov	x2, x23
0xfffffff008830b5c: 6b510194  bl	#0xfffffff008885108
0xfffffff008830b60: f40303a9  stp	x20, x0, [sp, #0x30]
0xfffffff008830b64: 48248052  mov	w8, #0x122
0xfffffff008830b68: e85f02a9  stp	x8, x23, [sp, #0x20]
0xfffffff008830b6c: 884fffd0  adrp	x8, #0xfffffff007222000
0xfffffff008830b70: 081d3491  add	x8, x8, #0xd07
0xfffffff008830b74: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008830b78: 080b8052  mov	w8, #0x58
0xfffffff008830b7c: f52300a9  stp	x21, x8, [sp]
0xfffffff008830b80: c04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008830b84: 00003a91  add	x0, x0, #0xe80
0xfffffff008830b88: c18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff008830b8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008830b90: e350ffb0  adrp	x3, #0xfffffff00724d000
0xfffffff008830b94: 63b81291  add	x3, x3, #0x4ae
0xfffffff008830b98: 02008052  mov	w2, #0
0xfffffff008830b9c: 6509ec97  bl	#0xfffffff008333130
0xfffffff008830ba0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008830ba4: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff008830ba8: 021d40b9  ldr	w2, [x8, #0x1c]
0xfffffff008830bac: 01008052  mov	w1, #0
0xfffffff008830bb0: 56510194  bl	#0xfffffff008885108
0xfffffff008830bb4: 15781f12  and	w21, w0, #0xfffffffe
0xfffffff008830bb8: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008830bbc: 681a40f9  ldr	x8, [x19, #0x30]
0xfffffff008830bc0: 021d40b9  ldr	w2, [x8, #0x1c]
0xfffffff008830bc4: 01008052  mov	w1, #0
0xfffffff008830bc8: e30315aa  mov	x3, x21
0xfffffff008830bcc: 69510194  bl	#0xfffffff008885170
0xfffffff008830bd0: 000b8052  mov	w0, #0x58
0xfffffff008830bd4: e1008052  mov	w1, #7
0xfffffff008830bd8: fe2a0194  bl	#0xfffffff00887b7d0
0xfffffff008830bdc: 14008052  mov	w20, #0
0xfffffff008830be0: 80030034  cbz	w0, #0xfffffff008830c50
0xfffffff008830be4: 000b8052  mov	w0, #0x58
0xfffffff008830be8: 0c2b0194  bl	#0xfffffff00887b818
0xfffffff008830bec: f80300aa  mov	x24, x0
0xfffffff008830bf0: 6f0d0294  bl	#0xfffffff0088b41ac
0xfffffff008830bf4: f40300aa  mov	x20, x0
0xfffffff008830bf8: e0008052  mov	w0, #7
0xfffffff008830bfc: 152b0194  bl	#0xfffffff00887b850
