; Candidate 673
; ADRP+ADD at VM 0xfffffff008014264 (fileoff 0x1010264): page=0x21f4000 add_imm=0xeb0

0xfffffff0080141e4: f10300aa  mov	x17, x0
0xfffffff0080141e8: 1173e6f2  movk	x17, #0x3398, lsl #48
0xfffffff0080141ec: 3002c1da  pacia	x16, x17
0xfffffff0080141f0: 100000f9  str	x16, [x0]
0xfffffff0080141f4: 15500329  stp	w21, w20, [x0, #0x18]
0xfffffff0080141f8: 00800091  add	x0, x0, #0x20
0xfffffff0080141fc: e10313aa  mov	x1, x19
0xfffffff008014200: 02028052  mov	w2, #0x10
0xfffffff008014204: e3e1f497  bl	#0xfffffff007d4c990
0xfffffff008014208: e00316aa  mov	x0, x22
0xfffffff00801420c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008014210: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008014214: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008014218: ff2303d5  autibsp	
0xfffffff00801421c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008014220: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008014228
0xfffffff008014224: 208e38d4  brk	#0xc471
0xfffffff008014228: 23150114  b	#0xfffffff0080596b4
0xfffffff00801422c: 7f2303d5  pacibsp	
0xfffffff008014230: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008014234: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff008014238: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00801423c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008014240: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008014244: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008014248: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00801424c: fd430291  add	x29, sp, #0x90
0xfffffff008014250: f30300aa  mov	x19, x0
0xfffffff008014254: 880d01f0  adrp	x8, #0xfffffff00a1c7000
0xfffffff008014258: 08010091  add	x8, x8, #0
0xfffffff00801425c: 080140f9  ldr	x8, [x8]
0xfffffff008014260: e81f00f9  str	x8, [sp, #0x38]
0xfffffff008014264: a00f0190  adrp	x0, #0xfffffff00a208000
0xfffffff008014268: 00c03a91  add	x0, x0, #0xeb0
0xfffffff00801426c: 2183fff0  adrp	x1, #0xfffffff00707b000
0xfffffff008014270: 21202c91  add	x1, x1, #0xb08
0xfffffff008014274: 8f140994  bl	#0xfffffff0082594b0
0xfffffff008014278: 001000b4  cbz	x0, #0xfffffff008014478
0xfffffff00801427c: f40300aa  mov	x20, x0
0xfffffff008014280: 08804039  ldrb	w8, [x0, #0x20]
0xfffffff008014284: 48120036  tbz	w8, #0, #0xfffffff0080144cc
0xfffffff008014288: 882640b9  ldr	w8, [x20, #0x24]
0xfffffff00801428c: 08050031  adds	w8, w8, #1
0xfffffff008014290: 882600b9  str	w8, [x20, #0x24]
0xfffffff008014294: 62110054  b.hs	#0xfffffff0080144c0
0xfffffff008014298: 191001f0  adrp	x25, #0xfffffff00a217000
0xfffffff00801429c: 280348b9  ldr	w8, [x25, #0x800]
0xfffffff0080142a0: 1f050071  cmp	w8, #1
0xfffffff0080142a4: 8b000054  b.lt	#0xfffffff0080142b4
0xfffffff0080142a8: a182fff0  adrp	x1, #0xfffffff00706b000
0xfffffff0080142ac: 21082691  add	x1, x1, #0x982
0xfffffff0080142b0: 0405f697  bl	#0xfffffff007d956c0
0xfffffff0080142b4: 9a2640f9  ldr	x26, [x20, #0x48]
0xfffffff0080142b8: 1a0c00b4  cbz	x26, #0xfffffff008014438
0xfffffff0080142bc: 88a20091  add	x8, x20, #0x28
0xfffffff0080142c0: e80700f9  str	x8, [sp, #8]
0xfffffff0080142c4: 76820091  add	x22, x19, #0x20
0xfffffff0080142c8: 97d038d5  mrs	x23, tpidr_el1
0xfffffff0080142cc: dbcaffd0  adrp	x27, #0xfffffff00796e000
0xfffffff0080142d0: dccaffd0  adrp	x28, #0xfffffff00796e000
0xfffffff0080142d4: d5caffd0  adrp	x21, #0xfffffff00796e000
0xfffffff0080142d8: f883ff90  adrp	x24, #0xfffffff007090000
0xfffffff0080142dc: 18b30091  add	x24, x24, #0x2c
0xfffffff0080142e0: 1a000014  b	#0xfffffff008014348
