; Candidate 12831
; ADRP+ADD at VM 0xfffffff0091657cc (fileoff 0x21617cc): page=0x1fe326000 add_imm=0xe34

0xfffffff00916574c: 087440f9  ldr	x8, [x0, #0xe8]
0xfffffff009165750: 480400b5  cbnz	x8, #0xfffffff0091657d8
0xfffffff009165754: f30301aa  mov	x19, x1
0xfffffff009165758: bff31e38  sturb	wzr, [x29, #-0x11]
0xfffffff00916575c: 808240f9  ldr	x0, [x20, #0x100]
0xfffffff009165760: 82de40b9  ldr	w2, [x20, #0xdc]
0xfffffff009165764: 100040f9  ldr	x16, [x0]
0xfffffff009165768: f10300aa  mov	x17, x0
0xfffffff00916576c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009165770: 301ac1da  autda	x16, x17
0xfffffff009165774: 11a880d2  mov	x17, #0x540
0xfffffff009165778: 1002118b  add	x16, x16, x17
0xfffffff00916577c: 080240f9  ldr	x8, [x16]
0xfffffff009165780: e90310aa  mov	x9, x16
0xfffffff009165784: a14700d1  sub	x1, x29, #0x11
0xfffffff009165788: f10309aa  mov	x17, x9
0xfffffff00916578c: d1f5eaf2  movk	x17, #0x57ae, lsl #48
0xfffffff009165790: 11093fd7  blraa	x8, x17
0xfffffff009165794: e80313aa  mov	x8, x19
0xfffffff009165798: 80020034  cbz	w0, #0xfffffff0091657e8
0xfffffff00916579c: 88220439  strb	w8, [x20, #0x108]
0xfffffff0091657a0: ccbab597  bl	#0xfffffff007ed42d0
0xfffffff0091657a4: e20300aa  mov	x2, x0
0xfffffff0091657a8: 81224439  ldrb	w1, [x20, #0x108]
0xfffffff0091657ac: e00314aa  mov	x0, x20
0xfffffff0091657b0: c0781894  bl	#0xfffffff009783ab0
0xfffffff0091657b4: 88224439  ldrb	w8, [x20, #0x108]
0xfffffff0091657b8: 89de40b9  ldr	w9, [x20, #0xdc]
0xfffffff0091657bc: 2a19ffd0  adrp	x10, #0xfffffff00748b000
0xfffffff0091657c0: 4a8d3891  add	x10, x10, #0xe23
0xfffffff0091657c4: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0091657c8: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0091657cc: 2019ffd0  adrp	x0, #0xfffffff00748b000
0xfffffff0091657d0: 00d03891  add	x0, x0, #0xe34
0xfffffff0091657d4: 13c6c797  bl	#0xfffffff008357020
0xfffffff0091657d8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0091657dc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0091657e0: ff430191  add	sp, sp, #0x50
0xfffffff0091657e4: ff0f5fd6  retab	
0xfffffff0091657e8: a9f35e38  ldurb	w9, [x29, #-0x11]
0xfffffff0091657ec: 88224439  ldrb	w8, [x20, #0x108]
0xfffffff0091657f0: 3f01086b  cmp	w9, w8
0xfffffff0091657f4: 20ffff54  b.eq	#0xfffffff0091657d8
0xfffffff0091657f8: e80313aa  mov	x8, x19
0xfffffff0091657fc: 3f01136b  cmp	w9, w19
0xfffffff009165800: e0fcff54  b.eq	#0xfffffff00916579c
0xfffffff009165804: 2819ffd0  adrp	x8, #0xfffffff00748b000
0xfffffff009165808: 088d3891  add	x8, x8, #0xe23
0xfffffff00916580c: e80300f9  str	x8, [sp]
0xfffffff009165810: 2019ffd0  adrp	x0, #0xfffffff00748b000
0xfffffff009165814: 00243891  add	x0, x0, #0xe09
0xfffffff009165818: 02c6c797  bl	#0xfffffff008357020
0xfffffff00916581c: a8f35e38  ldurb	w8, [x29, #-0x11]
0xfffffff009165820: 1f010071  cmp	w8, #0
0xfffffff009165824: e8079f1a  cset	w8, ne
0xfffffff009165828: ddffff17  b	#0xfffffff00916579c
0xfffffff00916582c: 7f2303d5  pacibsp	
0xfffffff009165830: ffc301d1  sub	sp, sp, #0x70
0xfffffff009165834: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009165838: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00916583c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009165840: fd830191  add	x29, sp, #0x60
0xfffffff009165844: f40301aa  mov	x20, x1
0xfffffff009165848: f30300aa  mov	x19, x0
