; Candidate 16011
; ADRP+ADD at VM 0xfffffff009df9644 (fileoff 0x2df5644): page=0x1fd8a3000 add_imm=0xe2d

0xfffffff009df95c4: fd030091  mov	x29, sp
0xfffffff009df95c8: c80040f9  ldr	x8, [x6]
0xfffffff009df95cc: 1f0103eb  cmp	x8, x3
0xfffffff009df95d0: 62000054  b.hs	#0xfffffff009df95dc
0xfffffff009df95d4: 40008052  mov	w0, #2
0xfffffff009df95d8: 19000014  b	#0xfffffff009df963c
0xfffffff009df95dc: c30000f9  str	x3, [x6]
0xfffffff009df95e0: 2503f8b7  tbnz	x5, #0x3f, #0xfffffff009df9644
0xfffffff009df95e4: a8fc60d3  lsr	x8, x5, #0x20
0xfffffff009df95e8: 1f01056b  cmp	w8, w5
0xfffffff009df95ec: c2020054  b.hs	#0xfffffff009df9644
0xfffffff009df95f0: 800008ab  adds	x0, x4, x8
0xfffffff009df95f4: e9379f1a  cset	w9, hs
0xfffffff009df95f8: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009df95fc: 090109ca  eor	x9, x8, x9
0xfffffff009df9600: 890200b5  cbnz	x9, #0xfffffff009df9650
0xfffffff009df9604: 6802f8b7  tbnz	x8, #0x3f, #0xfffffff009df9650
0xfffffff009df9608: e201f8b7  tbnz	x2, #0x3f, #0xfffffff009df9644
0xfffffff009df960c: 48fc60d3  lsr	x8, x2, #0x20
0xfffffff009df9610: 1f01026b  cmp	w8, w2
0xfffffff009df9614: 82010054  b.hs	#0xfffffff009df9644
0xfffffff009df9618: 210008ab  adds	x1, x1, x8
0xfffffff009df961c: e9379f1a  cset	w9, hs
0xfffffff009df9620: 28014093  sbfx	x8, x9, #0, #1
0xfffffff009df9624: 090109ca  eor	x9, x8, x9
0xfffffff009df9628: 490100b5  cbnz	x9, #0xfffffff009df9650
0xfffffff009df962c: 2801f8b7  tbnz	x8, #0x3f, #0xfffffff009df9650
0xfffffff009df9630: e20303aa  mov	x2, x3
0xfffffff009df9634: d74c7d97  bl	#0xfffffff007d4c990
0xfffffff009df9638: 00008052  mov	w0, #0
0xfffffff009df963c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009df9640: ff0f5fd6  retab	
0xfffffff009df9644: 00c5fef0  adrp	x0, #0xfffffff00769c000
0xfffffff009df9648: 00b43891  add	x0, x0, #0xe2d
0xfffffff009df964c: 14000094  bl	#0xfffffff009df969c
0xfffffff009df9650: 00c5fed0  adrp	x0, #0xfffffff00769b000
0xfffffff009df9654: 004c0691  add	x0, x0, #0x193
0xfffffff009df9658: 11000094  bl	#0xfffffff009df969c
0xfffffff009df965c: 5f2403d5  bti	c
0xfffffff009df9660: 25ac9317  b	#0xfffffff0082e46f4
0xfffffff009df9664: 5f2403d5  bti	c
0xfffffff009df9668: 00008052  mov	w0, #0
0xfffffff009df966c: c0035fd6  ret	
0xfffffff009df9670: 5f2403d5  bti	c
0xfffffff009df9674: 000080d2  mov	x0, #0
0xfffffff009df9678: c0035fd6  ret	
0xfffffff009df967c: 5f2403d5  bti	c
0xfffffff009df9680: 00208052  mov	w0, #0x100
0xfffffff009df9684: c0035fd6  ret	
0xfffffff009df9688: 5f2403d5  bti	c
0xfffffff009df968c: 1aac9317  b	#0xfffffff0082e46f4
0xfffffff009df9690: 5f2403d5  bti	c
0xfffffff009df9694: e03f8052  mov	w0, #0x1ff
0xfffffff009df9698: c0035fd6  ret	
0xfffffff009df969c: 7f2303d5  pacibsp	
0xfffffff009df96a0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009df96a4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009df96a8: fd830091  add	x29, sp, #0x20
0xfffffff009df96ac: a8068052  mov	w8, #0x35
0xfffffff009df96b0: 09c5fed0  adrp	x9, #0xfffffff00769b000
0xfffffff009df96b4: 29110691  add	x9, x9, #0x184
0xfffffff009df96b8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009df96bc: e00300f9  str	x0, [sp]
0xfffffff009df96c0: 00c5fed0  adrp	x0, #0xfffffff00769b000
