; Candidate 12825
; ADRP+ADD at VM 0xfffffff009164238 (fileoff 0x2160238): page=0x1fea01000 add_imm=0xce8

0xfffffff0091641b8: e60313aa  mov	x6, x19
0xfffffff0091641bc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0091641c0: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0091641c4: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0091641c8: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0091641cc: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0091641d0: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0091641d4: ff030291  add	sp, sp, #0x80
0xfffffff0091641d8: ff2303d5  autibsp	
0xfffffff0091641dc: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0091641e0: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0091641e8
0xfffffff0091641e4: 208e38d4  brk	#0xc471
0xfffffff0091641e8: f10307aa  mov	x17, x7
0xfffffff0091641ec: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff0091641f0: 110a1fd7  braa	x16, x17
0xfffffff0091641f4: 68010034  cbz	w8, #0xfffffff009164220
0xfffffff0091641f8: 0819fff0  adrp	x8, #0xfffffff007487000
0xfffffff0091641fc: 0a393091  add	x10, x8, #0xc0e
0xfffffff009164200: 2819fff0  adrp	x8, #0xfffffff00748b000
0xfffffff009164204: 08b92691  add	x8, x8, #0x9ae
0xfffffff009164208: e91c8052  mov	w9, #0xe7
0xfffffff00916420c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009164210: e80300f9  str	x8, [sp]
0xfffffff009164214: 2019fff0  adrp	x0, #0xfffffff00748b000
0xfffffff009164218: 00282991  add	x0, x0, #0xa4a
0xfffffff00916421c: 81cbc797  bl	#0xfffffff008357020
0xfffffff009164220: e00316aa  mov	x0, x22
0xfffffff009164224: 010080d2  mov	x1, #0
0xfffffff009164228: 71dbff97  bl	#0xfffffff00915afec
0xfffffff00916422c: f60300aa  mov	x22, x0
0xfffffff009164230: a00200b5  cbnz	x0, #0xfffffff009164284
0xfffffff009164234: 16000014  b	#0xfffffff00916428c
0xfffffff009164238: 0050ffb0  adrp	x0, #0xfffffff007b65000
0xfffffff00916423c: 00a03391  add	x0, x0, #0xce8
0xfffffff009164240: 010a8052  mov	w1, #0x50
0xfffffff009164244: fd0cc697  bl	#0xfffffff0082e7638
0xfffffff009164248: f60300aa  mov	x22, x0
0xfffffff00916424c: 958d00b0  adrp	x21, #0xfffffff00a315000
0xfffffff009164250: b5e22791  add	x21, x21, #0x9f8
0xfffffff009164254: e10315aa  mov	x1, x21
0xfffffff009164258: a850d497  bl	#0xfffffff0086784f8
0xfffffff00916425c: f04ffff0  adrp	x16, #0xfffffff007b63000
0xfffffff009164260: 10223291  add	x16, x16, #0xc88
0xfffffff009164264: 10420091  add	x16, x16, #0x10
0xfffffff009164268: f10300aa  mov	x17, x0
0xfffffff00916426c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009164270: 300ac1da  pacda	x16, x17
0xfffffff009164274: 100000f9  str	x16, [x0]
0xfffffff009164278: e00315aa  mov	x0, x21
0xfffffff00916427c: ae03c697  bl	#0xfffffff0082e5134
0xfffffff009164280: 966a00f9  str	x22, [x20, #0xd0]
0xfffffff009164284: 15008052  mov	w21, #0
0xfffffff009164288: 760200f9  str	x22, [x19]
0xfffffff00916428c: e00315aa  mov	x0, x21
0xfffffff009164290: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009164294: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009164298: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00916429c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0091642a0: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0091642a4: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0091642a8: ff030291  add	sp, sp, #0x80
0xfffffff0091642ac: ff0f5fd6  retab	
0xfffffff0091642b0: 5f2403d5  bti	c
0xfffffff0091642b4: e10300aa  mov	x1, x0
