; Candidate 8758
; ADRP+ADD at VM 0xfffffff0088c36e8 (fileoff 0x18bf6e8): page=0x1fe926000 add_imm=0xe80

0xfffffff0088c3668: 00050036  tbz	w0, #0, #0xfffffff0088c3708
0xfffffff0088c366c: 60008052  mov	w0, #3
0xfffffff0088c3670: 6ae0fe97  bl	#0xfffffff00887b818
0xfffffff0088c3674: f40300aa  mov	x20, x0
0xfffffff0088c3678: cdc2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c367c: f30300aa  mov	x19, x0
0xfffffff0088c3680: 60008052  mov	w0, #3
0xfffffff0088c3684: 73e0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3688: d4010036  tbz	w20, #0, #0xfffffff0088c36c0
0xfffffff0088c368c: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c3690: 08092991  add	x8, x8, #0xa42
0xfffffff0088c3694: e9108052  mov	w9, #0x87
0xfffffff0088c3698: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c369c: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c36a0: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c36a4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c36a8: 68008052  mov	w8, #3
0xfffffff0088c36ac: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c36b0: 604affb0  adrp	x0, #0xfffffff007210000
0xfffffff0088c36b4: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c36b8: 6acfd397  bl	#0xfffffff007db7460
0xfffffff0088c36bc: 13000014  b	#0xfffffff0088c3708
0xfffffff0088c36c0: bbc2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c36c4: bf7efd97  bl	#0xfffffff0088231c0
0xfffffff0088c36c8: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c36cc: 08092991  add	x8, x8, #0xa42
0xfffffff0088c36d0: e9108052  mov	w9, #0x87
0xfffffff0088c36d4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c36d8: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c36dc: 08bd2791  add	x8, x8, #0x9ef
0xfffffff0088c36e0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c36e4: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c36e8: 2049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c36ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c36f0: 218affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c36f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c36f8: 234cfff0  adrp	x3, #0xfffffff00724a000
0xfffffff0088c36fc: 635c3191  add	x3, x3, #0xc57
0xfffffff0088c3700: 02008052  mov	w2, #0
0xfffffff0088c3704: 8bbee997  bl	#0xfffffff008333130
0xfffffff0088c3708: e84affb0  adrp	x8, #0xfffffff007220000
0xfffffff0088c370c: 082d2a91  add	x8, x8, #0xa8b
0xfffffff0088c3710: e9108052  mov	w9, #0x87
0xfffffff0088c3714: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c3718: e04affb0  adrp	x0, #0xfffffff007220000
0xfffffff0088c371c: 00882991  add	x0, x0, #0xa62
0xfffffff0088c3720: 7b43ef97  bl	#0xfffffff00849450c
0xfffffff0088c3724: 7f2303d5  pacibsp	
0xfffffff0088c3728: ff4301d1  sub	sp, sp, #0x50
0xfffffff0088c372c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0088c3730: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0088c3734: fd030191  add	x29, sp, #0x40
0xfffffff0088c3738: 60008052  mov	w0, #3
0xfffffff0088c373c: 61008052  mov	w1, #3
0xfffffff0088c3740: 24e0fe97  bl	#0xfffffff00887b7d0
0xfffffff0088c3744: 00050036  tbz	w0, #0, #0xfffffff0088c37e4
0xfffffff0088c3748: 60008052  mov	w0, #3
0xfffffff0088c374c: 33e0fe97  bl	#0xfffffff00887b818
0xfffffff0088c3750: f40300aa  mov	x20, x0
0xfffffff0088c3754: 96c2ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c3758: f30300aa  mov	x19, x0
0xfffffff0088c375c: 60008052  mov	w0, #3
0xfffffff0088c3760: 3ce0fe97  bl	#0xfffffff00887b850
0xfffffff0088c3764: d4010036  tbz	w20, #0, #0xfffffff0088c379c
