; Candidate 8829
; ADRP+ADD at VM 0xfffffff0088c6bd4 (fileoff 0x18c2bd4): page=0x1fe923000 add_imm=0xe80

0xfffffff0088c6b54: 00050036  tbz	w0, #0, #0xfffffff0088c6bf4
0xfffffff0088c6b58: 60008052  mov	w0, #3
0xfffffff0088c6b5c: 2fd3fe97  bl	#0xfffffff00887b818
0xfffffff0088c6b60: f40300aa  mov	x20, x0
0xfffffff0088c6b64: 92b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6b68: f30300aa  mov	x19, x0
0xfffffff0088c6b6c: 60008052  mov	w0, #3
0xfffffff0088c6b70: 38d3fe97  bl	#0xfffffff00887b850
0xfffffff0088c6b74: d4010036  tbz	w20, #0, #0xfffffff0088c6bac
0xfffffff0088c6b78: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6b7c: 08c12d91  add	x8, x8, #0xb70
0xfffffff0088c6b80: a97c8052  mov	w9, #0x3e5
0xfffffff0088c6b84: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c6b88: 284bfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088c6b8c: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff0088c6b90: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c6b94: 68008052  mov	w8, #3
0xfffffff0088c6b98: f32300a9  stp	x19, x8, [sp]
0xfffffff0088c6b9c: 404affd0  adrp	x0, #0xfffffff007210000
0xfffffff0088c6ba0: 00d82f91  add	x0, x0, #0xbf6
0xfffffff0088c6ba4: 2fc2d397  bl	#0xfffffff007db7460
0xfffffff0088c6ba8: 13000014  b	#0xfffffff0088c6bf4
0xfffffff0088c6bac: 80b5ff97  bl	#0xfffffff0088b41ac
0xfffffff0088c6bb0: 121bff97  bl	#0xfffffff00888d7f8
0xfffffff0088c6bb4: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6bb8: 08c12d91  add	x8, x8, #0xb70
0xfffffff0088c6bbc: a97c8052  mov	w9, #0x3e5
0xfffffff0088c6bc0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088c6bc4: 284bfff0  adrp	x8, #0xfffffff00722d000
0xfffffff0088c6bc8: 08bd0f91  add	x8, x8, #0x3ef
0xfffffff0088c6bcc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088c6bd0: f35300a9  stp	x19, x20, [sp]
0xfffffff0088c6bd4: 0049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088c6bd8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088c6bdc: 018affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088c6be0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088c6be4: a34cfff0  adrp	x3, #0xfffffff00725d000
0xfffffff0088c6be8: 63643091  add	x3, x3, #0xc19
0xfffffff0088c6bec: 02008052  mov	w2, #0
0xfffffff0088c6bf0: 50b1e997  bl	#0xfffffff008333130
0xfffffff0088c6bf4: 484bff90  adrp	x8, #0xfffffff00722e000
0xfffffff0088c6bf8: 08112491  add	x8, x8, #0x904
0xfffffff0088c6bfc: a97c8052  mov	w9, #0x3e5
0xfffffff0088c6c00: e82700a9  stp	x8, x9, [sp]
0xfffffff0088c6c04: 404bff90  adrp	x0, #0xfffffff00722e000
0xfffffff0088c6c08: 00042f91  add	x0, x0, #0xbc1
0xfffffff0088c6c0c: 4036ef97  bl	#0xfffffff00849450c
0xfffffff0088c6c10: 7f2303d5  pacibsp	
0xfffffff0088c6c14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088c6c18: fd030091  mov	x29, sp
0xfffffff0088c6c1c: 014dffb0  adrp	x1, #0xfffffff007267000
0xfffffff0088c6c20: 21a01f91  add	x1, x1, #0x7e8
0xfffffff0088c6c24: 428aff90  adrp	x2, #0xfffffff007a0e000
0xfffffff0088c6c28: 422846f9  ldr	x2, [x2, #0xc50]
0xfffffff0088c6c2c: 03088052  mov	w3, #0x40
0xfffffff0088c6c30: c273e897  bl	#0xfffffff0082e3b38
0xfffffff0088c6c34: 508aff90  adrp	x16, #0xfffffff007a0e000
0xfffffff0088c6c38: 10e23691  add	x16, x16, #0xdb8
0xfffffff0088c6c3c: 10420091  add	x16, x16, #0x10
0xfffffff0088c6c40: f10300aa  mov	x17, x0
0xfffffff0088c6c44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088c6c48: 300ac1da  pacda	x16, x17
0xfffffff0088c6c4c: 100000f9  str	x16, [x0]
0xfffffff0088c6c50: fd7bc1a8  ldp	x29, x30, [sp], #0x10
