; Candidate 10695
; ADRP+ADD at VM 0xfffffff008de361c (fileoff 0x1ddf61c): page=0x1fe5e1000 add_imm=0xd21

0xfffffff008de359c: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de35a0: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de35a4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de35a8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de35ac: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de35b0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de35b4: fd430191  add	x29, sp, #0x50
0xfffffff008de35b8: 092e8252  mov	w9, #0x1170
0xfffffff008de35bc: 7068ffb0  adrp	x16, #0xfffffff007af0000
0xfffffff008de35c0: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de35c4: 1f0a3fd6  blraaz	x16
0xfffffff008de35c8: ff0740d1  sub	sp, sp, #1, lsl #12
0xfffffff008de35cc: ffc305d1  sub	sp, sp, #0x170
0xfffffff008de35d0: f40304aa  mov	x20, x4
0xfffffff008de35d4: f80303aa  mov	x24, x3
0xfffffff008de35d8: f90302aa  mov	x25, x2
0xfffffff008de35dc: f70301aa  mov	x23, x1
0xfffffff008de35e0: f60300aa  mov	x22, x0
0xfffffff008de35e4: 6868ffb0  adrp	x8, #0xfffffff007af0000
0xfffffff008de35e8: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de35ec: 080140f9  ldr	x8, [x8]
0xfffffff008de35f0: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff008de35f4: f5a80090  adrp	x21, #0xfffffff00a2ff000
0xfffffff008de35f8: b5422c91  add	x21, x21, #0xb10
0xfffffff008de35fc: a8024039  ldrb	w8, [x21]
0xfffffff008de3600: fa2efff0  adrp	x26, #0xfffffff0073c2000
0xfffffff008de3604: 5adb0891  add	x26, x26, #0x236
0xfffffff008de3608: fb2effd0  adrp	x27, #0xfffffff0073c1000
0xfffffff008de360c: 7b9f0c91  add	x27, x27, #0x327
0xfffffff008de3610: 1f290071  cmp	w8, #0xa
0xfffffff008de3614: a8000054  b.hi	#0xfffffff008de3628
0xfffffff008de3618: fb6b00a9  stp	x27, x26, [sp]
0xfffffff008de361c: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3620: 00843491  add	x0, x0, #0xd21
0xfffffff008de3624: 7fced597  bl	#0xfffffff008357020
0xfffffff008de3628: 160d00b4  cbz	x22, #0xfffffff008de37c8
0xfffffff008de362c: 190e00b4  cbz	x25, #0xfffffff008de37ec
0xfffffff008de3630: 08008292  mov	x8, #-0x1001
0xfffffff008de3634: 0903088b  add	x9, x24, x8
0xfffffff008de3638: 3f0108eb  cmp	x9, x8
0xfffffff008de363c: 890d0054  b.ls	#0xfffffff008de37ec
0xfffffff008de3640: 6068ffd0  adrp	x0, #0xfffffff007af1000
0xfffffff008de3644: 00002e91  add	x0, x0, #0xb80
0xfffffff008de3648: abcbd597  bl	#0xfffffff0083564f4
0xfffffff008de364c: f30300aa  mov	x19, x0
0xfffffff008de3650: e02effd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008de3654: 00681591  add	x0, x0, #0x55a
0xfffffff008de3658: fc2effd0  adrp	x28, #0xfffffff0073c1000
0xfffffff008de365c: 9c4b0d91  add	x28, x28, #0x352
0xfffffff008de3660: e52efff0  adrp	x5, #0xfffffff0073c2000
0xfffffff008de3664: a5d80891  add	x5, x5, #0x236
0xfffffff008de3668: e10313aa  mov	x1, x19
0xfffffff008de366c: 82028052  mov	w2, #0x14
0xfffffff008de3670: e3031caa  mov	x3, x28
0xfffffff008de3674: e4b48052  mov	w4, #0x5a7
0xfffffff008de3678: 6b0d0094  bl	#0xfffffff008de6c24
0xfffffff008de367c: 930d00b4  cbz	x19, #0xfffffff008de382c
0xfffffff008de3680: f5031baa  mov	x21, x27
0xfffffff008de3684: fc031aaa  mov	x28, x26
0xfffffff008de3688: fac30091  add	x26, sp, #0x30
0xfffffff008de368c: fb430591  add	x27, sp, #0x150
0xfffffff008de3690: 600340b2  orr	x0, x27, #1
0xfffffff008de3694: a1008252  mov	w1, #0x1005
0xfffffff008de3698: 2aa5bd97  bl	#0xfffffff007d4cb40
