; Candidate 14455
; ADRP+ADD at VM 0xfffffff00978b894 (fileoff 0x2787894): page=0x1fe4b5000 add_imm=0xe20

0xfffffff00978b814: 10421791  add	x16, x16, #0x5d0
0xfffffff00978b818: 3000c1da  pacia	x16, x1
0xfffffff00978b81c: f00f00f9  str	x16, [sp, #0x18]
0xfffffff00978b820: ef610091  add	x15, x15, #0x18
0xfffffff00978b824: 9025ffb0  adrp	x16, #0xfffffff007c3c000
0xfffffff00978b828: 10023391  add	x16, x16, #0xcc0
0xfffffff00978b82c: f1030faa  mov	x17, x15
0xfffffff00978b830: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff00978b834: 300ac1da  pacda	x16, x17
0xfffffff00978b838: f03302a9  stp	x16, x12, [sp, #0x20]
0xfffffff00978b83c: ed3b03a9  stp	x13, x14, [sp, #0x30]
0xfffffff00978b840: ea230139  strb	w10, [sp, #0x48]
0xfffffff00978b844: e8270139  strb	w8, [sp, #0x49]
0xfffffff00978b848: eb270829  stp	w11, w9, [sp, #0x40]
0xfffffff00978b84c: e1230091  add	x1, sp, #8
0xfffffff00978b850: 03b2b097  bl	#0xfffffff0083b805c
0xfffffff00978b854: e00313aa  mov	x0, x19
0xfffffff00978b858: 06000094  bl	#0xfffffff00978b870
0xfffffff00978b85c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00978b860: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00978b864: ffc30191  add	sp, sp, #0x70
0xfffffff00978b868: ff2303d5  autibsp	
0xfffffff00978b86c: c0035fd6  ret	
0xfffffff00978b870: 7f2303d5  pacibsp	
0xfffffff00978b874: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00978b878: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00978b87c: fd430091  add	x29, sp, #0x10
0xfffffff00978b880: f30300aa  mov	x19, x0
0xfffffff00978b884: 010c40f9  ldr	x1, [x0, #0x18]
0xfffffff00978b888: 610000b4  cbz	x1, #0xfffffff00978b894
0xfffffff00978b88c: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00978b890: 3c2daf97  bl	#0xfffffff008356d80
0xfffffff00978b894: a025ffb0  adrp	x0, #0xfffffff007c40000
0xfffffff00978b898: 00803891  add	x0, x0, #0xe20
0xfffffff00978b89c: e10313aa  mov	x1, x19
0xfffffff00978b8a0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00978b8a4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00978b8a8: ff2303d5  autibsp	
0xfffffff00978b8ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00978b8b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00978b8b8
0xfffffff00978b8b4: 208e38d4  brk	#0xc471
0xfffffff00978b8b8: 952baf17  b	#0xfffffff00835670c
0xfffffff00978b8bc: 7f2303d5  pacibsp	
0xfffffff00978b8c0: ffc301d1  sub	sp, sp, #0x70
0xfffffff00978b8c4: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff00978b8c8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff00978b8cc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00978b8d0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00978b8d4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00978b8d8: fd830191  add	x29, sp, #0x60
0xfffffff00978b8dc: f40307aa  mov	x20, x7
0xfffffff00978b8e0: f80306aa  mov	x24, x6
0xfffffff00978b8e4: f70305aa  mov	x23, x5
0xfffffff00978b8e8: f60304aa  mov	x22, x4
0xfffffff00978b8ec: f50303aa  mov	x21, x3
0xfffffff00978b8f0: f90302aa  mov	x25, x2
0xfffffff00978b8f4: fa0301aa  mov	x26, x1
0xfffffff00978b8f8: f30300aa  mov	x19, x0
0xfffffff00978b8fc: a00b40f9  ldr	x0, [x29, #0x10]
0xfffffff00978b900: 4824fff0  adrp	x8, #0xfffffff007c16000
0xfffffff00978b904: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff00978b908: 010140f9  ldr	x1, [x8]
0xfffffff00978b90c: fa60ad97  bl	#0xfffffff0082e3cf4
0xfffffff00978b910: a00a00b4  cbz	x0, #0xfffffff00978ba64
