; Candidate 4572
; ADRP+ADD at VM 0xfffffff0087bbc18 (fileoff 0x17b7c18): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bbb98: 084dfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bbb9c: 08292d91  add	x8, x8, #0xb4a
0xfffffff0087bbba0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087bbba4: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbba8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbbac: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbbb0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbbb4: 02008052  mov	w2, #0
0xfffffff0087bbbb8: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbbbc: 63241191  add	x3, x3, #0x449
0xfffffff0087bbbc0: 5cdded97  bl	#0xfffffff008333130
0xfffffff0087bbbc4: e84740b9  ldr	w8, [sp, #0x44]
0xfffffff0087bbbc8: a802084b  sub	w8, w21, w8
0xfffffff0087bbbcc: 29008052  mov	w9, #1
0xfffffff0087bbbd0: 2921d81a  lsl	w9, w9, w24
0xfffffff0087bbbd4: 2a050051  sub	w10, w9, #1
0xfffffff0087bbbd8: 4a01080a  and	w10, w10, w8
0xfffffff0087bbbdc: 2801080a  and	w8, w9, w8
0xfffffff0087bbbe0: 4801084b  sub	w8, w10, w8
0xfffffff0087bbbe4: fb031caa  mov	x27, x28
0xfffffff0087bbbe8: f80313aa  mov	x24, x19
0xfffffff0087bbbec: fc4f43a9  ldp	x28, x19, [sp, #0x30]
0xfffffff0087bbbf0: 04000014  b	#0xfffffff0087bbc00
0xfffffff0087bbbf4: f51200b9  str	w21, [x23, #0x10]
0xfffffff0087bbbf8: 10000014  b	#0xfffffff0087bbc38
0xfffffff0087bbbfc: 08008052  mov	w8, #0
0xfffffff0087bbc00: 1501180b  add	w21, w8, w24
0xfffffff0087bbc04: f51200b9  str	w21, [x23, #0x10]
0xfffffff0087bbc08: bf0a0031  cmn	w21, #2
0xfffffff0087bbc0c: 6c010054  b.gt	#0xfffffff0087bbc38
0xfffffff0087bbc10: 28758252  mov	w8, #0x13a9
0xfffffff0087bbc14: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bbc18: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbc1c: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbc20: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbc24: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbc28: 02008052  mov	w2, #0
0xfffffff0087bbc2c: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bbc30: 63c83c91  add	x3, x3, #0xf32
0xfffffff0087bbc34: 3fdded97  bl	#0xfffffff008333130
0xfffffff0087bbc38: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0087bbc3c: 1f0116eb  cmp	x8, x22
0xfffffff0087bbc40: ba029a1a  csel	w26, w21, w26, eq
0xfffffff0087bbc44: 9f0316eb  cmp	x28, x22
0xfffffff0087bbc48: b902991a  csel	w25, w21, w25, eq
0xfffffff0087bbc4c: 94060091  add	x20, x20, #1
0xfffffff0087bbc50: d6620091  add	x22, x22, #0x18
0xfffffff0087bbc54: df0203f1  cmp	x22, #0xc0
0xfffffff0087bbc58: 81f1ff54  b.ne	#0xfffffff0087bba88
0xfffffff0087bbc5c: 5f070031  cmn	w26, #1
0xfffffff0087bbc60: e01f0054  b.eq	#0xfffffff0087bc05c
0xfffffff0087bbc64: 5f03186b  cmp	w26, w24
0xfffffff0087bbc68: aa1f0054  b.ge	#0xfffffff0087bc05c
0xfffffff0087bbc6c: 3f070031  cmn	w25, #1
0xfffffff0087bbc70: 60000054  b.eq	#0xfffffff0087bbc7c
0xfffffff0087bbc74: 3f03186b  cmp	w25, w24
0xfffffff0087bbc78: 6b010054  b.lt	#0xfffffff0087bbca4
0xfffffff0087bbc7c: 08778252  mov	w8, #0x13b8
0xfffffff0087bbc80: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bbc84: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bbc88: 00403691  add	x0, x0, #0xd90
0xfffffff0087bbc8c: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bbc90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bbc94: 834cffd0  adrp	x3, #0xfffffff00714d000
