; Candidate 710
; ADRP+ADD at VM 0xfffffff0080404e4 (fileoff 0x103c4e4): page=0x1ff036000 add_imm=0xd33

0xfffffff008040464: 4800010b  add	w8, w2, w1
0xfffffff008040468: 096040b9  ldr	w9, [x0, #0x60]
0xfffffff00804046c: 1f01096b  cmp	w8, w9
0xfffffff008040470: 28050054  b.hi	#0xfffffff008040514
0xfffffff008040474: 080040b9  ldr	w8, [x0]
0xfffffff008040478: 1f090071  cmp	w8, #2
0xfffffff00804047c: 60010054  b.eq	#0xfffffff0080404a8
0xfffffff008040480: 1f050071  cmp	w8, #1
0xfffffff008040484: 41050054  b.ne	#0xfffffff00804052c
0xfffffff008040488: 080440f9  ldr	x8, [x0, #8]
0xfffffff00804048c: a8831ff8  stur	x8, [x29, #-8]
0xfffffff008040490: 480200b4  cbz	x8, #0xfffffff0080404d8
0xfffffff008040494: a02300d1  sub	x0, x29, #8
0xfffffff008040498: 24018052  mov	w4, #9
0xfffffff00804049c: 25008052  mov	w5, #1
0xfffffff0080404a0: 9d800794  bl	#0xfffffff008220714
0xfffffff0080404a4: 0d000014  b	#0xfffffff0080404d8
0xfffffff0080404a8: 82010034  cbz	w2, #0xfffffff0080404d8
0xfffffff0080404ac: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff0080404b0: 0041218b  add	x0, x8, w1, uxtw
0xfffffff0080404b4: e203022a  mov	w2, w2
0xfffffff0080404b8: e10303aa  mov	x1, x3
0xfffffff0080404bc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080404c0: ff030191  add	sp, sp, #0x40
0xfffffff0080404c4: ff2303d5  autibsp	
0xfffffff0080404c8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080404cc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080404d4
0xfffffff0080404d0: 208e38d4  brk	#0xc471
0xfffffff0080404d4: 2f31f417  b	#0xfffffff007d4c990
0xfffffff0080404d8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080404dc: ff030191  add	sp, sp, #0x40
0xfffffff0080404e0: ff0f5fd6  retab	
0xfffffff0080404e4: a081ffd0  adrp	x0, #0xfffffff007076000
0xfffffff0080404e8: 00cc3491  add	x0, x0, #0xd33
0xfffffff0080404ec: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff0080404f0: 21c82791  add	x1, x1, #0x9f2
0xfffffff0080404f4: 422c8052  mov	w2, #0x162
0xfffffff0080404f8: c77c1194  bl	#0xfffffff00849f814
0xfffffff0080404fc: 4082ffd0  adrp	x0, #0xfffffff00708a000
0xfffffff008040500: 00980391  add	x0, x0, #0xe6
0xfffffff008040504: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff008040508: 21c82791  add	x1, x1, #0x9f2
0xfffffff00804050c: 622c8052  mov	w2, #0x163
0xfffffff008040510: c17c1194  bl	#0xfffffff00849f814
0xfffffff008040514: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff008040518: 00543091  add	x0, x0, #0xc15
0xfffffff00804051c: 6181ff90  adrp	x1, #0xfffffff00706c000
0xfffffff008040520: 21c82791  add	x1, x1, #0x9f2
0xfffffff008040524: 822c8052  mov	w2, #0x164
0xfffffff008040528: bb7c1194  bl	#0xfffffff00849f814
0xfffffff00804052c: 080040b9  ldr	w8, [x0]
0xfffffff008040530: a92d8052  mov	w9, #0x16d
0xfffffff008040534: 6a81ff90  adrp	x10, #0xfffffff00706c000
0xfffffff008040538: 4a3d2c91  add	x10, x10, #0xb0f
0xfffffff00804053c: 6b81ff90  adrp	x11, #0xfffffff00706c000
0xfffffff008040540: 6b4d3191  add	x11, x11, #0xc53
0xfffffff008040544: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008040548: eb2300a9  stp	x11, x8, [sp]
0xfffffff00804054c: 6081ff90  adrp	x0, #0xfffffff00706c000
0xfffffff008040550: 00a82b91  add	x0, x0, #0xaea
0xfffffff008040554: ee4f1194  bl	#0xfffffff00849450c
0xfffffff008040558: 7f2303d5  pacibsp	
0xfffffff00804055c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008040560: fd7b02a9  stp	x29, x30, [sp, #0x20]
