; Candidate 7516
; ADRP+ADD at VM 0xfffffff008870f90 (fileoff 0x186cf90): page=0x1fe9a3000 add_imm=0xe0f

0xfffffff008870f10: 00008052  mov	w0, #0
0xfffffff008870f14: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008870f18: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008870f1c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008870f20: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008870f24: ff030291  add	sp, sp, #0x80
0xfffffff008870f28: ff0f5fd6  retab	
0xfffffff008870f2c: 7f2303d5  pacibsp	
0xfffffff008870f30: ffc301d1  sub	sp, sp, #0x70
0xfffffff008870f34: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008870f38: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008870f3c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008870f40: fd830191  add	x29, sp, #0x60
0xfffffff008870f44: f30300aa  mov	x19, x0
0xfffffff008870f48: 600b8052  mov	w0, #0x5b
0xfffffff008870f4c: e1008052  mov	w1, #7
0xfffffff008870f50: 202a0094  bl	#0xfffffff00887b7d0
0xfffffff008870f54: a0040034  cbz	w0, #0xfffffff008870fe8
0xfffffff008870f58: 600b8052  mov	w0, #0x5b
0xfffffff008870f5c: 2f2a0094  bl	#0xfffffff00887b818
0xfffffff008870f60: f50300aa  mov	x21, x0
0xfffffff008870f64: 920c0194  bl	#0xfffffff0088b41ac
0xfffffff008870f68: f40300aa  mov	x20, x0
0xfffffff008870f6c: e0008052  mov	w0, #7
0xfffffff008870f70: 382a0094  bl	#0xfffffff00887b850
0xfffffff008870f74: 75010034  cbz	w21, #0xfffffff008870fa0
0xfffffff008870f78: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870f7c: 08e52591  add	x8, x8, #0x979
0xfffffff008870f80: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870f84: 680b8052  mov	w8, #0x5b
0xfffffff008870f88: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870f8c: f40300f9  str	x20, [sp]
0xfffffff008870f90: 004dfff0  adrp	x0, #0xfffffff007213000
0xfffffff008870f94: 003c3891  add	x0, x0, #0xe0f
0xfffffff008870f98: 3219d597  bl	#0xfffffff007db7460
0xfffffff008870f9c: 13000014  b	#0xfffffff008870fe8
0xfffffff008870fa0: 830c0194  bl	#0xfffffff0088b41ac
0xfffffff008870fa4: f40300aa  mov	x20, x0
0xfffffff008870fa8: e0008052  mov	w0, #7
0xfffffff008870fac: 292a0094  bl	#0xfffffff00887b850
0xfffffff008870fb0: c84dffd0  adrp	x8, #0xfffffff00722a000
0xfffffff008870fb4: 08e52591  add	x8, x8, #0x979
0xfffffff008870fb8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008870fbc: 680b8052  mov	w8, #0x5b
0xfffffff008870fc0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008870fc4: f40300f9  str	x20, [sp]
0xfffffff008870fc8: c04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008870fcc: 00003a91  add	x0, x0, #0xe80
0xfffffff008870fd0: c18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008870fd4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008870fd8: 434fff90  adrp	x3, #0xfffffff007258000
0xfffffff008870fdc: 63003a91  add	x3, x3, #0xe80
0xfffffff008870fe0: 02008052  mov	w2, #0
0xfffffff008870fe4: 5308eb97  bl	#0xfffffff008333130
0xfffffff008870fe8: 94088052  mov	w20, #0x44
0xfffffff008870fec: 1408a072  movk	w20, #0x40, lsl #16
0xfffffff008870ff0: 82121f11  add	w2, w20, #0x7c4
0xfffffff008870ff4: e00313aa  mov	x0, x19
0xfffffff008870ff8: 21008052  mov	w1, #1
0xfffffff008870ffc: 23008052  mov	w3, #1
0xfffffff008871000: 5c500094  bl	#0xfffffff008885170
0xfffffff008871004: e00313aa  mov	x0, x19
0xfffffff008871008: 21008052  mov	w1, #1
0xfffffff00887100c: 82088052  mov	w2, #0x44
