; Candidate 7130
; ADRP+ADD at VM 0xfffffff008859800 (fileoff 0x1855800): page=0x1fe990000 add_imm=0xe80

0xfffffff008859780: f60300f9  str	x22, [sp]
0xfffffff008859784: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859788: 00003a91  add	x0, x0, #0xe80
0xfffffff00885978c: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008859790: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859794: 02008052  mov	w2, #0
0xfffffff008859798: 6666eb97  bl	#0xfffffff008333130
0xfffffff00885979c: 16008052  mov	w22, #0
0xfffffff0088597a0: 84ffff17  b	#0xfffffff0088595b0
0xfffffff0088597a4: 826a0194  bl	#0xfffffff0088b41ac
0xfffffff0088597a8: f70300aa  mov	x23, x0
0xfffffff0088597ac: 80008052  mov	w0, #4
0xfffffff0088597b0: 28880094  bl	#0xfffffff00887b850
0xfffffff0088597b4: e80316aa  mov	x8, x22
0xfffffff0088597b8: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff0088597bc: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff0088597c0: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff0088597c4: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff0088597c8: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff0088597cc: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff0088597d0: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088597d4: e8488152  mov	w8, #0xa47
0xfffffff0088597d8: 694effb0  adrp	x9, #0xfffffff007226000
0xfffffff0088597dc: 29413f91  add	x9, x9, #0xfd0
0xfffffff0088597e0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088597e4: 684effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088597e8: 08811191  add	x8, x8, #0x460
0xfffffff0088597ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088597f0: 880c8052  mov	w8, #0x64
0xfffffff0088597f4: c34ffff0  adrp	x3, #0xfffffff007254000
0xfffffff0088597f8: 63181e91  add	x3, x3, #0x786
0xfffffff0088597fc: f72300a9  stp	x23, x8, [sp]
0xfffffff008859800: 804cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008859804: 00003a91  add	x0, x0, #0xe80
0xfffffff008859808: 618dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00885980c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008859810: 02008052  mov	w2, #0
0xfffffff008859814: 4766eb97  bl	#0xfffffff008333130
0xfffffff008859818: e00314aa  mov	x0, x20
0xfffffff00885981c: e10315aa  mov	x1, x21
0xfffffff008859820: df021031  cmn	w22, #0x400
0xfffffff008859824: a1000054  b.ne	#0xfffffff008859838
0xfffffff008859828: 02008052  mov	w2, #0
0xfffffff00885982c: 247efe97  bl	#0xfffffff0087f90bc
0xfffffff008859830: f67f8012  mov	w22, #-0x400
0xfffffff008859834: 5fffff17  b	#0xfffffff0088595b0
0xfffffff008859838: 02008012  mov	w2, #-1
0xfffffff00885983c: 207efe97  bl	#0xfffffff0087f90bc
0xfffffff008859840: 5cffff17  b	#0xfffffff0088595b0
0xfffffff008859844: 7f2303d5  pacibsp	
0xfffffff008859848: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00885984c: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008859850: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008859854: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008859858: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff00885985c: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008859860: fd030391  add	x29, sp, #0xc0
0xfffffff008859864: f50302aa  mov	x21, x2
0xfffffff008859868: f40301aa  mov	x20, x1
0xfffffff00885986c: f30300aa  mov	x19, x0
0xfffffff008859870: 800c8052  mov	w0, #0x64
0xfffffff008859874: e1008052  mov	w1, #7
0xfffffff008859878: d6870094  bl	#0xfffffff00887b7d0
0xfffffff00885987c: e0020034  cbz	w0, #0xfffffff0088598d8
