; Candidate 3433
; ADRP+ADD at VM 0xfffffff00873e2e8 (fileoff 0x173a2e8): page=0x1fe9f3000 add_imm=0xd90

0xfffffff00873e268: 55000014  b	#0xfffffff00873e3bc
0xfffffff00873e26c: 080a0034  cbz	w8, #0xfffffff00873e3ac
0xfffffff00873e270: 1f050071  cmp	w8, #1
0xfffffff00873e274: c1040054  b.ne	#0xfffffff00873e30c
0xfffffff00873e278: a9258052  mov	w9, #0x12d
0xfffffff00873e27c: 59000014  b	#0xfffffff00873e3e0
0xfffffff00873e280: 1f210071  cmp	w8, #8
0xfffffff00873e284: 40090054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e288: 1f410071  cmp	w8, #0x10
0xfffffff00873e28c: 41050054  b.ne	#0xfffffff00873e334
0xfffffff00873e290: 89278052  mov	w9, #0x13c
0xfffffff00873e294: 53000014  b	#0xfffffff00873e3e0
0xfffffff00873e298: 1f210071  cmp	w8, #8
0xfffffff00873e29c: 80080054  b.eq	#0xfffffff00873e3ac
0xfffffff00873e2a0: 1f410071  cmp	w8, #0x10
0xfffffff00873e2a4: c1050054  b.ne	#0xfffffff00873e35c
0xfffffff00873e2a8: 0800b4d2  mov	x8, #0xa0000000
0xfffffff00873e2ac: 6800c0f2  movk	x8, #3, lsl #32
0xfffffff00873e2b0: 3f0308eb  cmp	x25, x8
0xfffffff00873e2b4: 00090054  b.eq	#0xfffffff00873e3d4
0xfffffff00873e2b8: 0800b0d2  mov	x8, #0x80000000
0xfffffff00873e2bc: 4800c0f2  movk	x8, #2, lsl #32
0xfffffff00873e2c0: 3f0308eb  cmp	x25, x8
0xfffffff00873e2c4: f795fff0  adrp	x23, #0xfffffff0079fd000
0xfffffff00873e2c8: f7e641f9  ldr	x23, [x23, #0x3c8]
0xfffffff00873e2cc: 01070054  b.ne	#0xfffffff00873e3ac
0xfffffff00873e2d0: 29348052  mov	w9, #0x1a1
0xfffffff00873e2d4: 43000014  b	#0xfffffff00873e3e0
0xfffffff00873e2d8: 9f2403d5  bti	j
0xfffffff00873e2dc: c850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00873e2e0: 08352691  add	x8, x8, #0x98d
0xfffffff00873e2e4: e82700a9  stp	x8, x9, [sp]
0xfffffff00873e2e8: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e2ec: 00403691  add	x0, x0, #0xd90
0xfffffff00873e2f0: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e2f4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e2f8: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e2fc: 63301991  add	x3, x3, #0x64c
0xfffffff00873e300: 02008052  mov	w2, #0
0xfffffff00873e304: 8bd3ef97  bl	#0xfffffff008333130
0xfffffff00873e308: 29000014  b	#0xfffffff00873e3ac
0xfffffff00873e30c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e310: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e314: 00403691  add	x0, x0, #0xd90
0xfffffff00873e318: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e31c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e320: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e324: 63381491  add	x3, x3, #0x50e
0xfffffff00873e328: 02008052  mov	w2, #0
0xfffffff00873e32c: 81d3ef97  bl	#0xfffffff008333130
0xfffffff00873e330: 1f000014  b	#0xfffffff00873e3ac
0xfffffff00873e334: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e338: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e33c: 00403691  add	x0, x0, #0xd90
0xfffffff00873e340: e195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873e344: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873e348: e34fffd0  adrp	x3, #0xfffffff00713c000
0xfffffff00873e34c: 630c1591  add	x3, x3, #0x543
0xfffffff00873e350: 02008052  mov	w2, #0
0xfffffff00873e354: 77d3ef97  bl	#0xfffffff008333130
0xfffffff00873e358: 15000014  b	#0xfffffff00873e3ac
0xfffffff00873e35c: fb2300a9  stp	x27, x8, [sp]
0xfffffff00873e360: 804ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873e364: 00403691  add	x0, x0, #0xd90
