; Candidate 16389
; ADRP+ADD at VM 0xfffffff009e82894 (fileoff 0x2e7e894): page=0x1fdeb4000 add_imm=0xd58

0xfffffff009e82814: c80640f9  ldr	x8, [x22, #8]
0xfffffff009e82818: 150100f9  str	x21, [x8]
0xfffffff009e8281c: d50600f9  str	x21, [x22, #8]
0xfffffff009e82820: 25000014  b	#0xfffffff009e828b4
0xfffffff009e82824: e00314aa  mov	x0, x20
0xfffffff009e82828: e10313aa  mov	x1, x19
0xfffffff009e8282c: e20316aa  mov	x2, x22
0xfffffff009e82830: e30317aa  mov	x3, x23
0xfffffff009e82834: e40318aa  mov	x4, x24
0xfffffff009e82838: 84000094  bl	#0xfffffff009e82a48
0xfffffff009e8283c: f80300aa  mov	x24, x0
0xfffffff009e82840: 15000014  b	#0xfffffff009e82894
0xfffffff009e82844: f70203cb  sub	x23, x23, x3
0xfffffff009e82848: 030117cb  sub	x3, x8, x23
0xfffffff009e8284c: a4cdfeb0  adrp	x4, #0xfffffff007837000
0xfffffff009e82850: 84a01d91  add	x4, x4, #0x768
0xfffffff009e82854: e00314aa  mov	x0, x20
0xfffffff009e82858: e10313aa  mov	x1, x19
0xfffffff009e8285c: e20316aa  mov	x2, x22
0xfffffff009e82860: 05008052  mov	w5, #0
0xfffffff009e82864: 38000094  bl	#0xfffffff009e82944
0xfffffff009e82868: f80300aa  mov	x24, x0
0xfffffff009e8286c: 40010035  cbnz	w0, #0xfffffff009e82894
0xfffffff009e82870: d70e00f9  str	x23, [x22, #0x18]
0xfffffff009e82874: c20240f9  ldr	x2, [x22]
0xfffffff009e82878: c20000b4  cbz	x2, #0xfffffff009e82890
0xfffffff009e8287c: 430840f9  ldr	x3, [x2, #0x10]
0xfffffff009e82880: 440303cb  sub	x4, x26, x3
0xfffffff009e82884: e00314aa  mov	x0, x20
0xfffffff009e82888: e10313aa  mov	x1, x19
0xfffffff009e8288c: ebffff17  b	#0xfffffff009e82838
0xfffffff009e82890: 18008052  mov	w24, #0
0xfffffff009e82894: a0f5fe90  adrp	x0, #0xfffffff007d36000
0xfffffff009e82898: 00603591  add	x0, x0, #0xd58
0xfffffff009e8289c: e10315aa  mov	x1, x21
0xfffffff009e828a0: 9b4f9397  bl	#0xfffffff00835670c
0xfffffff009e828a4: 882a00d0  adrp	x8, #0xfffffff00a3d4000
0xfffffff009e828a8: 08212a91  add	x8, x8, #0xa88
0xfffffff009e828ac: e9048092  mov	x9, #-0x28
0xfffffff009e828b0: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009e828b4: 28736839  ldrb	w8, [x25, #0xa1c]
0xfffffff009e828b8: e8000036  tbz	w8, #0, #0xfffffff009e828d4
0xfffffff009e828bc: a2cdfeb0  adrp	x2, #0xfffffff007837000
0xfffffff009e828c0: 42e81c91  add	x2, x2, #0x73a
0xfffffff009e828c4: e00314aa  mov	x0, x20
0xfffffff009e828c8: e10313aa  mov	x1, x19
0xfffffff009e828cc: 63e78752  mov	w3, #0x3f3b
0xfffffff009e828d0: b4c6fe97  bl	#0xfffffff009e343a0
0xfffffff009e828d4: e00318aa  mov	x0, x24
0xfffffff009e828d8: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009e828dc: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009e828e0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009e828e4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009e828e8: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009e828ec: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff009e828f0: ff430291  add	sp, sp, #0x90
0xfffffff009e828f4: ff0f5fd6  retab	
0xfffffff009e828f8: 48e38752  mov	w8, #0x3f1a
0xfffffff009e828fc: 89cdfed0  adrp	x9, #0xfffffff007834000
0xfffffff009e82900: 291d3591  add	x9, x9, #0xd47
0xfffffff009e82904: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009e82908: f62300a9  stp	x22, x8, [sp]
0xfffffff009e8290c: 00cffef0  adrp	x0, #0xfffffff007865000
0xfffffff009e82910: 00dc2991  add	x0, x0, #0xa77
