; Candidate 12307
; ADRP+ADD at VM 0xfffffff009086e88 (fileoff 0x2082e88): page=0x1fe3d3000 add_imm=0xe24

0xfffffff009086e08: 77540094  bl	#0xfffffff00909bfe4
0xfffffff009086e0c: 20050035  cbnz	w0, #0xfffffff009086eb0
0xfffffff009086e10: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff009086e14: e90600b4  cbz	x9, #0xfffffff009086ef0
0xfffffff009086e18: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff009086e1c: e80600b4  cbz	x8, #0xfffffff009086ef8
0xfffffff009086e20: 3f1d00f1  cmp	x9, #7
0xfffffff009086e24: c1070054  b.ne	#0xfffffff009086f1c
0xfffffff009086e28: 14008052  mov	w20, #0
0xfffffff009086e2c: 090140b9  ldr	w9, [x8]
0xfffffff009086e30: 083140b8  ldur	w8, [x8, #3]
0xfffffff009086e34: 68d204b8  stur	w8, [x19, #0x4d]
0xfffffff009086e38: 69a204b8  stur	w9, [x19, #0x4a]
0xfffffff009086e3c: e00313aa  mov	x0, x19
0xfffffff009086e40: c7dbff97  bl	#0xfffffff00907dd5c
0xfffffff009086e44: b51efff0  adrp	x21, #0xfffffff00745d000
0xfffffff009086e48: b51e2091  add	x21, x21, #0x807
0xfffffff009086e4c: e00313aa  mov	x0, x19
0xfffffff009086e50: 01058052  mov	w1, #0x28
0xfffffff009086e54: e20315aa  mov	x2, x21
0xfffffff009086e58: 33100094  bl	#0xfffffff00908af24
0xfffffff009086e5c: 9f020071  cmp	w20, #0
0xfffffff009086e60: c8088052  mov	w8, #0x46
0xfffffff009086e64: 49018052  mov	w9, #0xa
0xfffffff009086e68: 2801881a  csel	w8, w9, w8, eq
0xfffffff009086e6c: e9024039  ldrb	w9, [x23]
0xfffffff009086e70: 1f01096b  cmp	w8, w9
0xfffffff009086e74: 03010054  b.lo	#0xfffffff009086e94
0xfffffff009086e78: e80314aa  mov	x8, x20
0xfffffff009086e7c: 087d4093  sxtw	x8, w8
0xfffffff009086e80: f65700a9  stp	x22, x21, [sp]
0xfffffff009086e84: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009086e88: 801efff0  adrp	x0, #0xfffffff007459000
0xfffffff009086e8c: 00903891  add	x0, x0, #0xe24
0xfffffff009086e90: 6440cb97  bl	#0xfffffff008357020
0xfffffff009086e94: e00314aa  mov	x0, x20
0xfffffff009086e98: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009086e9c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009086ea0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009086ea4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009086ea8: ff030291  add	sp, sp, #0x80
0xfffffff009086eac: ff0f5fd6  retab	
0xfffffff009086eb0: f40300aa  mov	x20, x0
0xfffffff009086eb4: 887e4093  sxtw	x8, w20
0xfffffff009086eb8: a9058252  mov	w9, #0x102d
0xfffffff009086ebc: 8a1efff0  adrp	x10, #0xfffffff007459000
0xfffffff009086ec0: 4a493f91  add	x10, x10, #0xfd2
0xfffffff009086ec4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff009086ec8: 891efff0  adrp	x9, #0xfffffff007459000
0xfffffff009086ecc: 29b92d91  add	x9, x9, #0xb6e
0xfffffff009086ed0: ab1eff90  adrp	x11, #0xfffffff00745a000
0xfffffff009086ed4: 6b290291  add	x11, x11, #0x8a
0xfffffff009086ed8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009086edc: eb0300f9  str	x11, [sp]
0xfffffff009086ee0: 801efff0  adrp	x0, #0xfffffff007459000
0xfffffff009086ee4: 00d42c91  add	x0, x0, #0xb35
0xfffffff009086ee8: 4e40cb97  bl	#0xfffffff008357020
0xfffffff009086eec: d4ffff17  b	#0xfffffff009086e3c
0xfffffff009086ef0: 14008052  mov	w20, #0
0xfffffff009086ef4: d2ffff17  b	#0xfffffff009086e3c
0xfffffff009086ef8: 08068252  mov	w8, #0x1030
0xfffffff009086efc: 891efff0  adrp	x9, #0xfffffff007459000
0xfffffff009086f00: 29493f91  add	x9, x9, #0xfd2
0xfffffff009086f04: e81300f9  str	x8, [sp, #0x20]
