; Candidate 9363
; ADRP+ADD at VM 0xfffffff008a30a44 (fileoff 0x1a2ca44): page=0x1fe869000 add_imm=0xe40

0xfffffff008a309c4: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff008a309c8: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff008a309cc: fc6f48a9  ldp	x28, x27, [sp, #0x80]
0xfffffff008a309d0: ff830391  add	sp, sp, #0xe0
0xfffffff008a309d4: ff0f5fd6  retab	
0xfffffff008a309d8: 700240f9  ldr	x16, [x19]
0xfffffff008a309dc: f10313aa  mov	x17, x19
0xfffffff008a309e0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a309e4: 301ac1da  autda	x16, x17
0xfffffff008a309e8: 113d80d2  mov	x17, #0x1e8
0xfffffff008a309ec: 1002118b  add	x16, x16, x17
0xfffffff008a309f0: 080240f9  ldr	x8, [x16]
0xfffffff008a309f4: e90310aa  mov	x9, x16
0xfffffff008a309f8: e00313aa  mov	x0, x19
0xfffffff008a309fc: 010080d2  mov	x1, #0
0xfffffff008a30a00: f10309aa  mov	x17, x9
0xfffffff008a30a04: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30a08: 11093fd7  blraa	x8, x17
0xfffffff008a30a0c: 700240f9  ldr	x16, [x19]
0xfffffff008a30a10: f10313aa  mov	x17, x19
0xfffffff008a30a14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a30a18: 301ac1da  autda	x16, x17
0xfffffff008a30a1c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a30a20: 1002118b  add	x16, x16, x17
0xfffffff008a30a24: 080240f9  ldr	x8, [x16]
0xfffffff008a30a28: e90310aa  mov	x9, x16
0xfffffff008a30a2c: e00313aa  mov	x0, x19
0xfffffff008a30a30: 010080d2  mov	x1, #0
0xfffffff008a30a34: f10309aa  mov	x17, x9
0xfffffff008a30a38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30a3c: 11093fd7  blraa	x8, x17
0xfffffff008a30a40: e00300f9  str	x0, [sp]
0xfffffff008a30a44: 4043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a30a48: 00003991  add	x0, x0, #0xe40
0xfffffff008a30a4c: c180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a30a50: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a30a54: 8343ff90  adrp	x3, #0xfffffff0072a0000
0xfffffff008a30a58: 63303c91  add	x3, x3, #0xf0c
0xfffffff008a30a5c: 02028052  mov	w2, #0x10
0xfffffff008a30a60: b409e497  bl	#0xfffffff008333130
0xfffffff008a30a64: 700240f9  ldr	x16, [x19]
0xfffffff008a30a68: f10313aa  mov	x17, x19
0xfffffff008a30a6c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a30a70: 301ac1da  autda	x16, x17
0xfffffff008a30a74: f10310aa  mov	x17, x16
0xfffffff008a30a78: f147c1da  xpacd	x17
0xfffffff008a30a7c: 1f0211eb  cmp	x16, x17
0xfffffff008a30a80: 40000054  b.eq	#0xfffffff008a30a88
0xfffffff008a30a84: 408e38d4  brk	#0xc472
0xfffffff008a30a88: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a30a8c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a30a90: e00313aa  mov	x0, x19
0xfffffff008a30a94: 010080d2  mov	x1, #0
0xfffffff008a30a98: f10308aa  mov	x17, x8
0xfffffff008a30a9c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a30aa0: 31093fd7  blraa	x9, x17
0xfffffff008a30aa4: e00300f9  str	x0, [sp]
0xfffffff008a30aa8: 6043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a30aac: 007c3591  add	x0, x0, #0xd5f
0xfffffff008a30ab0: baffff17  b	#0xfffffff008a30998
0xfffffff008a30ab4: 1a008052  mov	w26, #0
0xfffffff008a30ab8: 3c000014  b	#0xfffffff008a30ba8
0xfffffff008a30abc: f71740f9  ldr	x23, [sp, #0x28]
0xfffffff008a30ac0: 3a000014  b	#0xfffffff008a30ba8
