; Candidate 16639
; ADRP+ADD at VM 0xfffffff009f0c27c (fileoff 0x2f0827c): page=0x1fd942000 add_imm=0xdba

0xfffffff009f0c1fc: 617e40f9  ldr	x1, [x19, #0xf8]
0xfffffff009f0c200: e00313aa  mov	x0, x19
0xfffffff009f0c204: 020080d2  mov	x2, #0
0xfffffff009f0c208: e30314aa  mov	x3, x20
0xfffffff009f0c20c: c7130094  bl	#0xfffffff009f11128
0xfffffff009f0c210: f60300aa  mov	x22, x0
0xfffffff009f0c214: e0f5ff34  cbz	w0, #0xfffffff009f0c0d0
0xfffffff009f0c218: 9f0200f9  str	xzr, [x20]
0xfffffff009f0c21c: dfb60071  cmp	w22, #0x2d
0xfffffff009f0c220: 60f5ff54  b.eq	#0xfffffff009f0c0cc
0xfffffff009f0c224: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c228: 6802088b  add	x8, x19, x8
0xfffffff009f0c22c: dfaa0171  cmp	w22, #0x6a
0xfffffff009f0c230: 480b0054  b.hi	#0xfffffff009f0c398
0xfffffff009f0c234: 49f1fe90  adrp	x9, #0xfffffff007d34000
0xfffffff009f0c238: 29011191  add	x9, x9, #0x440
0xfffffff009f0c23c: 295976f8  ldr	x9, [x9, w22, uxtw #3]
0xfffffff009f0c240: 58000014  b	#0xfffffff009f0c3a0
0xfffffff009f0c244: 08198452  mov	w8, #0x20c8
0xfffffff009f0c248: 6302088b  add	x3, x19, x8
0xfffffff009f0c24c: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff009f0c250: 014940f9  ldr	x1, [x8, #0x90]
0xfffffff009f0c254: e00313aa  mov	x0, x19
0xfffffff009f0c258: 020080d2  mov	x2, #0
0xfffffff009f0c25c: 2b0f0094  bl	#0xfffffff009f0ff08
0xfffffff009f0c260: a0040034  cbz	w0, #0xfffffff009f0c2f4
0xfffffff009f0c264: f60300aa  mov	x22, x0
0xfffffff009f0c268: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c26c: 6802088b  add	x8, x19, x8
0xfffffff009f0c270: 691a8e52  mov	w9, #0x70d3
0xfffffff009f0c274: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c278: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009f0c27c: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c280: 00e83691  add	x0, x0, #0xdba
0xfffffff009f0c284: 90cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c288: 7f6610f9  str	xzr, [x19, #0x20c8]
0xfffffff009f0c28c: 0b000014  b	#0xfffffff009f0c2b8
0xfffffff009f0c290: d6028052  mov	w22, #0x16
0xfffffff009f0c294: 083e8452  mov	w8, #0x21f0
0xfffffff009f0c298: 6802088b  add	x8, x19, x8
0xfffffff009f0c29c: e9138e52  mov	w9, #0x709f
0xfffffff009f0c2a0: f72700a9  stp	x23, x9, [sp]
0xfffffff009f0c2a4: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009f0c2a8: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c2ac: 00443391  add	x0, x0, #0xcd1
0xfffffff009f0c2b0: 85cdfd97  bl	#0xfffffff009e7f8c4
0xfffffff009f0c2b4: 7f6a10f9  str	xzr, [x19, #0x20d0]
0xfffffff009f0c2b8: e00314aa  mov	x0, x20
0xfffffff009f0c2bc: 20817a97  bl	#0xfffffff007dac73c
0xfffffff009f0c2c0: 2e000014  b	#0xfffffff009f0c378
0xfffffff009f0c2c4: e9c9fed0  adrp	x9, #0xfffffff00784a000
0xfffffff009f0c2c8: 299d0691  add	x9, x9, #0x1a7
0xfffffff009f0c2cc: ea0316aa  mov	x10, x22
0xfffffff009f0c2d0: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f0c2d4: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f0c2d8: 88168e52  mov	w8, #0x70b4
0xfffffff009f0c2dc: f72300a9  stp	x23, x8, [sp]
0xfffffff009f0c2e0: 00cafed0  adrp	x0, #0xfffffff00784e000
0xfffffff009f0c2e4: 00003591  add	x0, x0, #0xd40
0xfffffff009f0c2e8: 56cdfd97  bl	#0xfffffff009e7f840
0xfffffff009f0c2ec: 9f0200f9  str	xzr, [x20]
0xfffffff009f0c2f0: 22000014  b	#0xfffffff009f0c378
0xfffffff009f0c2f4: e00314aa  mov	x0, x20
0xfffffff009f0c2f8: 11817a97  bl	#0xfffffff007dac73c
