; Candidate 12359
; ADRP+ADD at VM 0xfffffff00908de3c (fileoff 0x2089e3c): page=0x1fe3cc000 add_imm=0xe24

0xfffffff00908ddbc: 550500b4  cbz	x21, #0xfffffff00908de64
0xfffffff00908ddc0: 540600b4  cbz	x20, #0xfffffff00908de88
0xfffffff00908ddc4: 530700b4  cbz	x19, #0xfffffff00908deac
0xfffffff00908ddc8: e80315aa  mov	x8, x21
0xfffffff00908ddcc: 098540b8  ldr	w9, [x8], #8
0xfffffff00908ddd0: 0a0e8052  mov	w10, #0x70
0xfffffff00908ddd4: 29210a9b  madd	x9, x9, x10, x8
0xfffffff00908ddd8: 1f0109eb  cmp	x8, x9
0xfffffff00908dddc: c2010054  b.hs	#0xfffffff00908de14
0xfffffff00908dde0: 0a0080d2  mov	x10, #0
0xfffffff00908dde4: 0b0140f9  ldr	x11, [x8]
0xfffffff00908dde8: cb0000b4  cbz	x11, #0xfffffff00908de00
0xfffffff00908ddec: ac0640b9  ldr	w12, [x21, #4]
0xfffffff00908ddf0: 9f0100f1  cmp	x12, #0
0xfffffff00908ddf4: 6b010c8b  add	x11, x11, x12
0xfffffff00908ddf8: 621154fa  ccmp	x11, x20, #2, ne
0xfffffff00908ddfc: eb379f1a  cset	w11, hs
0xfffffff00908de00: 4a412b8b  add	x10, x10, w11, uxtw
0xfffffff00908de04: 08c10191  add	x8, x8, #0x70
0xfffffff00908de08: 1f0109eb  cmp	x8, x9
0xfffffff00908de0c: c3feff54  b.lo	#0xfffffff00908dde4
0xfffffff00908de10: 02000014  b	#0xfffffff00908de18
0xfffffff00908de14: 0a0080d2  mov	x10, #0
0xfffffff00908de18: 14008052  mov	w20, #0
0xfffffff00908de1c: 6a0200f9  str	x10, [x19]
0xfffffff00908de20: 48018052  mov	w8, #0xa
0xfffffff00908de24: 09034039  ldrb	w9, [x24]
0xfffffff00908de28: 1f01096b  cmp	w8, w9
0xfffffff00908de2c: e3000054  b.lo	#0xfffffff00908de48
0xfffffff00908de30: 887e4093  sxtw	x8, w20
0xfffffff00908de34: f75b00a9  stp	x23, x22, [sp]
0xfffffff00908de38: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908de3c: 601eff90  adrp	x0, #0xfffffff007459000
0xfffffff00908de40: 00903891  add	x0, x0, #0xe24
0xfffffff00908de44: 7724cb97  bl	#0xfffffff008357020
0xfffffff00908de48: e00314aa  mov	x0, x20
0xfffffff00908de4c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00908de50: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00908de54: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00908de58: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00908de5c: ffc30191  add	sp, sp, #0x70
0xfffffff00908de60: ff0f5fd6  retab	
0xfffffff00908de64: a8278052  mov	w8, #0x13d
0xfffffff00908de68: 891eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00908de6c: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908de70: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908de74: 681eff90  adrp	x8, #0xfffffff007459000
0xfffffff00908de78: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908de7c: 8a1eff90  adrp	x10, #0xfffffff00745d000
0xfffffff00908de80: 4aad3c91  add	x10, x10, #0xf2b
0xfffffff00908de84: 12000014  b	#0xfffffff00908decc
0xfffffff00908de88: c8278052  mov	w8, #0x13e
0xfffffff00908de8c: 891eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00908de90: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908de94: e81300f9  str	x8, [sp, #0x20]
0xfffffff00908de98: 681eff90  adrp	x8, #0xfffffff007459000
0xfffffff00908de9c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908dea0: 8a1eff90  adrp	x10, #0xfffffff00745d000
0xfffffff00908dea4: 4ad13e91  add	x10, x10, #0xfb4
0xfffffff00908dea8: 09000014  b	#0xfffffff00908decc
0xfffffff00908deac: e8278052  mov	w8, #0x13f
0xfffffff00908deb0: 891eff90  adrp	x9, #0xfffffff00745d000
0xfffffff00908deb4: 29c53c91  add	x9, x9, #0xf31
0xfffffff00908deb8: e81300f9  str	x8, [sp, #0x20]
