; Candidate 11446
; ADRP+ADD at VM 0xfffffff008f4c640 (fileoff 0x1f48640): page=0x1febd6000 add_imm=0xe80

0xfffffff008f4c5c0: fd030091  mov	x29, sp
0xfffffff008f4c5c4: 009e0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f4c5c8: 00000c91  add	x0, x0, #0x300
0xfffffff008f4c5cc: 6126fff0  adrp	x1, #0xfffffff00741b000
0xfffffff008f4c5d0: 21203791  add	x1, x1, #0xdc8
0xfffffff008f4c5d4: 029e0090  adrp	x2, #0xfffffff00a30c000
0xfffffff008f4c5d8: 42000f91  add	x2, x2, #0x3c0
0xfffffff008f4c5dc: 031d8052  mov	w3, #0xe8
0xfffffff008f4c5e0: 565dce97  bl	#0xfffffff0082e3b38
0xfffffff008f4c5e4: b05effb0  adrp	x16, #0xfffffff007b21000
0xfffffff008f4c5e8: 10e22c91  add	x16, x16, #0xb38
0xfffffff008f4c5ec: 10420091  add	x16, x16, #0x10
0xfffffff008f4c5f0: f10300aa  mov	x17, x0
0xfffffff008f4c5f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4c5f8: 300ac1da  pacda	x16, x17
0xfffffff008f4c5fc: 100000f9  str	x16, [x0]
0xfffffff008f4c600: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f4c604: ff0f5fd6  retab	
0xfffffff008f4c608: 5f2403d5  bti	c
0xfffffff008f4c60c: 009e0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f4c610: 00000c91  add	x0, x0, #0x300
0xfffffff008f4c614: 3860ce17  b	#0xfffffff0082e46f4
0xfffffff008f4c618: 5f2403d5  bti	c
0xfffffff008f4c61c: 3660ce17  b	#0xfffffff0082e46f4
0xfffffff008f4c620: 5f2403d5  bti	c
0xfffffff008f4c624: ca6bce17  b	#0xfffffff0082e754c
0xfffffff008f4c628: 7f2303d5  pacibsp	
0xfffffff008f4c62c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f4c630: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f4c634: fd430091  add	x29, sp, #0x10
0xfffffff008f4c638: f30300aa  mov	x19, x0
0xfffffff008f4c63c: c46bce97  bl	#0xfffffff0082e754c
0xfffffff008f4c640: a05effd0  adrp	x0, #0xfffffff007b22000
0xfffffff008f4c644: 00003a91  add	x0, x0, #0xe80
0xfffffff008f4c648: e10313aa  mov	x1, x19
0xfffffff008f4c64c: 02038052  mov	w2, #0x18
0xfffffff008f4c650: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f4c654: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f4c658: ff2303d5  autibsp	
0xfffffff008f4c65c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008f4c660: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008f4c668
0xfffffff008f4c664: 208e38d4  brk	#0xc471
0xfffffff008f4c668: 0d6cce17  b	#0xfffffff0082e769c
0xfffffff008f4c66c: 5f2403d5  bti	c
0xfffffff008f4c670: 009e0090  adrp	x0, #0xfffffff00a30c000
0xfffffff008f4c674: 00a00c91  add	x0, x0, #0x328
0xfffffff008f4c678: c0035fd6  ret	
0xfffffff008f4c67c: 7f2303d5  pacibsp	
0xfffffff008f4c680: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f4c684: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f4c688: fd430091  add	x29, sp, #0x10
0xfffffff008f4c68c: a05effd0  adrp	x0, #0xfffffff007b22000
0xfffffff008f4c690: 00003a91  add	x0, x0, #0xe80
0xfffffff008f4c694: 01038052  mov	w1, #0x18
0xfffffff008f4c698: e86bce97  bl	#0xfffffff0082e7638
0xfffffff008f4c69c: f30300aa  mov	x19, x0
0xfffffff008f4c6a0: 149e0090  adrp	x20, #0xfffffff00a30c000
0xfffffff008f4c6a4: 94a20c91  add	x20, x20, #0x328
0xfffffff008f4c6a8: e10314aa  mov	x1, x20
0xfffffff008f4c6ac: 306cce97  bl	#0xfffffff0082e776c
0xfffffff008f4c6b0: b05effb0  adrp	x16, #0xfffffff007b21000
0xfffffff008f4c6b4: 10823091  add	x16, x16, #0xc20
0xfffffff008f4c6b8: 10420091  add	x16, x16, #0x10
0xfffffff008f4c6bc: f10300aa  mov	x17, x0
