; Candidate 12362
; ADRP+ADD at VM 0xfffffff00908e5a8 (fileoff 0x208a5a8): page=0x1fe3cb000 add_imm=0xe24

0xfffffff00908e528: 80420091  add	x0, x20, #0x10
0xfffffff00908e52c: e10315aa  mov	x1, x21
0xfffffff00908e530: 02028052  mov	w2, #0x10
0xfffffff00908e534: 5044b897  bl	#0xfffffff007e9f674
0xfffffff00908e538: 40ffff35  cbnz	w0, #0xfffffff00908e520
0xfffffff00908e53c: 00008052  mov	w0, #0
0xfffffff00908e540: 740200f9  str	x20, [x19]
0xfffffff00908e544: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908e548: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908e54c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908e550: ff830191  add	sp, sp, #0x60
0xfffffff00908e554: ff0f5fd6  retab	
0xfffffff00908e558: a8028052  mov	w8, #0x15
0xfffffff00908e55c: 891eff90  adrp	x9, #0xfffffff00745e000
0xfffffff00908e560: 29051291  add	x9, x9, #0x481
0xfffffff00908e564: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908e568: 481efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908e56c: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908e570: 8a1eff90  adrp	x10, #0xfffffff00745e000
0xfffffff00908e574: 4a591191  add	x10, x10, #0x456
0xfffffff00908e578: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908e57c: ea0300f9  str	x10, [sp]
0xfffffff00908e580: 401efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908e584: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908e588: a622cb97  bl	#0xfffffff008357020
0xfffffff00908e58c: 48008092  mov	x8, #-3
0xfffffff00908e590: 891eff90  adrp	x9, #0xfffffff00745e000
0xfffffff00908e594: 294d1391  add	x9, x9, #0x4d3
0xfffffff00908e598: 6a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff00908e59c: 4a413c91  add	x10, x10, #0xf10
0xfffffff00908e5a0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00908e5a4: ea0300f9  str	x10, [sp]
0xfffffff00908e5a8: 401efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908e5ac: 00903891  add	x0, x0, #0xe24
0xfffffff00908e5b0: 9c22cb97  bl	#0xfffffff008357020
0xfffffff00908e5b4: 40008012  mov	w0, #-3
0xfffffff00908e5b8: e3ffff17  b	#0xfffffff00908e544
0xfffffff00908e5bc: 7f2303d5  pacibsp	
0xfffffff00908e5c0: ff0302d1  sub	sp, sp, #0x80
0xfffffff00908e5c4: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff00908e5c8: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00908e5cc: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00908e5d0: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00908e5d4: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00908e5d8: fdc30191  add	x29, sp, #0x70
0xfffffff00908e5dc: 000600b4  cbz	x0, #0xfffffff00908e69c
0xfffffff00908e5e0: f40301aa  mov	x20, x1
0xfffffff00908e5e4: c10500b4  cbz	x1, #0xfffffff00908e69c
0xfffffff00908e5e8: f30304aa  mov	x19, x4
0xfffffff00908e5ec: f60303aa  mov	x22, x3
0xfffffff00908e5f0: f80302aa  mov	x24, x2
0xfffffff00908e5f4: f50300aa  mov	x21, x0
0xfffffff00908e5f8: e055ff90  adrp	x0, #0xfffffff007b4a000
0xfffffff00908e5fc: 00803e91  add	x0, x0, #0xfa0
0xfffffff00908e600: bd1fcb97  bl	#0xfffffff0083564f4
0xfffffff00908e604: f70300aa  mov	x23, x0
0xfffffff00908e608: 801eff90  adrp	x0, #0xfffffff00745e000
0xfffffff00908e60c: 00501491  add	x0, x0, #0x514
0xfffffff00908e610: 991eff90  adrp	x25, #0xfffffff00745e000
0xfffffff00908e614: 39071291  add	x25, x25, #0x481
0xfffffff00908e618: 851eff90  adrp	x5, #0xfffffff00745e000
0xfffffff00908e61c: a5781491  add	x5, x5, #0x51e
0xfffffff00908e620: e10317aa  mov	x1, x23
0xfffffff00908e624: 02038052  mov	w2, #0x18
