; Candidate 13428
; ADRP+ADD at VM 0xfffffff0092d01f8 (fileoff 0x22cc1f8): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0178: 400300b4  cbz	x0, #0xfffffff0092d01e0
0xfffffff0092d017c: 700240f9  ldr	x16, [x19]
0xfffffff0092d0180: f10313aa  mov	x17, x19
0xfffffff0092d0184: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0188: 301ac1da  autda	x16, x17
0xfffffff0092d018c: 116e80d2  mov	x17, #0x370
0xfffffff0092d0190: 1002118b  add	x16, x16, x17
0xfffffff0092d0194: 080240f9  ldr	x8, [x16]
0xfffffff0092d0198: e90310aa  mov	x9, x16
0xfffffff0092d019c: e00313aa  mov	x0, x19
0xfffffff0092d01a0: f10309aa  mov	x17, x9
0xfffffff0092d01a4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d01a8: 11093fd7  blraa	x8, x17
0xfffffff0092d01ac: 100040f9  ldr	x16, [x0]
0xfffffff0092d01b0: f10300aa  mov	x17, x0
0xfffffff0092d01b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d01b8: 301ac1da  autda	x16, x17
0xfffffff0092d01bc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d01c0: 1002118b  add	x16, x16, x17
0xfffffff0092d01c4: 080240f9  ldr	x8, [x16]
0xfffffff0092d01c8: e90310aa  mov	x9, x16
0xfffffff0092d01cc: 010080d2  mov	x1, #0
0xfffffff0092d01d0: f10309aa  mov	x17, x9
0xfffffff0092d01d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d01d8: 11093fd7  blraa	x8, x17
0xfffffff0092d01dc: 03000014  b	#0xfffffff0092d01e8
0xfffffff0092d01e0: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d01e4: 00102191  add	x0, x0, #0x844
0xfffffff0092d01e8: a8024079  ldrh	w8, [x21]
0xfffffff0092d01ec: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d01f0: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d01f4: f60300f9  str	x22, [sp]
0xfffffff0092d01f8: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d01fc: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0200: 881bc297  bl	#0xfffffff008357020
0xfffffff0092d0204: 75123a91  add	x21, x19, #0xe84
0xfffffff0092d0208: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d020c: 94e23391  add	x20, x20, #0xcf8
0xfffffff0092d0210: e00314aa  mov	x0, x20
0xfffffff0092d0214: e10315aa  mov	x1, x21
0xfffffff0092d0218: 42008052  mov	w2, #2
0xfffffff0092d021c: 6773c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0220: c0070034  cbz	w0, #0xfffffff0092d0318
0xfffffff0092d0224: 700240f9  ldr	x16, [x19]
0xfffffff0092d0228: f10313aa  mov	x17, x19
0xfffffff0092d022c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0230: 301ac1da  autda	x16, x17
0xfffffff0092d0234: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0238: 1002118b  add	x16, x16, x17
0xfffffff0092d023c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0240: e90310aa  mov	x9, x16
0xfffffff0092d0244: e00313aa  mov	x0, x19
0xfffffff0092d0248: 010080d2  mov	x1, #0
0xfffffff0092d024c: f10309aa  mov	x17, x9
0xfffffff0092d0250: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0254: 11093fd7  blraa	x8, x17
0xfffffff0092d0258: f60300aa  mov	x22, x0
0xfffffff0092d025c: 700240f9  ldr	x16, [x19]
0xfffffff0092d0260: f10313aa  mov	x17, x19
0xfffffff0092d0264: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0268: 301ac1da  autda	x16, x17
0xfffffff0092d026c: 116e80d2  mov	x17, #0x370
0xfffffff0092d0270: 1002118b  add	x16, x16, x17
0xfffffff0092d0274: 080240f9  ldr	x8, [x16]
