; Candidate 12374
; ADRP+ADD at VM 0xfffffff009096f88 (fileoff 0x2092f88): page=0x1fe3c3000 add_imm=0xe24

0xfffffff009096f08: f30300aa  mov	x19, x0
0xfffffff009096f0c: d89300b0  adrp	x24, #0xfffffff00a30f000
0xfffffff009096f10: 18430c91  add	x24, x24, #0x310
0xfffffff009096f14: 08034039  ldrb	w8, [x24]
0xfffffff009096f18: 561effb0  adrp	x22, #0xfffffff00745f000
0xfffffff009096f1c: d67e3091  add	x22, x22, #0xc1f
0xfffffff009096f20: 371efff0  adrp	x23, #0xfffffff00745d000
0xfffffff009096f24: f7423c91  add	x23, x23, #0xf10
0xfffffff009096f28: 1f290071  cmp	w8, #0xa
0xfffffff009096f2c: a8000054  b.hi	#0xfffffff009096f40
0xfffffff009096f30: f75b00a9  stp	x23, x22, [sp]
0xfffffff009096f34: 001efff0  adrp	x0, #0xfffffff007459000
0xfffffff009096f38: 00583191  add	x0, x0, #0xc56
0xfffffff009096f3c: 3900cb97  bl	#0xfffffff008357020
0xfffffff009096f40: e00313aa  mov	x0, x19
0xfffffff009096f44: 6effff97  bl	#0xfffffff009096cfc
0xfffffff009096f48: 400300b4  cbz	x0, #0xfffffff009096fb0
0xfffffff009096f4c: a80e0051  sub	w8, w21, #3
0xfffffff009096f50: 1f0d0031  cmn	w8, #3
0xfffffff009096f54: 09040054  b.ls	#0xfffffff009096fd4
0xfffffff009096f58: 140500b4  cbz	x20, #0xfffffff009096ff8
0xfffffff009096f5c: 13008052  mov	w19, #0
0xfffffff009096f60: 084c358b  add	x8, x0, w21, uxtw #3
0xfffffff009096f64: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff009096f68: 880200f9  str	x8, [x20]
0xfffffff009096f6c: 48018052  mov	w8, #0xa
0xfffffff009096f70: 09034039  ldrb	w9, [x24]
0xfffffff009096f74: 1f01096b  cmp	w8, w9
0xfffffff009096f78: e3000054  b.lo	#0xfffffff009096f94
0xfffffff009096f7c: 687e4093  sxtw	x8, w19
0xfffffff009096f80: f75b00a9  stp	x23, x22, [sp]
0xfffffff009096f84: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009096f88: 001efff0  adrp	x0, #0xfffffff007459000
0xfffffff009096f8c: 00903891  add	x0, x0, #0xe24
0xfffffff009096f90: 2400cb97  bl	#0xfffffff008357020
0xfffffff009096f94: e00313aa  mov	x0, x19
0xfffffff009096f98: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009096f9c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009096fa0: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009096fa4: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009096fa8: ffc30191  add	sp, sp, #0x70
0xfffffff009096fac: ff0f5fd6  retab	
0xfffffff009096fb0: 281c8052  mov	w8, #0xe1
0xfffffff009096fb4: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096fb8: 29cd3091  add	x9, x9, #0xc33
0xfffffff009096fbc: e81300f9  str	x8, [sp, #0x20]
0xfffffff009096fc0: 081efff0  adrp	x8, #0xfffffff007459000
0xfffffff009096fc4: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009096fc8: 4a1effb0  adrp	x10, #0xfffffff00745f000
0xfffffff009096fcc: 4a952691  add	x10, x10, #0x9a5
0xfffffff009096fd0: 12000014  b	#0xfffffff009097018
0xfffffff009096fd4: 481c8052  mov	w8, #0xe2
0xfffffff009096fd8: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009096fdc: 29cd3091  add	x9, x9, #0xc33
0xfffffff009096fe0: e81300f9  str	x8, [sp, #0x20]
0xfffffff009096fe4: 081efff0  adrp	x8, #0xfffffff007459000
0xfffffff009096fe8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009096fec: 4a1effb0  adrp	x10, #0xfffffff00745f000
0xfffffff009096ff0: 4a093291  add	x10, x10, #0xc82
0xfffffff009096ff4: 09000014  b	#0xfffffff009097018
0xfffffff009096ff8: 681c8052  mov	w8, #0xe3
0xfffffff009096ffc: 491effb0  adrp	x9, #0xfffffff00745f000
0xfffffff009097000: 29cd3091  add	x9, x9, #0xc33
0xfffffff009097004: e81300f9  str	x8, [sp, #0x20]
