; Candidate 4428
; ADRP+ADD at VM 0xfffffff0087b048c (fileoff 0x17ac48c): page=0x1fe981000 add_imm=0xd90

0xfffffff0087b040c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087b0414
0xfffffff0087b0410: 208e38d4  brk	#0xc471
0xfffffff0087b0414: caf0d717  b	#0xfffffff007dac73c
0xfffffff0087b0418: 7f2303d5  pacibsp	
0xfffffff0087b041c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0087b0420: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087b0424: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087b0428: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087b042c: fdc30091  add	x29, sp, #0x30
0xfffffff0087b0430: e00303aa  mov	x0, x3
0xfffffff0087b0434: f40302aa  mov	x20, x2
0xfffffff0087b0438: f50301aa  mov	x21, x1
0xfffffff0087b043c: e9daed97  bl	#0xfffffff008326fe0
0xfffffff0087b0440: f30300aa  mov	x19, x0
0xfffffff0087b0444: b00240f9  ldr	x16, [x21]
0xfffffff0087b0448: f10315aa  mov	x17, x21
0xfffffff0087b044c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087b0450: 301ac1da  autda	x16, x17
0xfffffff0087b0454: 112080d2  mov	x17, #0x100
0xfffffff0087b0458: 1002118b  add	x16, x16, x17
0xfffffff0087b045c: 080240f9  ldr	x8, [x16]
0xfffffff0087b0460: e90310aa  mov	x9, x16
0xfffffff0087b0464: e00315aa  mov	x0, x21
0xfffffff0087b0468: e10314aa  mov	x1, x20
0xfffffff0087b046c: e20313aa  mov	x2, x19
0xfffffff0087b0470: f10309aa  mov	x17, x9
0xfffffff0087b0474: 7164f8f2  movk	x17, #0xc323, lsl #48
0xfffffff0087b0478: 11093fd7  blraa	x8, x17
0xfffffff0087b047c: 80010037  tbnz	w0, #0, #0xfffffff0087b04ac
0xfffffff0087b0480: 684dffb0  adrp	x8, #0xfffffff00715d000
0xfffffff0087b0484: 08cd2591  add	x8, x8, #0x973
0xfffffff0087b0488: e85300a9  stp	x8, x20, [sp]
0xfffffff0087b048c: 004cffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087b0490: 00403691  add	x0, x0, #0xd90
0xfffffff0087b0494: 6192ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b0498: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b049c: c34cfff0  adrp	x3, #0xfffffff00714b000
0xfffffff0087b04a0: 639c1991  add	x3, x3, #0x667
0xfffffff0087b04a4: 02008052  mov	w2, #0
0xfffffff0087b04a8: 220bee97  bl	#0xfffffff008333130
0xfffffff0087b04ac: 930200b4  cbz	x19, #0xfffffff0087b04fc
0xfffffff0087b04b0: 700240f9  ldr	x16, [x19]
0xfffffff0087b04b4: f10313aa  mov	x17, x19
0xfffffff0087b04b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087b04bc: 301ac1da  autda	x16, x17
0xfffffff0087b04c0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087b04c4: e10310aa  mov	x1, x16
0xfffffff0087b04c8: f00308aa  mov	x16, x8
0xfffffff0087b04cc: e00313aa  mov	x0, x19
0xfffffff0087b04d0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087b04d4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087b04d8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087b04dc: ff030191  add	sp, sp, #0x40
0xfffffff0087b04e0: ff2303d5  autibsp	
0xfffffff0087b04e4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0087b04e8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0087b04f0
0xfffffff0087b04ec: 208e38d4  brk	#0xc471
0xfffffff0087b04f0: f10301aa  mov	x17, x1
0xfffffff0087b04f4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087b04f8: 110a1fd7  braa	x16, x17
0xfffffff0087b04fc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0087b0500: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0087b0504: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0087b0508: ff030191  add	sp, sp, #0x40
