; Candidate 3110
; ADRP+ADD at VM 0xfffffff0087137ac (fileoff 0x170f7ac): page=0x1fea1e000 add_imm=0xd90

0xfffffff00871372c: 880240b9  ldr	w8, [x20]
0xfffffff008713730: 88000034  cbz	w8, #0xfffffff008713740
0xfffffff008713734: a1c243f9  ldr	x1, [x21, #0x780]
0xfffffff008713738: e00313aa  mov	x0, x19
0xfffffff00871373c: 25000094  bl	#0xfffffff0087137d0
0xfffffff008713740: bfc203f9  str	xzr, [x21, #0x780]
0xfffffff008713744: 19010035  cbnz	w25, #0xfffffff008713764
0xfffffff008713748: 080080d2  mov	x8, #0
0xfffffff00871374c: a9923691  add	x9, x21, #0xda4
0xfffffff008713750: 0a008012  mov	w10, #-1
0xfffffff008713754: 2a6928b8  str	w10, [x9, x8]
0xfffffff008713758: 08110091  add	x8, x8, #4
0xfffffff00871375c: 1f7100f1  cmp	x8, #0x1c
0xfffffff008713760: a1ffff54  b.ne	#0xfffffff008713754
0xfffffff008713764: e00313aa  mov	x0, x19
0xfffffff008713768: e10314aa  mov	x1, x20
0xfffffff00871376c: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008713770: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008713774: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008713778: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff00871377c: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008713780: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008713784: ff430291  add	sp, sp, #0x90
0xfffffff008713788: ff2303d5  autibsp	
0xfffffff00871378c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008713790: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008713798
0xfffffff008713794: 208e38d4  brk	#0xc471
0xfffffff008713798: 75000014  b	#0xfffffff00871396c
0xfffffff00871379c: 490c8052  mov	w9, #0x62
0xfffffff0087137a0: 0852ffd0  adrp	x8, #0xfffffff007155000
0xfffffff0087137a4: 081d1091  add	x8, x8, #0x407
0xfffffff0087137a8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087137ac: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087137b0: 00403691  add	x0, x0, #0xd90
0xfffffff0087137b4: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087137b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087137bc: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff0087137c0: 63f43c91  add	x3, x3, #0xf3d
0xfffffff0087137c4: 02008052  mov	w2, #0
0xfffffff0087137c8: 5a7ef097  bl	#0xfffffff008333130
0xfffffff0087137cc: 83ffff17  b	#0xfffffff0087135d8
0xfffffff0087137d0: 7f2303d5  pacibsp	
0xfffffff0087137d4: ffc301d1  sub	sp, sp, #0x70
0xfffffff0087137d8: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0087137dc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0087137e0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0087137e4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0087137e8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0087137ec: fd830191  add	x29, sp, #0x60
0xfffffff0087137f0: 410300b4  cbz	x1, #0xfffffff008713858
0xfffffff0087137f4: f30301aa  mov	x19, x1
0xfffffff0087137f8: f40300aa  mov	x20, x0
0xfffffff0087137fc: 280040b9  ldr	w8, [x1]
0xfffffff008713800: c801f836  tbz	w8, #0x1f, #0xfffffff008713838
0xfffffff008713804: e83a8052  mov	w8, #0x1d7
0xfffffff008713808: 0952ffd0  adrp	x9, #0xfffffff007155000
0xfffffff00871380c: 29851091  add	x9, x9, #0x421
0xfffffff008713810: e92300a9  stp	x9, x8, [sp]
0xfffffff008713814: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713818: 00403691  add	x0, x0, #0xd90
0xfffffff00871381c: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713820: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713824: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713828: 63f40991  add	x3, x3, #0x27d
