; Candidate 5165
; ADRP+ADD at VM 0xfffffff0087dced0 (fileoff 0x17d8ed0): page=0x1fea0d000 add_imm=0xe80

0xfffffff0087dce50: 18020034  cbz	w24, #0xfffffff0087dce90
0xfffffff0087dce54: 68ee40b9  ldr	w8, [x19, #0xec]
0xfffffff0087dce58: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0087dce5c: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0087dce60: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dce64: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff0087dce68: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dce6c: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dce70: 081d0291  add	x8, x8, #0x87
0xfffffff0087dce74: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dce78: 280a8052  mov	w8, #0x51
0xfffffff0087dce7c: a051ffd0  adrp	x0, #0xfffffff007212000
0xfffffff0087dce80: 00c82691  add	x0, x0, #0x9b2
0xfffffff0087dce84: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dce88: 7669d797  bl	#0xfffffff007db7460
0xfffffff0087dce8c: 19000014  b	#0xfffffff0087dcef0
0xfffffff0087dce90: c75c0394  bl	#0xfffffff0088b41ac
0xfffffff0087dce94: f70300aa  mov	x23, x0
0xfffffff0087dce98: c0008052  mov	w0, #6
0xfffffff0087dce9c: 6d7a0294  bl	#0xfffffff00887b850
0xfffffff0087dcea0: e80316aa  mov	x8, x22
0xfffffff0087dcea4: 69ee40b9  ldr	w9, [x19, #0xec]
0xfffffff0087dcea8: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff0087dceac: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff0087dceb0: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dceb4: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff0087dceb8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087dcebc: a851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087dcec0: 081d0291  add	x8, x8, #0x87
0xfffffff0087dcec4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087dcec8: 280a8052  mov	w8, #0x51
0xfffffff0087dcecc: f72300a9  stp	x23, x8, [sp]
0xfffffff0087dced0: 6050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087dced4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087dced8: 6191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087dcedc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087dcee0: 0353ff90  adrp	x3, #0xfffffff00723c000
0xfffffff0087dcee4: 63803d91  add	x3, x3, #0xf60
0xfffffff0087dcee8: 02008052  mov	w2, #0
0xfffffff0087dceec: 9158ed97  bl	#0xfffffff008333130
0xfffffff0087dcef0: e00316aa  mov	x0, x22
0xfffffff0087dcef4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087dcef8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087dcefc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087dcf00: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087dcf04: ff830291  add	sp, sp, #0xa0
0xfffffff0087dcf08: ff0f5fd6  retab	
0xfffffff0087dcf0c: 7f2303d5  pacibsp	
0xfffffff0087dcf10: ff4302d1  sub	sp, sp, #0x90
0xfffffff0087dcf14: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0087dcf18: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0087dcf1c: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0087dcf20: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0087dcf24: fd030291  add	x29, sp, #0x80
0xfffffff0087dcf28: f50302aa  mov	x21, x2
0xfffffff0087dcf2c: f40301aa  mov	x20, x1
0xfffffff0087dcf30: f30300aa  mov	x19, x0
0xfffffff0087dcf34: 200a8052  mov	w0, #0x51
0xfffffff0087dcf38: 01018052  mov	w1, #8
0xfffffff0087dcf3c: 257a0294  bl	#0xfffffff00887b7d0
0xfffffff0087dcf40: 60050034  cbz	w0, #0xfffffff0087dcfec
0xfffffff0087dcf44: 200a8052  mov	w0, #0x51
0xfffffff0087dcf48: 347a0294  bl	#0xfffffff00887b818
0xfffffff0087dcf4c: f70300aa  mov	x23, x0
