; Candidate 10692
; ADRP+ADD at VM 0xfffffff008de34cc (fileoff 0x1ddf4cc): page=0x1fe5e1000 add_imm=0xd54

0xfffffff008de344c: 3f0940f1  cmp	x9, #2, lsl #12
0xfffffff008de3450: e9279f1a  cset	w9, lo
0xfffffff008de3454: 0901090a  and	w9, w8, w9
0xfffffff008de3458: 08010a2a  orr	w8, w8, w10
0xfffffff008de345c: 1f01096b  cmp	w8, w9
0xfffffff008de3460: c1070054  b.ne	#0xfffffff008de3558
0xfffffff008de3464: ff020071  cmp	w23, #0
0xfffffff008de3468: e8048052  mov	w8, #0x27
0xfffffff008de346c: 69058052  mov	w9, #0x2b
0xfffffff008de3470: 2111881a  csel	w1, w9, w8, ne
0xfffffff008de3474: e00316aa  mov	x0, x22
0xfffffff008de3478: 02008052  mov	w2, #0
0xfffffff008de347c: e30315aa  mov	x3, x21
0xfffffff008de3480: e40314aa  mov	x4, x20
0xfffffff008de3484: 050080d2  mov	x5, #0
0xfffffff008de3488: 060080d2  mov	x6, #0
0xfffffff008de348c: 519081d2  mov	x17, #0xc82
0xfffffff008de3490: 710a3fd7  blraa	x19, x17
0xfffffff008de3494: f30300aa  mov	x19, x0
0xfffffff008de3498: 00040035  cbnz	w0, #0xfffffff008de3518
0xfffffff008de349c: 48018052  mov	w8, #0xa
0xfffffff008de34a0: 09034039  ldrb	w9, [x24]
0xfffffff008de34a4: 1f01096b  cmp	w8, w9
0xfffffff008de34a8: 83010054  b.lo	#0xfffffff008de34d8
0xfffffff008de34ac: e80313aa  mov	x8, x19
0xfffffff008de34b0: 087d4093  sxtw	x8, w8
0xfffffff008de34b4: e92efff0  adrp	x9, #0xfffffff0073c2000
0xfffffff008de34b8: 29690791  add	x9, x9, #0x1da
0xfffffff008de34bc: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de34c0: 4a9d0c91  add	x10, x10, #0x327
0xfffffff008de34c4: ea2700a9  stp	x10, x9, [sp]
0xfffffff008de34c8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de34cc: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de34d0: 00503591  add	x0, x0, #0xd54
0xfffffff008de34d4: d3ced597  bl	#0xfffffff008357020
0xfffffff008de34d8: e00313aa  mov	x0, x19
0xfffffff008de34dc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de34e0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de34e4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de34e8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de34ec: ffc30191  add	sp, sp, #0x70
0xfffffff008de34f0: ff0f5fd6  retab	
0xfffffff008de34f4: 68b18052  mov	w8, #0x58b
0xfffffff008de34f8: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de34fc: 29490d91  add	x9, x9, #0x352
0xfffffff008de3500: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3504: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3508: 08493991  add	x8, x8, #0xe52
0xfffffff008de350c: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3510: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3514: 19000014  b	#0xfffffff008de3578
0xfffffff008de3518: 687e4093  sxtw	x8, w19
0xfffffff008de351c: e9b18052  mov	w9, #0x58f
0xfffffff008de3520: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3524: 4a490d91  add	x10, x10, #0x352
0xfffffff008de3528: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de352c: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de3530: 29493991  add	x9, x9, #0xe52
0xfffffff008de3534: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de3538: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de353c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de3540: eb0300f9  str	x11, [sp]
0xfffffff008de3544: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de3548: 00543891  add	x0, x0, #0xe15
