; Candidate 7582
; ADRP+ADD at VM 0xfffffff0088738c0 (fileoff 0x186f8c0): page=0x1fe9a0000 add_imm=0xe0f

0xfffffff008873840: e00314aa  mov	x0, x20
0xfffffff008873844: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008873848: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00887384c: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008873850: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff008873854: ff030291  add	sp, sp, #0x80
0xfffffff008873858: ff0f5fd6  retab	
0xfffffff00887385c: 7f2303d5  pacibsp	
0xfffffff008873860: ff8301d1  sub	sp, sp, #0x60
0xfffffff008873864: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008873868: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00887386c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008873870: fd430191  add	x29, sp, #0x50
0xfffffff008873874: f30300aa  mov	x19, x0
0xfffffff008873878: 600b8052  mov	w0, #0x5b
0xfffffff00887387c: 01018052  mov	w1, #8
0xfffffff008873880: d41f0094  bl	#0xfffffff00887b7d0
0xfffffff008873884: a0040034  cbz	w0, #0xfffffff008873918
0xfffffff008873888: 600b8052  mov	w0, #0x5b
0xfffffff00887388c: e31f0094  bl	#0xfffffff00887b818
0xfffffff008873890: f50300aa  mov	x21, x0
0xfffffff008873894: 46020194  bl	#0xfffffff0088b41ac
0xfffffff008873898: f40300aa  mov	x20, x0
0xfffffff00887389c: 00018052  mov	w0, #8
0xfffffff0088738a0: ec1f0094  bl	#0xfffffff00887b850
0xfffffff0088738a4: 75010034  cbz	w21, #0xfffffff0088738d0
0xfffffff0088738a8: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff0088738ac: 089d2d91  add	x8, x8, #0xb67
0xfffffff0088738b0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088738b4: 680b8052  mov	w8, #0x5b
0xfffffff0088738b8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088738bc: f40300f9  str	x20, [sp]
0xfffffff0088738c0: 004dff90  adrp	x0, #0xfffffff007213000
0xfffffff0088738c4: 003c3891  add	x0, x0, #0xe0f
0xfffffff0088738c8: e60ed597  bl	#0xfffffff007db7460
0xfffffff0088738cc: 13000014  b	#0xfffffff008873918
0xfffffff0088738d0: 37020194  bl	#0xfffffff0088b41ac
0xfffffff0088738d4: f40300aa  mov	x20, x0
0xfffffff0088738d8: 00018052  mov	w0, #8
0xfffffff0088738dc: dd1f0094  bl	#0xfffffff00887b850
0xfffffff0088738e0: a84dfff0  adrp	x8, #0xfffffff00722a000
0xfffffff0088738e4: 089d2d91  add	x8, x8, #0xb67
0xfffffff0088738e8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088738ec: 680b8052  mov	w8, #0x5b
0xfffffff0088738f0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088738f4: f40300f9  str	x20, [sp]
0xfffffff0088738f8: a04bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088738fc: 00003a91  add	x0, x0, #0xe80
0xfffffff008873900: a18cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008873904: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008873908: 234fffd0  adrp	x3, #0xfffffff007259000
0xfffffff00887390c: 63c81291  add	x3, x3, #0x4b2
0xfffffff008873910: 02008052  mov	w2, #0
0xfffffff008873914: 07feea97  bl	#0xfffffff008333130
0xfffffff008873918: e00313aa  mov	x0, x19
0xfffffff00887391c: 01009052  mov	w1, #0x8000
0xfffffff008873920: e102a072  movk	w1, #0x17, lsl #16
0xfffffff008873924: 02048052  mov	w2, #0x20
0xfffffff008873928: c202a072  movk	w2, #0x16, lsl #16
0xfffffff00887392c: 03488852  mov	w3, #0x4240
0xfffffff008873930: e301a072  movk	w3, #0xf, lsl #16
0xfffffff008873934: 4b080094  bl	#0xfffffff008875a60
0xfffffff008873938: f40300aa  mov	x20, x0
0xfffffff00887393c: 600b8052  mov	w0, #0x5b
