; Candidate 622
; ADRP+ADD at VM 0xfffffff007fc50b4 (fileoff 0xfc10b4): page=0x1ff0a1000 add_imm=0xcfe

0xfffffff007fc5034: 5f00086b  cmp	w2, w8
0xfffffff007fc5038: a1040054  b.ne	#0xfffffff007fc50cc
0xfffffff007fc503c: 00008052  mov	w0, #0
0xfffffff007fc5040: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff007fc5044: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff007fc5048: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff007fc504c: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff007fc5050: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff007fc5054: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff007fc5058: ff430591  add	sp, sp, #0x150
0xfffffff007fc505c: ff0f5fd6  retab	
0xfffffff007fc5060: e00318aa  mov	x0, x24
0xfffffff007fc5064: d1a5f797  bl	#0xfffffff007dae7a8
0xfffffff007fc5068: e00314aa  mov	x0, x20
0xfffffff007fc506c: d9d10a94  bl	#0xfffffff0082797d0
0xfffffff007fc5070: e00315aa  mov	x0, x21
0xfffffff007fc5074: 9f000094  bl	#0xfffffff007fc52f0
0xfffffff007fc5078: f1ffff17  b	#0xfffffff007fc503c
0xfffffff007fc507c: e0031aaa  mov	x0, x26
0xfffffff007fc5080: e10313aa  mov	x1, x19
0xfffffff007fc5084: b89df797  bl	#0xfffffff007dac764
0xfffffff007fc5088: 41fdff17  b	#0xfffffff007fc458c
0xfffffff007fc508c: e0031aaa  mov	x0, x26
0xfffffff007fc5090: e10313aa  mov	x1, x19
0xfffffff007fc5094: b49df797  bl	#0xfffffff007dac764
0xfffffff007fc5098: 5bfdff17  b	#0xfffffff007fc4604
0xfffffff007fc509c: e0031aaa  mov	x0, x26
0xfffffff007fc50a0: e10313aa  mov	x1, x19
0xfffffff007fc50a4: 22008052  mov	w2, #1
0xfffffff007fc50a8: 949af797  bl	#0xfffffff007dabaf8
0xfffffff007fc50ac: c80240b9  ldr	w8, [x22]
0xfffffff007fc50b0: 88faff35  cbnz	w8, #0xfffffff007fc5000
0xfffffff007fc50b4: 0085ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fc50b8: 00f83391  add	x0, x0, #0xcfe
0xfffffff007fc50bc: 0185ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc50c0: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc50c4: 22c98152  mov	w2, #0xe49
0xfffffff007fc50c8: d3691394  bl	#0xfffffff00849f814
0xfffffff007fc50cc: e0031aaa  mov	x0, x26
0xfffffff007fc50d0: e10313aa  mov	x1, x19
0xfffffff007fc50d4: a49df797  bl	#0xfffffff007dac764
0xfffffff007fc50d8: d9ffff17  b	#0xfffffff007fc503c
0xfffffff007fc50dc: 0085ffd0  adrp	x0, #0xfffffff007067000
0xfffffff007fc50e0: 00700191  add	x0, x0, #0x5c
0xfffffff007fc50e4: 0185ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc50e8: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc50ec: c2b98152  mov	w2, #0xdce
0xfffffff007fc50f0: c9691394  bl	#0xfffffff00849f814
0xfffffff007fc50f4: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff007fc50f8: 081140f9  ldr	x8, [x8, #0x20]
0xfffffff007fc50fc: e80300f9  str	x8, [sp]
0xfffffff007fc5100: 2082fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fc5104: 00000091  add	x0, x0, #0
0xfffffff007fc5108: a11201b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc510c: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc5110: 4387ffd0  adrp	x3, #0xfffffff0070af000
0xfffffff007fc5114: 63080991  add	x3, x3, #0x242
0xfffffff007fc5118: 02028052  mov	w2, #0x10
0xfffffff007fc511c: 05b80d94  bl	#0xfffffff008333130
0xfffffff007fc5120: fb4f40f9  ldr	x27, [sp, #0x98]
0xfffffff007fc5124: e12740f9  ldr	x1, [sp, #0x48]
0xfffffff007fc5128: 61edffb5  cbnz	x1, #0xfffffff007fc4ed4
0xfffffff007fc512c: 70ffff17  b	#0xfffffff007fc4eec
0xfffffff007fc5130: 0085ffd0  adrp	x0, #0xfffffff007067000
