; Candidate 15213
; ADRP+ADD at VM 0xfffffff009b3efd8 (fileoff 0x2b3afd8): page=0x1fdae7000 add_imm=0xe95

0xfffffff009b3ef58: 00bc1f91  add	x0, x0, #0x7ef
0xfffffff009b3ef5c: 6c55a597  bl	#0xfffffff00849450c
0xfffffff009b3ef60: 7f2303d5  pacibsp	
0xfffffff009b3ef64: ff8300d1  sub	sp, sp, #0x20
0xfffffff009b3ef68: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b3ef6c: fd430091  add	x29, sp, #0x10
0xfffffff009b3ef70: 28d7fef0  adrp	x8, #0xfffffff007625000
0xfffffff009b3ef74: 08753a91  add	x8, x8, #0xe9d
0xfffffff009b3ef78: 890f8052  mov	w9, #0x7c
0xfffffff009b3ef7c: e82700a9  stp	x8, x9, [sp]
0xfffffff009b3ef80: 20d7fef0  adrp	x0, #0xfffffff007625000
0xfffffff009b3ef84: 00dc3a91  add	x0, x0, #0xeb7
0xfffffff009b3ef88: 6155a597  bl	#0xfffffff00849450c
0xfffffff009b3ef8c: 7f2303d5  pacibsp	
0xfffffff009b3ef90: ff8300d1  sub	sp, sp, #0x20
0xfffffff009b3ef94: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b3ef98: fd430091  add	x29, sp, #0x10
0xfffffff009b3ef9c: 28d7fef0  adrp	x8, #0xfffffff007625000
0xfffffff009b3efa0: 08753a91  add	x8, x8, #0xe9d
0xfffffff009b3efa4: 697c8052  mov	w9, #0x3e3
0xfffffff009b3efa8: e82700a9  stp	x8, x9, [sp]
0xfffffff009b3efac: 20d7fef0  adrp	x0, #0xfffffff007625000
0xfffffff009b3efb0: 00543a91  add	x0, x0, #0xe95
0xfffffff009b3efb4: 5655a597  bl	#0xfffffff00849450c
0xfffffff009b3efb8: 7f2303d5  pacibsp	
0xfffffff009b3efbc: ff8300d1  sub	sp, sp, #0x20
0xfffffff009b3efc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b3efc4: fd430091  add	x29, sp, #0x10
0xfffffff009b3efc8: 28d7fef0  adrp	x8, #0xfffffff007625000
0xfffffff009b3efcc: 08753a91  add	x8, x8, #0xe9d
0xfffffff009b3efd0: 89838052  mov	w9, #0x41c
0xfffffff009b3efd4: e82700a9  stp	x8, x9, [sp]
0xfffffff009b3efd8: 20d7fef0  adrp	x0, #0xfffffff007625000
0xfffffff009b3efdc: 00543a91  add	x0, x0, #0xe95
0xfffffff009b3efe0: 4b55a597  bl	#0xfffffff00849450c
0xfffffff009b3efe4: 00000000  udf	#0
0xfffffff009b3efe8: 00000000  udf	#0
0xfffffff009b3efec: 00000000  udf	#0
0xfffffff009b3eff0: 7f2303d5  pacibsp	
0xfffffff009b3eff4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b3eff8: fd030091  mov	x29, sp
0xfffffff009b3effc: 41d7fef0  adrp	x1, #0xfffffff007629000
0xfffffff009b3f000: 21e01491  add	x1, x1, #0x538
0xfffffff009b3f004: c24300d0  adrp	x2, #0xfffffff00a3b9000
0xfffffff009b3f008: 42803c91  add	x2, x2, #0xf20
0xfffffff009b3f00c: 038e8052  mov	w3, #0x470
0xfffffff009b3f010: ca929e97  bl	#0xfffffff0082e3b38
0xfffffff009b3f014: d00cffd0  adrp	x16, #0xfffffff007cd9000
0xfffffff009b3f018: 10620c91  add	x16, x16, #0x318
0xfffffff009b3f01c: 10420091  add	x16, x16, #0x10
0xfffffff009b3f020: f10300aa  mov	x17, x0
0xfffffff009b3f024: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b3f028: 300ac1da  pacda	x16, x17
0xfffffff009b3f02c: 100000f9  str	x16, [x0]
0xfffffff009b3f030: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b3f034: ff0f5fd6  retab	
0xfffffff009b3f038: 5f2403d5  bti	c
0xfffffff009b3f03c: ae959e17  b	#0xfffffff0082e46f4
0xfffffff009b3f040: 7f2303d5  pacibsp	
0xfffffff009b3f044: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b3f048: fd030091  mov	x29, sp
0xfffffff009b3f04c: 53070094  bl	#0xfffffff009b40d98
0xfffffff009b3f050: d00cffb0  adrp	x16, #0xfffffff007cd8000
0xfffffff009b3f054: 10222c91  add	x16, x16, #0xb08
