; Candidate 11263
; ADRP+ADD at VM 0xfffffff008eda280 (fileoff 0x1ed6280): page=0x1fe4f9000 add_imm=0xcef

0xfffffff008eda200: f10300aa  mov	x17, x0
0xfffffff008eda204: 1178f1f2  movk	x17, #0x8bc0, lsl #48
0xfffffff008eda208: 301ac1da  autda	x16, x17
0xfffffff008eda20c: 110481d2  mov	x17, #0x820
0xfffffff008eda210: 1002118b  add	x16, x16, x17
0xfffffff008eda214: 080240f9  ldr	x8, [x16]
0xfffffff008eda218: e90310aa  mov	x9, x16
0xfffffff008eda21c: f10309aa  mov	x17, x9
0xfffffff008eda220: 51b7e0f2  movk	x17, #0x5ba, lsl #48
0xfffffff008eda224: 11093fd7  blraa	x8, x17
0xfffffff008eda228: c827ffd0  adrp	x8, #0xfffffff0073d4000
0xfffffff008eda22c: 08590191  add	x8, x8, #0x56
0xfffffff008eda230: c927ffd0  adrp	x9, #0xfffffff0073d4000
0xfffffff008eda234: 29490191  add	x9, x9, #0x52
0xfffffff008eda238: 1f000071  cmp	w0, #0
0xfffffff008eda23c: 2811889a  csel	x8, x9, x8, ne
0xfffffff008eda240: e9068352  mov	w9, #0x1837
0xfffffff008eda244: ca27ff90  adrp	x10, #0xfffffff0073d2000
0xfffffff008eda248: 4ad93291  add	x10, x10, #0xcb6
0xfffffff008eda24c: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff008eda250: e84f00a9  stp	x8, x19, [sp]
0xfffffff008eda254: c027ffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008eda258: 00880591  add	x0, x0, #0x162
0xfffffff008eda25c: ace8d697  bl	#0xfffffff00849450c
0xfffffff008eda260: 7f2303d5  pacibsp	
0xfffffff008eda264: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eda268: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008eda26c: fd430091  add	x29, sp, #0x10
0xfffffff008eda270: c827ff90  adrp	x8, #0xfffffff0073d2000
0xfffffff008eda274: 08d93291  add	x8, x8, #0xcb6
0xfffffff008eda278: 49c08252  mov	w9, #0x1602
0xfffffff008eda27c: e82700a9  stp	x8, x9, [sp]
0xfffffff008eda280: c027ffb0  adrp	x0, #0xfffffff0073d3000
0xfffffff008eda284: 00bc3391  add	x0, x0, #0xcef
0xfffffff008eda288: a1e8d697  bl	#0xfffffff00849450c
0xfffffff008eda28c: 7f2303d5  pacibsp	
0xfffffff008eda290: ffc300d1  sub	sp, sp, #0x30
0xfffffff008eda294: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008eda298: fd830091  add	x29, sp, #0x20
0xfffffff008eda29c: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff008eda2a0: 49dd8252  mov	w9, #0x16ea
0xfffffff008eda2a4: ca27ff90  adrp	x10, #0xfffffff0073d2000
0xfffffff008eda2a8: 4ad93291  add	x10, x10, #0xcb6
0xfffffff008eda2ac: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff008eda2b0: e80300f9  str	x8, [sp]
0xfffffff008eda2b4: c027ffb0  adrp	x0, #0xfffffff0073d3000
0xfffffff008eda2b8: 00dc3691  add	x0, x0, #0xdb7
0xfffffff008eda2bc: 94e8d697  bl	#0xfffffff00849450c
0xfffffff008eda2c0: 7f2303d5  pacibsp	
0xfffffff008eda2c4: ffc300d1  sub	sp, sp, #0x30
0xfffffff008eda2c8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008eda2cc: fd830091  add	x29, sp, #0x20
0xfffffff008eda2d0: 081c40b9  ldr	w8, [x0, #0x1c]
0xfffffff008eda2d4: c9de8252  mov	w9, #0x16f6
0xfffffff008eda2d8: ca27ff90  adrp	x10, #0xfffffff0073d2000
0xfffffff008eda2dc: 4ad93291  add	x10, x10, #0xcb6
0xfffffff008eda2e0: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff008eda2e4: e80300f9  str	x8, [sp]
0xfffffff008eda2e8: c027ffb0  adrp	x0, #0xfffffff0073d3000
0xfffffff008eda2ec: 004c3891  add	x0, x0, #0xe13
0xfffffff008eda2f0: 87e8d697  bl	#0xfffffff00849450c
0xfffffff008eda2f4: 7f2303d5  pacibsp	
0xfffffff008eda2f8: ff8300d1  sub	sp, sp, #0x20
0xfffffff008eda2fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
