; Candidate 14394
; ADRP+ADD at VM 0xfffffff0097701f4 (fileoff 0x276c1f4): page=0xc1b000 add_imm=0xea8

0xfffffff009770174: c00100b5  cbnz	x0, #0xfffffff0097701ac
0xfffffff009770178: 700240f9  ldr	x16, [x19]
0xfffffff00977017c: f10313aa  mov	x17, x19
0xfffffff009770180: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770184: 301ac1da  autda	x16, x17
0xfffffff009770188: 113d80d2  mov	x17, #0x1e8
0xfffffff00977018c: 1002118b  add	x16, x16, x17
0xfffffff009770190: 080240f9  ldr	x8, [x16]
0xfffffff009770194: e90310aa  mov	x9, x16
0xfffffff009770198: e00313aa  mov	x0, x19
0xfffffff00977019c: 010080d2  mov	x1, #0
0xfffffff0097701a0: f10309aa  mov	x17, x9
0xfffffff0097701a4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097701a8: 11093fd7  blraa	x8, x17
0xfffffff0097701ac: e00313aa  mov	x0, x19
0xfffffff0097701b0: 2be2fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097701b4: e00313aa  mov	x0, x19
0xfffffff0097701b8: 29e2fc97  bl	#0xfffffff0096a8a5c
0xfffffff0097701bc: c00100b5  cbnz	x0, #0xfffffff0097701f4
0xfffffff0097701c0: 700240f9  ldr	x16, [x19]
0xfffffff0097701c4: f10313aa  mov	x17, x19
0xfffffff0097701c8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097701cc: 301ac1da  autda	x16, x17
0xfffffff0097701d0: 114380d2  mov	x17, #0x218
0xfffffff0097701d4: 1002118b  add	x16, x16, x17
0xfffffff0097701d8: 080240f9  ldr	x8, [x16]
0xfffffff0097701dc: e90310aa  mov	x9, x16
0xfffffff0097701e0: e00313aa  mov	x0, x19
0xfffffff0097701e4: 010080d2  mov	x1, #0
0xfffffff0097701e8: f10309aa  mov	x17, x9
0xfffffff0097701ec: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0097701f0: 11093fd7  blraa	x8, x17
0xfffffff0097701f4: c06000f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097701f8: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097701fc: d7d1ad97  bl	#0xfffffff0082e4958
0xfffffff009770200: f50300aa  mov	x21, x0
0xfffffff009770204: e00313aa  mov	x0, x19
0xfffffff009770208: 15e2fc97  bl	#0xfffffff0096a8a5c
0xfffffff00977020c: f60300aa  mov	x22, x0
0xfffffff009770210: e00100b5  cbnz	x0, #0xfffffff00977024c
0xfffffff009770214: 700240f9  ldr	x16, [x19]
0xfffffff009770218: f10313aa  mov	x17, x19
0xfffffff00977021c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009770220: 301ac1da  autda	x16, x17
0xfffffff009770224: 113d80d2  mov	x17, #0x1e8
0xfffffff009770228: 1002118b  add	x16, x16, x17
0xfffffff00977022c: 080240f9  ldr	x8, [x16]
0xfffffff009770230: e90310aa  mov	x9, x16
0xfffffff009770234: e00313aa  mov	x0, x19
0xfffffff009770238: 010080d2  mov	x1, #0
0xfffffff00977023c: f10309aa  mov	x17, x9
0xfffffff009770240: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009770244: 11093fd7  blraa	x8, x17
0xfffffff009770248: f60300aa  mov	x22, x0
0xfffffff00977024c: e00313aa  mov	x0, x19
0xfffffff009770250: 03e2fc97  bl	#0xfffffff0096a8a5c
0xfffffff009770254: f7f0feb0  adrp	x23, #0xfffffff00758d000
0xfffffff009770258: f7c63491  add	x23, x23, #0xd31
0xfffffff00977025c: e8f0feb0  adrp	x8, #0xfffffff00758d000
0xfffffff009770260: 08c93491  add	x8, x8, #0xd32
0xfffffff009770264: 1f0000f1  cmp	x0, #0
0xfffffff009770268: 1b01979a  csel	x27, x8, x23, eq
0xfffffff00977026c: e00313aa  mov	x0, x19
0xfffffff009770270: fbe1fc97  bl	#0xfffffff0096a8a5c
