; Candidate 7414
; ADRP+ADD at VM 0xfffffff00886c524 (fileoff 0x1868524): page=0x1fe97d000 add_imm=0xe80

0xfffffff00886c4a4: 17020034  cbz	w23, #0xfffffff00886c4e4
0xfffffff00886c4a8: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886c4ac: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff00886c4b0: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00886c4b4: e84dffb0  adrp	x8, #0xfffffff007229000
0xfffffff00886c4b8: 09453291  add	x9, x8, #0xc91
0xfffffff00886c4bc: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886c4c0: 08811191  add	x8, x8, #0x460
0xfffffff00886c4c4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886c4c8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00886c4cc: 680c8052  mov	w8, #0x63
0xfffffff00886c4d0: e04dffb0  adrp	x0, #0xfffffff007229000
0xfffffff00886c4d4: 009c3191  add	x0, x0, #0xc67
0xfffffff00886c4d8: f62300a9  stp	x22, x8, [sp]
0xfffffff00886c4dc: e12bd597  bl	#0xfffffff007db7460
0xfffffff00886c4e0: 19000014  b	#0xfffffff00886c544
0xfffffff00886c4e4: 321f0194  bl	#0xfffffff0088b41ac
0xfffffff00886c4e8: f60300aa  mov	x22, x0
0xfffffff00886c4ec: c0008052  mov	w0, #6
0xfffffff00886c4f0: d83c0094  bl	#0xfffffff00887b850
0xfffffff00886c4f4: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00886c4f8: e90314aa  mov	x9, x20
0xfffffff00886c4fc: e9d703a9  stp	x9, x21, [sp, #0x38]
0xfffffff00886c500: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00886c504: e84dffb0  adrp	x8, #0xfffffff007229000
0xfffffff00886c508: 09453291  add	x9, x8, #0xc91
0xfffffff00886c50c: c84dfff0  adrp	x8, #0xfffffff007227000
0xfffffff00886c510: 08811191  add	x8, x8, #0x460
0xfffffff00886c514: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00886c518: 680c8052  mov	w8, #0x63
0xfffffff00886c51c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00886c520: f60300f9  str	x22, [sp]
0xfffffff00886c524: e04bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00886c528: 00003a91  add	x0, x0, #0xe80
0xfffffff00886c52c: e18cff90  adrp	x1, #0xfffffff007a08000
0xfffffff00886c530: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00886c534: 434ffff0  adrp	x3, #0xfffffff007257000
0xfffffff00886c538: 63f03391  add	x3, x3, #0xcfc
0xfffffff00886c53c: 02008052  mov	w2, #0
0xfffffff00886c540: fc1aeb97  bl	#0xfffffff008333130
0xfffffff00886c544: 9f060071  cmp	w20, #1
0xfffffff00886c548: 8b050054  b.lt	#0xfffffff00886c5f8
0xfffffff00886c54c: 750500b4  cbz	x21, #0xfffffff00886c5f8
0xfffffff00886c550: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff00886c554: 1f0d0071  cmp	w8, #3
0xfffffff00886c558: 01090054  b.ne	#0xfffffff00886c678
0xfffffff00886c55c: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00886c560: a2e300d1  sub	x2, x29, #0x38
0xfffffff00886c564: e10314aa  mov	x1, x20
0xfffffff00886c568: c32e0094  bl	#0xfffffff008878074
0xfffffff00886c56c: f60300aa  mov	x22, x0
0xfffffff00886c570: e00f0034  cbz	w0, #0xfffffff00886c76c
0xfffffff00886c574: 600c8052  mov	w0, #0x63
0xfffffff00886c578: 81008052  mov	w1, #4
0xfffffff00886c57c: 953c0094  bl	#0xfffffff00887b7d0
0xfffffff00886c580: c0130034  cbz	w0, #0xfffffff00886c7f8
0xfffffff00886c584: 600c8052  mov	w0, #0x63
0xfffffff00886c588: a43c0094  bl	#0xfffffff00887b818
0xfffffff00886c58c: f80300aa  mov	x24, x0
0xfffffff00886c590: 071f0194  bl	#0xfffffff0088b41ac
0xfffffff00886c594: f70300aa  mov	x23, x0
0xfffffff00886c598: 80008052  mov	w0, #4
0xfffffff00886c59c: ad3c0094  bl	#0xfffffff00887b850
0xfffffff00886c5a0: 381a0034  cbz	w24, #0xfffffff00886c8e4
