; Candidate 4567
; ADRP+ADD at VM 0xfffffff0087bb9f8 (fileoff 0x17b79f8): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bb978: f65717a9  stp	x22, x21, [sp, #0x170]
0xfffffff0087bb97c: f44f18a9  stp	x20, x19, [sp, #0x180]
0xfffffff0087bb980: fd7b19a9  stp	x29, x30, [sp, #0x190]
0xfffffff0087bb984: fd430691  add	x29, sp, #0x190
0xfffffff0087bb988: f30300aa  mov	x19, x0
0xfffffff0087bb98c: 0892ffd0  adrp	x8, #0xfffffff0079fd000
0xfffffff0087bb990: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0087bb994: 080140f9  ldr	x8, [x8]
0xfffffff0087bb998: a8031af8  stur	x8, [x29, #-0x60]
0xfffffff0087bb99c: 08a445a9  ldp	x8, x9, [x0, #0x58]
0xfffffff0087bb9a0: 359546b9  ldr	w21, [x9, #0x694]
0xfffffff0087bb9a4: 299946b9  ldr	w9, [x9, #0x698]
0xfffffff0087bb9a8: e91700f9  str	x9, [sp, #0x28]
0xfffffff0087bb9ac: 092940b9  ldr	w9, [x8, #0x28]
0xfffffff0087bb9b0: 3b4dff90  adrp	x27, #0xfffffff00715f000
0xfffffff0087bb9b4: 7b530391  add	x27, x27, #0xd4
0xfffffff0087bb9b8: 89010035  cbnz	w9, #0xfffffff0087bb9e8
0xfffffff0087bb9bc: 28728252  mov	w8, #0x1391
0xfffffff0087bb9c0: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bb9c4: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb9c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bb9cc: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bb9d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bb9d4: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bb9d8: 63643a91  add	x3, x3, #0xe99
0xfffffff0087bb9dc: 02008052  mov	w2, #0
0xfffffff0087bb9e0: d4dded97  bl	#0xfffffff008333130
0xfffffff0087bb9e4: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bb9e8: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff0087bb9ec: a801f836  tbz	w8, #0x1f, #0xfffffff0087bba20
0xfffffff0087bb9f0: 48728252  mov	w8, #0x1392
0xfffffff0087bb9f4: fb2300a9  stp	x27, x8, [sp]
0xfffffff0087bb9f8: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb9fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bba00: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bba04: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bba08: 834cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bba0c: 63303b91  add	x3, x3, #0xecc
0xfffffff0087bba10: 02008052  mov	w2, #0
0xfffffff0087bba14: c7dded97  bl	#0xfffffff008333130
0xfffffff0087bba18: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bba1c: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff0087bba20: 160080d2  mov	x22, #0
0xfffffff0087bba24: 140080d2  mov	x20, #0
0xfffffff0087bba28: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087bba2c: 294d40b9  ldr	w9, [x9, #0x4c]
0xfffffff0087bba30: e94700b9  str	w9, [sp, #0x44]
0xfffffff0087bba34: 29008052  mov	w9, #1
0xfffffff0087bba38: 3821c81a  lsl	w24, w9, w8
0xfffffff0087bba3c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087bba40: e08308ad  stp	q0, q0, [sp, #0x110]
0xfffffff0087bba44: e08307ad  stp	q0, q0, [sp, #0xf0]
0xfffffff0087bba48: e08306ad  stp	q0, q0, [sp, #0xd0]
0xfffffff0087bba4c: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0087bba50: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff0087bba54: 1cf17dd3  lsl	x28, x8, #3
0xfffffff0087bba58: f51300f9  str	x21, [sp, #0x20]
0xfffffff0087bba5c: a806158b  add	x8, x21, x21, lsl #1
0xfffffff0087bba60: e08305ad  stp	q0, q0, [sp, #0xb0]
0xfffffff0087bba64: 08f17dd3  lsl	x8, x8, #3
0xfffffff0087bba68: e8ff04a9  stp	x8, xzr, [sp, #0x48]
0xfffffff0087bba6c: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff0087bba70: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff0087bba74: ffff05a9  stp	xzr, xzr, [sp, #0x58]
