; Candidate 12636
; ADRP+ADD at VM 0xfffffff0090de520 (fileoff 0x20da520): page=0x1fe38f000 add_imm=0xd84

0xfffffff0090de4a0: eba305a9  stp	x11, x8, [sp, #0x58]
0xfffffff0090de4a4: e8ab04a9  stp	x8, x10, [sp, #0x48]
0xfffffff0090de4a8: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090de4ac: 08552c91  add	x8, x8, #0xb15
0xfffffff0090de4b0: 2a738152  mov	w10, #0xb99
0xfffffff0090de4b4: e88303a9  stp	x8, x0, [sp, #0x38]
0xfffffff0090de4b8: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff0090de4bc: e9a701a9  stp	x9, x9, [sp, #0x18]
0xfffffff0090de4c0: 681cffd0  adrp	x8, #0xfffffff00746c000
0xfffffff0090de4c4: 08212c91  add	x8, x8, #0xb08
0xfffffff0090de4c8: 6a1cffd0  adrp	x10, #0xfffffff00746c000
0xfffffff0090de4cc: 4add2b91  add	x10, x10, #0xaf7
0xfffffff0090de4d0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0090de4d4: 601cfff0  adrp	x0, #0xfffffff00746d000
0xfffffff0090de4d8: 00703591  add	x0, x0, #0xd5c
0xfffffff0090de4dc: ea0300f9  str	x10, [sp]
0xfffffff0090de4e0: d0e2c997  bl	#0xfffffff008357020
0xfffffff0090de4e4: e00313aa  mov	x0, x19
0xfffffff0090de4e8: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090de4ec: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090de4f0: ff430291  add	sp, sp, #0x90
0xfffffff0090de4f4: ff0f5fd6  retab	
0xfffffff0090de4f8: 7f2303d5  pacibsp	
0xfffffff0090de4fc: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0090de500: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0090de504: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0090de508: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0090de50c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0090de510: fd430291  add	x29, sp, #0x90
0xfffffff0090de514: f30300aa  mov	x19, x0
0xfffffff0090de518: 089840f9  ldr	x8, [x0, #0x130]
0xfffffff0090de51c: a80800b5  cbnz	x8, #0xfffffff0090de630
0xfffffff0090de520: 601cfff0  adrp	x0, #0xfffffff00746d000
0xfffffff0090de524: 00103691  add	x0, x0, #0xd84
0xfffffff0090de528: 010080d2  mov	x1, #0
0xfffffff0090de52c: d9aeca97  bl	#0xfffffff00838a090
0xfffffff0090de530: 000800b4  cbz	x0, #0xfffffff0090de630
0xfffffff0090de534: f50300aa  mov	x21, x0
0xfffffff0090de538: 01008092  mov	x1, #-1
0xfffffff0090de53c: 14aeca97  bl	#0xfffffff008389d8c
0xfffffff0090de540: f40300aa  mov	x20, x0
0xfffffff0090de544: 8853ff90  adrp	x8, #0xfffffff007b4e000
0xfffffff0090de548: 08fd45f9  ldr	x8, [x8, #0xbf8]
0xfffffff0090de54c: 010140f9  ldr	x1, [x8]
0xfffffff0090de550: e915c897  bl	#0xfffffff0082e3cf4
0xfffffff0090de554: f60300aa  mov	x22, x0
0xfffffff0090de558: b00240f9  ldr	x16, [x21]
0xfffffff0090de55c: f10315aa  mov	x17, x21
0xfffffff0090de560: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090de564: 301ac1da  autda	x16, x17
0xfffffff0090de568: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090de56c: e90310aa  mov	x9, x16
0xfffffff0090de570: e00315aa  mov	x0, x21
0xfffffff0090de574: f10309aa  mov	x17, x9
0xfffffff0090de578: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090de57c: 11093fd7  blraa	x8, x17
0xfffffff0090de580: 740100b4  cbz	x20, #0xfffffff0090de5ac
0xfffffff0090de584: 900240f9  ldr	x16, [x20]
0xfffffff0090de588: f10314aa  mov	x17, x20
0xfffffff0090de58c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090de590: 301ac1da  autda	x16, x17
0xfffffff0090de594: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090de598: e90310aa  mov	x9, x16
0xfffffff0090de59c: e00314aa  mov	x0, x20
