; Candidate 8130
; ADRP+ADD at VM 0xfffffff008896d4c (fileoff 0x1892d4c): page=0x1fe999000 add_imm=0xdd3

0xfffffff008896ccc: fc0300aa  mov	x28, x0
0xfffffff008896cd0: 80008052  mov	w0, #4
0xfffffff008896cd4: df92ff97  bl	#0xfffffff00887b850
0xfffffff008896cd8: 1a040034  cbz	w26, #0xfffffff008896d58
0xfffffff008896cdc: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896ce0: 885a8052  mov	w8, #0x2d4
0xfffffff008896ce4: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896ce8: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896cec: fc5b00a9  stp	x28, x22, [sp]
0xfffffff008896cf0: c04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008896cf4: 00a43591  add	x0, x0, #0xd69
0xfffffff008896cf8: da81d497  bl	#0xfffffff007db7460
0xfffffff008896cfc: afffff17  b	#0xfffffff008896bb8
0xfffffff008896d00: e10314aa  mov	x1, x20
0xfffffff008896d04: b392ff97  bl	#0xfffffff00887b7d0
0xfffffff008896d08: e0090034  cbz	w0, #0xfffffff008896e44
0xfffffff008896d0c: 200e8052  mov	w0, #0x71
0xfffffff008896d10: c292ff97  bl	#0xfffffff00887b818
0xfffffff008896d14: 7404f837  tbnz	w20, #0x1f, #0xfffffff008896da0
0xfffffff008896d18: 7a031b12  and	w26, w27, #0x20
0xfffffff008896d1c: 1c000052  eor	w28, w0, #1
0xfffffff008896d20: 23750094  bl	#0xfffffff0088b41ac
0xfffffff008896d24: f90300aa  mov	x25, x0
0xfffffff008896d28: e00314aa  mov	x0, x20
0xfffffff008896d2c: c992ff97  bl	#0xfffffff00887b850
0xfffffff008896d30: 88175a2a  orr	w8, w28, w26, lsr #5
0xfffffff008896d34: c8040037  tbnz	w8, #0, #0xfffffff008896dcc
0xfffffff008896d38: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896d3c: 685b8052  mov	w8, #0x2db
0xfffffff008896d40: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896d44: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896d48: f95b00a9  stp	x25, x22, [sp]
0xfffffff008896d4c: c04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008896d50: 004c3791  add	x0, x0, #0xdd3
0xfffffff008896d54: 1c000014  b	#0xfffffff008896dc4
0xfffffff008896d58: 15750094  bl	#0xfffffff0088b41ac
0xfffffff008896d5c: fa0300aa  mov	x26, x0
0xfffffff008896d60: 80008052  mov	w0, #4
0xfffffff008896d64: bb92ff97  bl	#0xfffffff00887b850
0xfffffff008896d68: f36303a9  stp	x19, x24, [sp, #0x30]
0xfffffff008896d6c: 885a8052  mov	w8, #0x2d4
0xfffffff008896d70: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff008896d74: e05f01a9  stp	x0, x23, [sp, #0x10]
0xfffffff008896d78: fa5b00a9  stp	x26, x22, [sp]
0xfffffff008896d7c: 804afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008896d80: 00003a91  add	x0, x0, #0xe80
0xfffffff008896d84: 818bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008896d88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008896d8c: 02008052  mov	w2, #0
0xfffffff008896d90: 434effb0  adrp	x3, #0xfffffff00725f000
0xfffffff008896d94: 63643b91  add	x3, x3, #0xed9
0xfffffff008896d98: e670ea97  bl	#0xfffffff008333130
0xfffffff008896d9c: 87ffff17  b	#0xfffffff008896bb8
0xfffffff008896da0: a0030034  cbz	w0, #0xfffffff008896e14
0xfffffff008896da4: e84f40b9  ldr	w8, [sp, #0x4c]
0xfffffff008896da8: 68032837  tbnz	w8, #5, #0xfffffff008896e14
0xfffffff008896dac: f3e301a9  stp	x19, x24, [sp, #0x18]
0xfffffff008896db0: 685b8052  mov	w8, #0x2db
0xfffffff008896db4: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff008896db8: f70300f9  str	x23, [sp]
0xfffffff008896dbc: c04cffb0  adrp	x0, #0xfffffff00722f000
0xfffffff008896dc0: 00ac3691  add	x0, x0, #0xdab
0xfffffff008896dc4: a781d497  bl	#0xfffffff007db7460
0xfffffff008896dc8: 1f000014  b	#0xfffffff008896e44
