; Candidate 3393
; ADRP+ADD at VM 0xfffffff00873a308 (fileoff 0x1736308): page=0x1fe9f7000 add_imm=0xd90

0xfffffff00873a288: 1f090072  tst	w8, #7
0xfffffff00873a28c: 00010054  b.eq	#0xfffffff00873a2ac
0xfffffff00873a290: 16008052  mov	w22, #0
0xfffffff00873a294: 081d0011  add	w8, w8, #7
0xfffffff00873a298: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff00873a29c: e80200b9  str	w8, [x23]
0xfffffff00873a2a0: 04000014  b	#0xfffffff00873a2b0
0xfffffff00873a2a4: 16090012  and	w22, w8, #7
0xfffffff00873a2a8: 02000014  b	#0xfffffff00873a2b0
0xfffffff00873a2ac: 16008052  mov	w22, #0
0xfffffff00873a2b0: e11340f9  ldr	x1, [sp, #0x20]
0xfffffff00873a2b4: 08b0a552  mov	w8, #0x2d800000
0xfffffff00873a2b8: c80a1133  bfi	w8, w22, #0xf, #3
0xfffffff00873a2bc: 689e03b9  str	w8, [x19, #0x39c]
0xfffffff00873a2c0: 750c40f9  ldr	x21, [x3, #0x18]
0xfffffff00873a2c4: b4b24bb9  ldr	w20, [x21, #0xbb0]
0xfffffff00873a2c8: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff00873a2cc: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff00873a2d0: a26301d1  sub	x2, x29, #0x58
0xfffffff00873a2d4: e3830191  add	x3, sp, #0x60
0xfffffff00873a2d8: e00315aa  mov	x0, x21
0xfffffff00873a2dc: 06f00194  bl	#0xfffffff0087b62f4
0xfffffff00873a2e0: e0050034  cbz	w0, #0xfffffff00873a39c
0xfffffff00873a2e4: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff00873a2e8: 180940f9  ldr	x24, [x8, #0x10]
0xfffffff00873a2ec: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff00873a2f0: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00873a2f4: c90100b4  cbz	x9, #0xfffffff00873a32c
0xfffffff00873a2f8: 08d08052  mov	w8, #0x680
0xfffffff00873a2fc: c950ffb0  adrp	x9, #0xfffffff007153000
0xfffffff00873a300: 29593f91  add	x9, x9, #0xfd6
0xfffffff00873a304: e92300a9  stp	x9, x8, [sp]
0xfffffff00873a308: a04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873a30c: 00403691  add	x0, x0, #0xd90
0xfffffff00873a310: 0196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873a314: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873a318: 0350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff00873a31c: 63003c91  add	x3, x3, #0xf00
0xfffffff00873a320: 02008052  mov	w2, #0
0xfffffff00873a324: 83e3ef97  bl	#0xfffffff008333130
0xfffffff00873a328: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff00873a32c: 094328ab  adds	x9, x24, w8, uxtw
0xfffffff00873a330: 62030054  b.hs	#0xfffffff00873a39c
0xfffffff00873a334: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00873a338: 6a9e43b9  ldr	w10, [x19, #0x39c]
0xfffffff00873a33c: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff00873a340: 49551633  bfi	w9, w10, #0xa, #0x16
0xfffffff00873a344: 699e03b9  str	w9, [x19, #0x39c]
0xfffffff00873a348: a9835af8  ldur	x9, [x29, #-0x58]
0xfffffff00873a34c: 380940f9  ldr	x24, [x9, #0x10]
0xfffffff00873a350: 09fd60d3  lsr	x9, x8, #0x20
0xfffffff00873a354: 690000b5  cbnz	x9, #0xfffffff00873a360
0xfffffff00873a358: 087d4092  and	x8, x8, #0xffffffff
0xfffffff00873a35c: 0e000014  b	#0xfffffff00873a394
0xfffffff00873a360: 28d08052  mov	w8, #0x681
0xfffffff00873a364: c950ffb0  adrp	x9, #0xfffffff007153000
0xfffffff00873a368: 29593f91  add	x9, x9, #0xfd6
0xfffffff00873a36c: e92300a9  stp	x9, x8, [sp]
0xfffffff00873a370: a04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873a374: 00403691  add	x0, x0, #0xd90
0xfffffff00873a378: 0196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873a37c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00873a380: 0350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff00873a384: 63d03c91  add	x3, x3, #0xf34
