; Candidate 15938
; ADRP+ADD at VM 0xfffffff009ded240 (fileoff 0x2de9240): page=0x5d1000 add_imm=0xd80

0xfffffff009ded1c0: 6be99397  bl	#0xfffffff0082e776c
0xfffffff009ded1c4: d0f9fe90  adrp	x16, #0xfffffff007d25000
0xfffffff009ded1c8: 10620391  add	x16, x16, #0xd8
0xfffffff009ded1cc: 10420091  add	x16, x16, #0x10
0xfffffff009ded1d0: f10300aa  mov	x17, x0
0xfffffff009ded1d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ded1d8: 300ac1da  pacda	x16, x17
0xfffffff009ded1dc: 100000f9  str	x16, [x0]
0xfffffff009ded1e0: 1f1803f9  str	xzr, [x0, #0x630]
0xfffffff009ded1e4: 08e01891  add	x8, x0, #0x638
0xfffffff009ded1e8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ded1ec: 000100ad  stp	q0, q0, [x8]
0xfffffff009ded1f0: 000101ad  stp	q0, q0, [x8, #0x20]
0xfffffff009ded1f4: 000102ad  stp	q0, q0, [x8, #0x40]
0xfffffff009ded1f8: 000103ad  stp	q0, q0, [x8, #0x60]
0xfffffff009ded1fc: 000104ad  stp	q0, q0, [x8, #0x80]
0xfffffff009ded200: 000105ad  stp	q0, q0, [x8, #0xa0]
0xfffffff009ded204: 000106ad  stp	q0, q0, [x8, #0xc0]
0xfffffff009ded208: 000107ad  stp	q0, q0, [x8, #0xe0]
0xfffffff009ded20c: e00314aa  mov	x0, x20
0xfffffff009ded210: c9df9397  bl	#0xfffffff0082e5134
0xfffffff009ded214: e00313aa  mov	x0, x19
0xfffffff009ded218: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009ded21c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009ded220: ff0f5fd6  retab	
0xfffffff009ded224: 7f2303d5  pacibsp	
0xfffffff009ded228: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009ded22c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009ded230: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009ded234: fd830091  add	x29, sp, #0x20
0xfffffff009ded238: f40301aa  mov	x20, x1
0xfffffff009ded23c: f50300aa  mov	x21, x0
0xfffffff009ded240: 802e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009ded244: 00003691  add	x0, x0, #0xd80
0xfffffff009ded248: 100040f9  ldr	x16, [x0]
0xfffffff009ded24c: f10300aa  mov	x17, x0
0xfffffff009ded250: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ded254: 301ac1da  autda	x16, x17
0xfffffff009ded258: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009ded25c: e90310aa  mov	x9, x16
0xfffffff009ded260: f10309aa  mov	x17, x9
0xfffffff009ded264: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009ded268: 11093fd7  blraa	x8, x17
0xfffffff009ded26c: f30300aa  mov	x19, x0
0xfffffff009ded270: 200200b4  cbz	x0, #0xfffffff009ded2b4
0xfffffff009ded274: e00313aa  mov	x0, x19
0xfffffff009ded278: e10315aa  mov	x1, x21
0xfffffff009ded27c: e20314aa  mov	x2, x20
0xfffffff009ded280: 12000094  bl	#0xfffffff009ded2c8
0xfffffff009ded284: 80010037  tbnz	w0, #0, #0xfffffff009ded2b4
0xfffffff009ded288: 700240f9  ldr	x16, [x19]
0xfffffff009ded28c: f10313aa  mov	x17, x19
0xfffffff009ded290: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ded294: 301ac1da  autda	x16, x17
0xfffffff009ded298: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009ded29c: e90310aa  mov	x9, x16
0xfffffff009ded2a0: e00313aa  mov	x0, x19
0xfffffff009ded2a4: f10309aa  mov	x17, x9
0xfffffff009ded2a8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009ded2ac: 11093fd7  blraa	x8, x17
0xfffffff009ded2b0: 130080d2  mov	x19, #0
0xfffffff009ded2b4: e00313aa  mov	x0, x19
0xfffffff009ded2b8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009ded2bc: f44f41a9  ldp	x20, x19, [sp, #0x10]
