; Candidate 925
; ADRP+ADD at VM 0xfffffff008109fd4 (fileoff 0x1105fd4): page=0x213a000 add_imm=0xe58

0xfffffff008109f54: 020080d2  mov	x2, #0
0xfffffff008109f58: 79fcff97  bl	#0xfffffff00810913c
0xfffffff008109f5c: f48344a9  ldp	x20, x0, [sp, #0x48]
0xfffffff008109f60: d50901d0  adrp	x21, #0xfffffff00a243000
0xfffffff008109f64: b5823991  add	x21, x21, #0xe60
0xfffffff008109f68: 400100b4  cbz	x0, #0xfffffff008109f90
0xfffffff008109f6c: 080440f9  ldr	x8, [x0, #8]
0xfffffff008109f70: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008109f74: 1f0400f9  str	xzr, [x0, #8]
0xfffffff008109f78: 4f430494  bl	#0xfffffff00821acb4
0xfffffff008109f7c: e0ffffb5  cbnz	x0, #0xfffffff008109f78
0xfffffff008109f80: e02b40f9  ldr	x0, [sp, #0x50]
0xfffffff008109f84: 40ffffb5  cbnz	x0, #0xfffffff008109f6c
0xfffffff008109f88: e8430191  add	x8, sp, #0x50
0xfffffff008109f8c: e82f00f9  str	x8, [sp, #0x58]
0xfffffff008109f90: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff008109f94: 400100b4  cbz	x0, #0xfffffff008109fbc
0xfffffff008109f98: 080440f9  ldr	x8, [x0, #8]
0xfffffff008109f9c: e83300f9  str	x8, [sp, #0x60]
0xfffffff008109fa0: 1f0400f9  str	xzr, [x0, #8]
0xfffffff008109fa4: 44430494  bl	#0xfffffff00821acb4
0xfffffff008109fa8: e0ffffb5  cbnz	x0, #0xfffffff008109fa4
0xfffffff008109fac: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff008109fb0: 40ffffb5  cbnz	x0, #0xfffffff008109f98
0xfffffff008109fb4: e8830191  add	x8, sp, #0x60
0xfffffff008109fb8: e83700f9  str	x8, [sp, #0x68]
0xfffffff008109fbc: 7f0200f9  str	xzr, [x19]
0xfffffff008109fc0: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff008109fc4: e20308aa  mov	x2, x8
0xfffffff008109fc8: bffea288  casl	w2, wzr, [x21]
0xfffffff008109fcc: 5f00086b  cmp	w2, w8
0xfffffff008109fd0: e0290054  b.eq	#0xfffffff00810a50c
0xfffffff008109fd4: c00901d0  adrp	x0, #0xfffffff00a243000
0xfffffff008109fd8: 00603991  add	x0, x0, #0xe58
0xfffffff008109fdc: e10314aa  mov	x1, x20
0xfffffff008109fe0: e189f297  bl	#0xfffffff007dac764
0xfffffff008109fe4: 4a010014  b	#0xfffffff00810a50c
0xfffffff008109fe8: e00314aa  mov	x0, x20
0xfffffff008109fec: c9560094  bl	#0xfffffff00811fb10
0xfffffff008109ff0: 400b0034  cbz	w0, #0xfffffff00810a158
0xfffffff008109ff4: e10240f9  ldr	x1, [x23]
0xfffffff008109ff8: 3f0017eb  cmp	x1, x23
0xfffffff008109ffc: 00f6ff54  b.eq	#0xfffffff008109ebc
0xfffffff00810a000: e9620091  add	x9, x23, #0x18
0xfffffff00810a004: e8a20091  add	x8, x23, #0x28
0xfffffff00810a008: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff00810a00c: 14000014  b	#0xfffffff00810a05c
0xfffffff00810a010: e85e40b9  ldr	w8, [x23, #0x5c]
0xfffffff00810a014: 898a4179  ldrh	w9, [x20, #0xc4]
0xfffffff00810a018: 29010032  orr	w9, w9, #1
0xfffffff00810a01c: 898a0179  strh	w9, [x20, #0xc4]
0xfffffff00810a020: 880a0179  strh	w8, [x20, #0x84]
0xfffffff00810a024: e86240b9  ldr	w8, [x23, #0x60]
0xfffffff00810a028: 88020179  strh	w8, [x20, #0x80]
0xfffffff00810a02c: 681b0051  sub	w8, w27, #6
0xfffffff00810a030: 087d4093  sxtw	x8, w8
0xfffffff00810a034: 882f00f9  str	x8, [x28, #0x58]
0xfffffff00810a038: e8031caa  mov	x8, x28
0xfffffff00810a03c: 1f8d00f8  str	xzr, [x8, #8]!
0xfffffff00810a040: e93740f9  ldr	x9, [sp, #0x68]
0xfffffff00810a044: 3c0100f9  str	x28, [x9]
0xfffffff00810a048: e83700f9  str	x8, [sp, #0x68]
0xfffffff00810a04c: fb3740b9  ldr	w27, [sp, #0x34]
0xfffffff00810a050: e10318aa  mov	x1, x24
