; Candidate 3312
; ADRP+ADD at VM 0xfffffff00872cdfc (fileoff 0x1728dfc): page=0x1fea05000 add_imm=0xd90

0xfffffff00872cd7c: f60300aa  mov	x22, x0
0xfffffff00872cd80: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00872cd84: 74020191  add	x20, x19, #0x40
0xfffffff00872cd88: 100040f9  ldr	x16, [x0]
0xfffffff00872cd8c: f10300aa  mov	x17, x0
0xfffffff00872cd90: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00872cd94: 301ac1da  autda	x16, x17
0xfffffff00872cd98: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff00872cd9c: e90310aa  mov	x9, x16
0xfffffff00872cda0: 81008052  mov	w1, #4
0xfffffff00872cda4: e20316aa  mov	x2, x22
0xfffffff00872cda8: e30314aa  mov	x3, x20
0xfffffff00872cdac: f10309aa  mov	x17, x9
0xfffffff00872cdb0: f1a8eef2  movk	x17, #0x7547, lsl #48
0xfffffff00872cdb4: 11093fd7  blraa	x8, x17
0xfffffff00872cdb8: f70300aa  mov	x23, x0
0xfffffff00872cdbc: d00240f9  ldr	x16, [x22]
0xfffffff00872cdc0: f10316aa  mov	x17, x22
0xfffffff00872cdc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00872cdc8: 301ac1da  autda	x16, x17
0xfffffff00872cdcc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00872cdd0: e90310aa  mov	x9, x16
0xfffffff00872cdd4: e00316aa  mov	x0, x22
0xfffffff00872cdd8: f10309aa  mov	x17, x9
0xfffffff00872cddc: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00872cde0: 11093fd7  blraa	x8, x17
0xfffffff00872cde4: 97040034  cbz	w23, #0xfffffff00872ce74
0xfffffff00872cde8: 94578052  mov	w20, #0x2bc
0xfffffff00872cdec: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00872cdf0: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872cdf4: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872cdf8: e85700a9  stp	x8, x21, [sp]
0xfffffff00872cdfc: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872ce00: 00403691  add	x0, x0, #0xd90
0xfffffff00872ce04: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872ce08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872ce0c: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872ce10: 635c2f91  add	x3, x3, #0xbd7
0xfffffff00872ce14: 02008052  mov	w2, #0
0xfffffff00872ce18: c618f097  bl	#0xfffffff008333130
0xfffffff00872ce1c: 0f000014  b	#0xfffffff00872ce58
0xfffffff00872ce20: 94578052  mov	w20, #0x2bc
0xfffffff00872ce24: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff00872ce28: ffd700a9  stp	xzr, x21, [sp, #8]
0xfffffff00872ce2c: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872ce30: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872ce34: e80300f9  str	x8, [sp]
0xfffffff00872ce38: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872ce3c: 00403691  add	x0, x0, #0xd90
0xfffffff00872ce40: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872ce44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872ce48: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872ce4c: 636c2e91  add	x3, x3, #0xb9b
0xfffffff00872ce50: 02008052  mov	w2, #0
0xfffffff00872ce54: b718f097  bl	#0xfffffff008333130
0xfffffff00872ce58: e00314aa  mov	x0, x20
0xfffffff00872ce5c: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00872ce60: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00872ce64: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00872ce68: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00872ce6c: ff830191  add	sp, sp, #0x60
0xfffffff00872ce70: ff0f5fd6  retab	
0xfffffff00872ce74: 800240f9  ldr	x0, [x20]
0xfffffff00872ce78: 800400b4  cbz	x0, #0xfffffff00872cf08
