; Candidate 2450
; ADRP+ADD at VM 0xfffffff008683ce4 (fileoff 0x167fce4): page=0x1feaa1000 add_imm=0xe89

0xfffffff008683c64: 1002118b  add	x16, x16, x17
0xfffffff008683c68: 080240f9  ldr	x8, [x16]
0xfffffff008683c6c: e90310aa  mov	x9, x16
0xfffffff008683c70: f10309aa  mov	x17, x9
0xfffffff008683c74: 513df4f2  movk	x17, #0xa1ea, lsl #48
0xfffffff008683c78: 11093fd7  blraa	x8, x17
0xfffffff008683c7c: e803002a  mov	w8, w0
0xfffffff008683c80: e80300f9  str	x8, [sp]
0xfffffff008683c84: 0255ffd0  adrp	x2, #0xfffffff007125000
0xfffffff008683c88: 42240191  add	x2, x2, #0x49
0xfffffff008683c8c: e0430091  add	x0, sp, #0x10
0xfffffff008683c90: 01208052  mov	w1, #0x100
0xfffffff008683c94: 32dced97  bl	#0xfffffff0081fad5c
0xfffffff008683c98: ff3f0439  strb	wzr, [sp, #0x10f]
0xfffffff008683c9c: e0430091  add	x0, sp, #0x10
0xfffffff008683ca0: bc95f297  bl	#0xfffffff008329390
0xfffffff008683ca4: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff008683ca8: 099bff90  adrp	x9, #0xfffffff0079e3000
0xfffffff008683cac: 294547f9  ldr	x9, [x9, #0xe88]
0xfffffff008683cb0: 290140f9  ldr	x9, [x9]
0xfffffff008683cb4: 3f0108eb  cmp	x9, x8
0xfffffff008683cb8: a1000054  b.ne	#0xfffffff008683ccc
0xfffffff008683cbc: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008683cc0: fc6f52a9  ldp	x28, x27, [sp, #0x120]
0xfffffff008683cc4: ff030591  add	sp, sp, #0x140
0xfffffff008683cc8: ff0f5fd6  retab	
0xfffffff008683ccc: 6068db97  bl	#0xfffffff007d5de4c
0xfffffff008683cd0: 5f2403d5  bti	c
0xfffffff008683cd4: 8882f117  b	#0xfffffff0082e46f4
0xfffffff008683cd8: 7f2303d5  pacibsp	
0xfffffff008683cdc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008683ce0: fd030091  mov	x29, sp
0xfffffff008683ce4: 0055ffb0  adrp	x0, #0xfffffff007124000
0xfffffff008683ce8: 00243a91  add	x0, x0, #0xe89
0xfffffff008683cec: a995f297  bl	#0xfffffff008329390
0xfffffff008683cf0: a8e200d0  adrp	x8, #0xfffffff00a2d9000
0xfffffff008683cf4: 001d04f9  str	x0, [x8, #0x838]
0xfffffff008683cf8: a0e200d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff008683cfc: 00002191  add	x0, x0, #0x840
0xfffffff008683d00: 0155ffb0  adrp	x1, #0xfffffff007124000
0xfffffff008683d04: 21a03a91  add	x1, x1, #0xea8
0xfffffff008683d08: 029bff90  adrp	x2, #0xfffffff0079e3000
0xfffffff008683d0c: 42dc46f9  ldr	x2, [x2, #0xdb8]
0xfffffff008683d10: 031f8052  mov	w3, #0xf8
0xfffffff008683d14: 897ff197  bl	#0xfffffff0082e3b38
0xfffffff008683d18: 109bffb0  adrp	x16, #0xfffffff0079e4000
0xfffffff008683d1c: 10023b91  add	x16, x16, #0xec0
0xfffffff008683d20: 10420091  add	x16, x16, #0x10
0xfffffff008683d24: f10300aa  mov	x17, x0
0xfffffff008683d28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008683d2c: 300ac1da  pacda	x16, x17
0xfffffff008683d30: 100000f9  str	x16, [x0]
0xfffffff008683d34: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008683d38: ff0f5fd6  retab	
0xfffffff008683d3c: 5f2403d5  bti	c
0xfffffff008683d40: a0e200d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff008683d44: 00002191  add	x0, x0, #0x840
0xfffffff008683d48: 6b82f117  b	#0xfffffff0082e46f4
0xfffffff008683d4c: 7f2303d5  pacibsp	
0xfffffff008683d50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008683d54: fd030091  mov	x29, sp
0xfffffff008683d58: 0155ffd0  adrp	x1, #0xfffffff007125000
0xfffffff008683d5c: 21001291  add	x1, x1, #0x480
0xfffffff008683d60: 029bff90  adrp	x2, #0xfffffff0079e3000
